Nb,Name,Label,Type,CX (pix),CY (pix),CZ (pix),CX (unit),CY (unit),CZ (unit),Xmin (pix),Ymin (pix),Zmin (pix),Xmax (pix),Ymax (pix),Zmax (pix),VolBounding (pix),RatioVolbox,Vol (unit),Vol (pix),Surf (unit),Surf (pix),SurfCorr (pix),Comp (pix),Spher (pix),CompCorr (pix),SpherCorr (pix),Comp (unit),Spher (unit),CompDiscrete,Ell_MajRad,Ell_Elon,Ell_Flatness,volEllipsoid (unit),RatioVolEllipsoid,DCMin (unit),DCMax (unit),DCMean (unit),DCSD (unit),
0,obj1-val1,1,0,216.1576037751708,275.67363744431503,34.55863402216592,216.1576037751708,275.67363744431503,34.55863402216592,146,207,21,287,345,48,552664.0,0.7534505594719395,416405.0,416405,88482.0,88482.0,68285.1036,0.0283086691611509,0.30477101892491903,0.061589450152437795,0.39491361707119604,0.0283086691611509,0.30477101892491903,0.9776774911746426,80.52025075308433,1.020010043678272,4.3017485598314495,488596.1335154441,0.8522478411852553,0.5711001611720532,72.60723085775577,45.083655850340975,19.514664490600975,
1,obj2-val37151,37151,0,244.0,284.0,21.0,244.0,284.0,21.0,244,284,21,244,284,21,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
2,obj3-val37152,37152,0,240.0,286.0,21.0,240.0,286.0,21.0,240,286,21,240,286,21,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
3,obj4-val37153,37153,0,246.0,292.0,21.0,246.0,292.0,21.0,246,292,21,246,292,21,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
4,obj5-val37154,37154,0,239.0,272.0,24.0,239.0,272.0,24.0,239,272,24,239,272,24,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
5,obj6-val37155,37155,0,240.0,277.0,24.0,240.0,277.0,24.0,240,277,24,240,277,24,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
6,obj7-val37156,37156,0,232.0,278.0,24.0,232.0,278.0,24.0,232,278,24,232,278,24,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
7,obj8-val37157,37157,0,235.0,278.0,24.0,235.0,278.0,24.0,235,278,24,235,278,24,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
8,obj9-val37158,37158,0,237.0,278.0,24.0,237.0,278.0,24.0,237,278,24,237,278,24,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
9,obj10-val37159,37159,0,239.0,278.0,24.0,239.0,278.0,24.0,239,278,24,239,278,24,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
