x	y	z	Mismatch repair (MMR) directed by MSH2:MSH6 (MutSalpha)
240	277	24	2
245	284	24	1
245	287	24	1
244	288	24	2
245	288	24	2
244	289	24	1
234	271	25	1
236	273	25	1
233	274	25	1
234	274	25	1
237	275	25	1
233	276	25	1
239	276	25	1
248	276	25	1
232	277	25	1
234	277	25	1
237	277	25	1
233	278	25	1
234	279	25	1
237	279	25	1
239	279	25	1
240	279	25	1
241	279	25	1
249	279	25	1
241	280	25	1
231	281	25	1
235	281	25	1
237	281	25	1
243	281	25	1
234	282	25	1
235	282	25	1
248	282	25	1
247	283	25	1
213	284	25	1
233	284	25	1
242	284	25	1
235	285	25	1
239	285	25	1
241	285	25	1
243	285	25	1
250	285	25	1
253	285	25	1
218	286	25	1
245	286	25	1
250	286	25	1
225	290	25	1
235	291	25	1
238	291	25	1
239	291	25	1
246	291	25	2
227	292	25	1
244	292	25	1
244	294	25	1
245	295	25	1
242	296	25	1
246	296	25	1
243	299	25	1
237	266	26	2
237	269	26	1
229	271	26	1
236	271	26	1
215	272	26	1
224	272	26	1
230	272	26	1
231	273	26	1
239	273	26	1
248	273	26	1
249	275	26	1
231	276	26	1
234	276	26	2
244	276	26	1
248	276	26	1
231	277	26	1
237	277	26	1
249	277	26	1
231	278	26	1
233	278	26	1
234	278	26	1
237	278	26	1
233	279	26	1
236	279	26	2
234	280	26	1
238	280	26	1
248	280	26	1
234	281	26	1
235	281	26	1
236	281	26	1
237	281	26	1
244	281	26	1
208	282	26	2
234	282	26	2
238	282	26	1
253	282	26	1
227	283	26	1
231	283	26	1
239	283	26	1
243	283	26	1
252	283	26	1
235	284	26	1
241	284	26	2
245	284	26	1
248	284	26	1
232	285	26	1
234	285	26	1
216	286	26	1
233	286	26	1
234	286	26	2
235	286	26	1
232	287	26	1
238	287	26	1
248	287	26	1
236	288	26	1
248	288	26	1
231	289	26	1
234	289	26	1
237	289	26	1
250	289	26	1
251	289	26	1
228	290	26	1
229	291	26	1
237	291	26	2
239	291	26	2
246	291	26	1
226	292	26	1
227	292	26	1
240	292	26	1
242	292	26	1
234	293	26	1
244	293	26	1
249	294	26	1
234	295	26	1
235	296	26	2
236	298	26	1
242	298	26	1
181	257	27	1
188	259	27	1
228	259	27	1
229	259	27	2
232	259	27	1
181	260	27	1
183	260	27	1
235	260	27	1
180	261	27	1
181	261	27	1
231	261	27	2
232	262	27	1
233	262	27	1
239	262	27	1
179	263	27	1
181	263	27	1
182	263	27	1
210	263	27	1
211	263	27	1
220	263	27	1
234	263	27	1
236	263	27	1
209	264	27	1
225	264	27	1
235	265	27	1
238	265	27	1
240	265	27	1
178	266	27	1
180	266	27	2
227	266	27	1
233	266	27	1
230	267	27	1
235	267	27	1
239	267	27	1
241	267	27	1
217	268	27	1
224	268	27	2
231	268	27	1
237	268	27	1
238	268	27	1
207	269	27	1
224	269	27	1
225	269	27	1
227	269	27	1
231	269	27	1
207	270	27	1
228	270	27	1
233	270	27	1
237	270	27	1
248	270	27	1
177	271	27	1
210	271	27	1
211	271	27	1
216	271	27	1
223	271	27	1
237	271	27	1
240	271	27	1
248	271	27	1
176	272	27	1
229	272	27	1
230	272	27	1
235	272	27	1
236	272	27	1
237	272	27	1
212	273	27	1
227	273	27	1
241	273	27	1
246	273	27	1
247	273	27	1
249	273	27	1
178	274	27	1
208	274	27	1
237	274	27	1
247	274	27	1
205	275	27	1
211	275	27	2
217	275	27	1
220	275	27	1
233	275	27	1
237	275	27	1
249	275	27	1
212	276	27	1
217	276	27	1
232	276	27	1
245	276	27	1
205	277	27	1
208	277	27	1
220	277	27	1
245	277	27	1
220	278	27	1
227	278	27	1
233	278	27	1
235	278	27	1
249	278	27	2
252	278	27	1
207	279	27	1
