x	y	z	tRNA processing
216.157603775171	275.673637444315	34.5586340221659	1
240	286	21	1
240	277	24	1
235	278	24	1
237	278	24	2
241	279	24	2
245	287	24	1
246	287	24	1
251	287	24	2
244	288	24	1
249	288	24	1
244	289	24	1
247	289	24	1
244	291	24	1
231	264	25	1
233	269	25	3
228	272	25	1
230	272	25	1
233	272	25	1
238	272	25	2
239	272	25	1
227	273	25	1
235	273	25	1
236	273	25	1
238	273	25	1
230	274	25	1
233	274	25	1
235	275	25	1
236	275	25	1
232.5	276.5	25.5	1
239	276	25	1
248	276	25	1
234	277	25	2
236	277	25	1
231	278	25	1
232	278	25	2
233	278	25	1
236	278	25	1
238	278	25	1
232	279	25	2
233	279	25	1
236	279	25	1
239	279	25	2
240	279	25	1
249	279	25	1
239	280	25	1
248	280	25	1
231	281	25	1
235	281	25	1
237	281	25	1
240	281	25	1
241	281	25	2
249	281	25	1
214	282	25	2
232	282	25	1
233	282	25	2
234	282	25	1
239	282	25	3
240	282	25	1
249	282	25	1
230	283	25	1
231	283	25	1
234	283	25	1
236	283	25	2
238	283	25	2
239	283	25	1
241	283	25	2
245	283	25	1
246	283	25	2
247	283	25	1
213	284	25	2
235	284	25	1
237	284	25	1
241	284	25	1
242	284	25	3
243	284	25	3
247	284	25	1
249	284	25	1
252	284	25	1
215	285	25	1
232	285	25	1
235	285	25	1
236	285	25	1
237	285	25	1
238	285	25	1
240	285	25	1
241	285	25	1
250	285	25	2
252	285	25	1
232	286	25	3
233	286	25	1
236	286	25	1
240	286	25	1
241	286	25	1
243	286	25	2
254	286	25	1
237	287	25	3
242	287	25	1
251	287	25	1
252	287	25	1
236	288	25	1
237	288	25	1
242	288	25	1
250	288	25	2
236	289	25	1
244	289	25	2
252	289	25	1
237	290	25	1
238	290	25	3
240	290	25	2
243	290	25	1
246	290	25	1
249	290	25	1
226	291	25	1
236	291	25	1
237	291	25	1
242	291	25	1
246	291	25	1
251	291	25	1
235	292	25	1
237	292	25	2
238	292	25	1
239	292	25	2
242	292	25	1
244	292	25	3
249	292	25	1
246	293	25	2
241	294	25	1
243	294	25	1
247	294	25	1
237	295	25	1
243	295	25	1
238	296	25	1
242	296	25	1
247	296	25	2
243	297	25	1
240	298	25	1
227	300	25	1
239	300	25	1
239	302	25	1
176	259	26	1
182	260	26	1
229	262	26	1
229	264	26	2
230	264	26	2
231	264	26	1
215	265	26	1
232	265	26	1
234	267	26	1
241	267	26	2
235	268	26	1
236	268	26	1
241	268	26	2
228	269	26	2
237	269	26	1
227	270	26	2
236	270	26	1
238	270	26	3
250	270	26	1
229	271	26	1
236	271	26	1
240	271	26	1
223	272	26	1
224	272	26	1
232	272	26	1
234	272	26	1
239	272	26	1
231	273	26	1
236	273	26	1
237	273	26	1
248	273	26	2
249	273	26	1
233	274	26	2
232	275	26	1
235	275	26	1
236	275	26	1
237	275	26	1
249	275	26	1
250	275	26	2
207	276	26	1
215	276	26	2
233	276	26	1
235	276	26	2
237	276	26	1
239	276	26	4
244	276	26	1
248	276	26	1
250	276	26	3
209	277	26	2
230	277	26	1
231	277	26	2
250	277	26	1
235	278	26	2
236	278	26	2
240	278	26	1
251	278	26	1
207	279	26	1
231	279	26	2
233	279	26	1
237	279	26	1
239	279	26	1
248	279	26	1
234	280	26	1
241	280	26	1
248	280	26	2
250	280	26	1
217	281	26	1
230	281	26	1
232	281	26	1
236	281	26	3
239	281	26	2
246	281	26	1
248	281	26	1
249	281	26	1
208	282	26	1
234	282	26	1
235	282	26	1
237	282	26	1
238	282	26	1
240	282	26	1
242	282	26	2
245	282	26	2
249	282	26	1
254	282	26	1
227	283	26	1
231	283	26	2
