x	y	z	DNA Replication
244	284	21	1
240	286	21	1
240	277	24	2
235	278	24	1
239	278	24	1
241	279	24	1
245	284	24	1
244	286	24	1
248	286	24	1
245	287	24	1
246	287	24	1
243	288	24	1
245	288	24	1
244	289	24	1
244	290	24	1
233	269	25	1
235	270	25	2
227	272	25	1
228	272	25	2
230	272	25	2
238	272	25	1
239	272	25	1
227	273	25	1
235	273	25	1
238	273	25	1
230	274	25	1
234	274	25	1
235	274	25	1
237	275	25	2
240	276	25	1
248	276	25	1
231	277	25	1
233	277	25	1
237	277	25	1
247	277	25	1
232	278	25	2
234	278	25	1
237	279	25	1
238	279	25	1
241	279	25	1
247	279	25	1
233	280	25	1
234	280	25	1
241	280	25	1
240	281	25	1
214	282	25	1
237	282	25	1
245	282	25	1
248	282	25	1
249	282	25	1
231	283	25	1
232	283	25	1
233	283	25	1
234	283	25	1
235	283	25	1
238	283	25	1
240	283	25	1
241	283	25	1
249	283	25	1
236	284	25	2
243	284	25	1
249	284	25	1
252	284	25	1
215	285	25	1
236	285	25	1
238	285	25	1
240	285	25	2
241	285	25	1
243	285	25	1
232	286	25	1
233	286	25	1
235	286	25	1
243	286	25	1
223	287	25	1
246	287	25	2
249	287	25	2
239	288	25	1
250	288	25	1
236	289	25	1
241	289	25	1
250	289	25	1
236	290	25	2
246	290	25	1
239	291	25	1
240	291	25	2
246	291	25	1
235	292	25	1
239	292	25	1
242	292	25	1
244	292	25	1
250	292	25	1
239	294	25	1
241	294	25	1
242	294	25	1
240	295	25	1
243	295	25	1
239	296	25	1
241	299	25	1
243	299	25	1
227	300	25	1
239	302	25	1
182	260	26	2
230	264	26	1
232	265	26	1
230	267	26	3
241	268	26	1
227	270	26	2
228	270	26	1
235	270	26	1
237	270	26	1
250	270	26	3
229	271	26	1
235	271	26	1
240	271	26	1
215	272	26	1
224	272	26	1
230	272	26	1
238	274	26	1
236	275	26	1
250	275	26	1
207	276	26	1
232	276	26	1
244	276	26	2
207	277	26	1
213	277	26	1
231	277	26	1
239	277	26	2
247	277	26	1
250	277	26	1
234	278	26	1
240	278	26	1
249	278	26	1
251	278	26	1
252	278	26	1
231	279	26	1
233	279	26	1
234	279	26	1
237	279	26	2
241	279	26	1
246	279	26	1
249	279	26	2
250	279	26	1
230	280	26	1
232	280	26	2
233	280	26	1
241	280	26	1
242	280	26	2
250	280	26	1
235	281	26	1
236	281	26	1
237	281	26	3
240	281	26	1
250	281	26	1
208	282	26	1
209	282	26	1
212	282	26	1
233	282	26	1
238	282	26	1
242	282	26	3
251	282	26	1
233	283	26	2
241	283	26	1
252	283	26	1
214	284	26	1
215	284	26	1
234	284	26	1
235	284	26	1
236	284	26	1
237	284	26	2
238	284	26	1
242	284	26	2
250	284	26	1
232	285	26	2
235	285	26	1
247	285	26	1
250	285	26	1
234	286	26	1
235	286	26	1
238	286	26	1
240	286	26	2
241	286	26	1
247	286	26	2
251	286	26	1
223	287	26	1
236	287	26	1
239	287	26	1
250	287	26	1
253	287	26	1
232	288	26	1
236	288	26	1
240	288	26	1
243	288	26	2
248	288	26	1
250	288	26	1
223	289	26	1
231	289	26	1
238	289	26	1
242	289	26	1
225	290	26	1
227	290	26	1
228	290	26	1
239	290	26	1
236	291	26	1
237	291	26	2
238	291	26	1
239	291	26	1
225	292	26	1
226	292	26	1
238	292	26	1
240	292	26	1
246	292	26	1
247	292	26	1
236	293	26	1
246	293	26	2
253	293	26	1
237	294	26	2
240	294	26	1
243	294	26	1
234	295	26	1
241	295	26	1
243	295	26	1
248	295	26	1
240	296	26	3
244	296	26	1
237	297	26	1
239	297	26	1
239	298	26	2
246	298	26	1
227	301	26	1
184	255	27	2
186	257	27	1
181	258	27	1
183	258	27	2
184	258	27	1
185	259	27	3
228	259	27	1
231	259	27	1
226	260	27	1
234	260	27	1
240	260	27	1
180	261	27	1
182	261	27	1
186	261	27	1
222	261	27	1
235	261	27	1
239	261	27	2
182	262	27	1
186	262	27	1
227	262	27	2
232	262	27	1
233	262	27	1
236	262	27	1
238	262	27	1
239	262	27	1
179	263	27	1
182	263	27	1
184	263	27	1
210	263	27	1
215	263	27	2
220	263	27	2
229	263	27	1
233	263	27	1
234	263	27	1
235	263	27	1
239	263	27	1
180	264	27	1
186	264	27	1
222	264	27	1
224	264	27	1
226	264	27	1
228	264	27	1
230	264	27	1
232	264	27	1
239	264	27	1
248	264	27	1
181	265	27	1
221	265	27	2
235	265	27	1
180	266	27	1
201	266	27	1
227	266	27	1
228	266	27	2
229	266	27	1
231	266	27	2
234	266	27	2
179	267	27	1
229	267	27	1
231	267	27	2
234	267	27	3
235	267	27	1
236	267	27	1
