x	y	z	STING mediated induction of host immune responses
240	286	21	1
239	272	24	1
241	279	24	1
248	286	24	1
244	287	24	1
245	287	24	1
243	288	24	1
246	289	24	1
248	289	24	1
249	289	24	1
232	265	25	2
235	270	25	1
235	273	25	1
230	274	25	1
238	274	25	1
236	275	25	1
234	276	25	1
239	276	25	1
248	276	25	1
233	277	25	2
234	277	25	1
235	277	25	1
233	278	25	1
237	278	25	1
239	278	25	1
235	279	25	1
232	280	25	1
239	280	25	2
245	280	25	1
245	281	25	1
214	282	25	1
232	282	25	3
234	282	25	1
240	282	25	1
249	282	25	2
232	283	25	2
234	283	25	1
235	283	25	1
236	283	25	1
239	283	25	1
245	283	25	2
247	283	25	1
249	283	25	1
233	284	25	1
237	284	25	2
243	284	25	1
247	284	25	1
236	285	25	2
243	285	25	2
252	285	25	1
232	286	25	2
233	286	25	1
235	286	25	1
241	286	25	1
237	287	25	1
245	287	25	1
246	287	25	1
249	287	25	1
224	288	25	1
242	288	25	1
251	288	25	1
226	289	25	1
237	289	25	1
238	289	25	1
237	290	25	1
244	290	25	1
246	290	25	1
250	290	25	1
226	291	25	1
238	291	25	1
227	292	25	2
238	292	25	2
243	292	25	1
250	292	25	1
239	293	25	1
244	293	25	1
246	294	25	1
247	294	25	1
234	295	25	1
241	295	25	1
245	295	25	3
239	296	25	1
244	296	25	1
243	297	25	1
241	299	25	2
238	300	25	1
239	300	25	1
239	302	25	1
176	259	26	1
232	263	26	1
232	265	26	1
234	267	26	1
228	269	26	1
240	270	26	1
235	271	26	1
240	271	26	3
217	272	26	1
223	272	26	1
236	272	26	1
245	275	26	1
248	275	26	1
250	275	26	2
209	277	26	1
213	277	26	1
231	277	26	1
232	277	26	1
234	277	26	1
236	277	26	1
240	277	26	2
249	277	26	1
237	278	26	1
243	278	26	1
232	279	26	1
237	279	26	1
208	280	26	1
232	280	26	1
241	280	26	1
250	280	26	1
247	281	26	1
229	282	26	1
235	282	26	1
237	282	26	1
240	282	26	2
209	283	26	1
231	283	26	2
238	283	26	1
243	283	26	1
248	283	26	2
252	283	26	1
254	283	26	1
232	284	26	1
233	284	26	1
236	284	26	1
248	284	26	2
255	285	26	2
216	286	26	1
233	286	26	1
236	286	26	1
240	286	26	1
249	286	26	1
251	287	26	1
232	288	26	1
240	288	26	1
232	289	26	1
234	289	26	1
236	289	26	1
238	289	26	1
240	289	26	1
242	289	26	1
252	289	26	1
227	290	26	1
228	290	26	1
237	290	26	1
244	290	26	1
229	291	26	1
235	291	26	1
238	291	26	1
242	291	26	1
245	291	26	2
225	292	26	1
226	292	26	1
240	292	26	1
245	292	26	1
225	293	26	1
238	293	26	1
244	293	26	1
245	293	26	1
247	293	26	2
220	294	26	1
241	295	26	1
254	295	26	1
239	296	26	1
240	296	26	2
244	296	26	1
239	297	26	2
235	298	26	1
240	298	26	1
246	298	26	1
243	299	26	1
232	258	27	1
188	259	27	2
232	259	27	1
181	260	27	1
184	260	27	1
237	260	27	1
183	261	27	1
187	261	27	1
227	261	27	1
228	261	27	1
232	261	27	1
236	261	27	1
177	262	27	1
180	262	27	1
184	262	27	1
227	262	27	1
232	262	27	1
233	262	27	1
175	263	27	1
179	263	27	1
181	263	27	1
183	263	27	1
184	263	27	1
227	263	27	1
230	263	27	1
232	263	27	1
238	263	27	1
176	264	27	1
186	264	27	1
219	264	27	1
229	264	27	1
230	264	27	1
234	264	27	1
212	265	27	1
232	265	27	1
233	265	27	1
234	265	27	1
237	265	27	1
238	265	27	1
239	265	27	3
180	266	27	1
182	267	27	1
226	267	27	1
230	267	27	1
231	267	27	1
235	267	27	1
236	267	27	1
249	267	27	2
179	268	27	1
197	268	27	1
213	268	27	1
229	268	27	1
231	268	27	1
233	268	27	1
236	268	27	2
239	268	27	1
247	268	27	3
178	269	27	2
180	269	27	1
182	269	27	1
211	269	27	1
218	269	27	1
227	269	27	1
229	269	27	1
231	269	27	1
240	269	27	1
243	269	27	2
179	270	27	1
184	270	27	1
197	270	27	2
216	270	27	1
226	270	27	1
228	270	27	1
239	270	27	1
240	270	27	1
242	270	27	1
206	271	27	1
209	271	27	1
216	271	27	1
222	271	27	1
233	271	27	1
234	271	27	1
242	271	27	1
247	271	27	1
249	271	27	1
250	271	27	1
179	272	27	1
181	272	27	1
223	272	27	1
225	272	27	1
229	272	27	1
230	272	27	1
238	272	27	1
183	273	27	2
220	273	27	1
223	273	27	1
227	273	27	1
177	274	27	1
179	274	27	1
216	274	27	1
221	274	27	1
231	274	27	1
236	274	27	1
250	274	27	1
184	275	27	1
220	275	27	1
224	275	27	1
232	275	27	1
240	275	27	1
242	275	27	1
245	275	27	1
246	275	27	1
209	276	27	1
211	276	27	2
220	276	27	1
227	276	27	1
232	276	27	1
238	276	27	1
245	276	27	1
250	276	27	2
252	276	27	2
207	277	27	1
211	277	27	1
213	277	27	1
