x	y	z	Activation of gene expression by SREBF (SREBP)
244	284	21	1
246	292	21	2
244	286	24	1
245	287	24	1
246	287	24	1
251	287	24	1
243	288	24	2
244	288	24	1
249	288	24	1
233	269	25	1
238	270	25	1
227	272	25	1
233	272	25	1
238	272	25	1
236	273	25	1
238	273	25	1
232	274	25	1
234	274	25	2
238	274	25	1
235	275	25	1
236	275	25	1
238	275	25	1
234	276	25	1
236	276	25	1
239	276	25	1
232	277	25	1
234	277	25	1
237	278	25	2
231	279	25	1
233	279	25	1
239	279	25	1
247	279	25	1
232	280	25	1
233	280	25	2
234	280	25	1
241	280	25	1
234	281	25	1
240	282	25	1
248	282	25	1
230	283	25	1
232	283	25	1
235	283	25	1
243	283	25	2
245	283	25	1
247	283	25	1
234	284	25	1
243	284	25	1
235	285	25	1
237	285	25	1
239	285	25	1
250	285	25	1
252	285	25	1
252	286	25	1
223	287	25	1
237	287	25	1
238	287	25	1
245	287	25	1
246	287	25	1
251	287	25	1
242	288	25	1
226	289	25	1
234	289	25	1
237	289	25	2
244	289	25	2
234	290	25	1
240	290	25	1
246	290	25	2
235	291	25	1
239	291	25	1
245	291	25	1
246	291	25	2
235	292	25	1
243	293	25	1
246	293	25	2
239	294	25	1
243	294	25	1
247	294	25	1
245	295	25	1
239	296	25	5
244	296	25	1
243	297	25	1
240	298	25	1
243	299	25	2
227	300	25	1
183	258	26	1
182	260	26	1
230	264	26	4
235	268	26	1
236	268	26	1
227	270	26	1
238	270	26	1
250	270	26	1
236	271	26	1
215	272	26	1
237	273	26	1
239	273	26	2
248	273	26	2
232	275	26	1
245	275	26	1
249	275	26	1
232	276	26	1
233	276	26	1
234	276	26	1
239	276	26	1
209	277	26	1
210	277	26	1
232	277	26	1
236	277	26	1
240	277	26	1
249	277	26	2
250	277	26	1
235	278	26	2
236	278	26	2
249	278	26	1
251	278	26	1
207	279	26	1
234	279	26	1
248	279	26	1
249	279	26	1
208	280	26	1
248	280	26	1
249	280	26	1
231	281	26	1
235	281	26	1
240	281	26	1
244	281	26	1
246	281	26	1
229	282	26	1
235	282	26	1
237	282	26	1
242	282	26	1
251	282	26	1
254	282	26	1
209	283	26	1
233	283	26	1
238	283	26	1
246	283	26	1
233	284	26	1
235	284	26	2
238	284	26	1
242	284	26	1
235	285	26	1
237	285	26	1
255	285	26	1
232	286	26	1
235	286	26	1
238	286	26	1
242	286	26	1
247	286	26	1
254	286	26	3
224	287	26	2
243	287	26	1
250	287	26	1
251	287	26	1
253	287	26	1
235	288	26	1
236	288	26	1
241	288	26	1
253	288	26	1
222	289	26	1
231	289	26	1
232	289	26	2
242	289	26	2
227	290	26	1
244	290	26	1
222	291	26	1
229	291	26	2
235	291	26	1
246	291	26	1
226	292	26	2
227	292	26	1
240	292	26	1
250	292	26	1
254	292	26	1
225	293	26	1
244	293	26	1
220	294	26	1
242	294	26	1
245	294	26	1
243	295	26	1
245	295	26	1
240	296	26	1
241	296	26	1
243	296	26	2
236	297	26	1
237	297	26	1
244	297	26	1
236	298	26	2
242	298	26	1
239	299	26	1
241	300	26	1
227	301	26	1
184	255	27	1
181	257	27	2
215	258	27	1
185	259	27	1
188	259	27	1
232	259	27	1
176	260	27	1
185	260	27	1
186	260	27	1
227	260	27	1
234	260	27	1
237	260	27	1
186	261	27	1
232	261	27	1
237	261	27	2
180	262	27	2
184	262	27	2
227	262	27	1
238	262	27	1
184	263	27	1
230	263	27	1
232	263	27	3
233	263	27	1
239	263	27	1
244	263	27	1
180	264	27	1
186	264	27	1
219	264	27	1
222	264	27	1
231	264	27	1
239	264	27	1
189	265	27	2
215	265	27	1
233	265	27	3
234	265	27	1
240	265	27	1
178	266	27	1
201	266	27	1
216	266	27	1
221	266	27	1
226	266	27	1
227	266	27	2
228	266	27	2
229	266	27	1
231	266	27	1
232	266	27	1
233	266	27	1
237	266	27	2
215	267	27	2
217	267	27	1
226	267	27	2
231	267	27	1
236	267	27	1
239	267	27	1
180	268	27	1
215	268	27	1
217	268	27	1
223	268	27	1
224	268	27	1
225	268	27	1
231	268	27	2
247	268	27	1
178	269	27	1
215	269	27	1
229	269	27	1
240	269	27	1
241	269	27	1
179	270	27	1
181	270	27	1
184	270	27	1
192	270	27	2
197	270	27	1
207	270	27	1
215	270	27	1
216	270	27	1
217	270	27	1
230	270	27	1
234	270	27	1
236	270	27	1
243	270	27	1
248	270	27	1
250	270	27	1
180	271	27	1
182	271	27	1
208	271	27	1
211	271	27	2
216	271	27	1
225	271	27	2
226	271	27	1
231	271	27	2
232	271	27	1
235	271	27	1
239	271	27	1
240	271	27	1
248	271	27	1
250	271	27	1
176	272	27	1
206	272	27	1
208	272	27	1
215	272	27	1
216	272	27	1
220	272	27	1
223	272	27	1
225	272	27	2
227	272	27	2
231	272	27	1
232	272	27	1
235	272	27	1
237	272	27	1
240	272	27	2
241	272	27	1
251	272	27	1
210	273	27	1
215	273	27	1
223	273	27	1
235	273	27	1
246	273	27	1
178	274	27	1
179	274	27	1
203	274	27	1
208	274	27	1
211	274	27	1
226	274	27	1
230	274	27	1
237	274	27	1
250	274	27	3
252	274	27	1
254	274	27	1
206	275	27	1
217	275	27	1
220	275	27	1
235	275	27	1
236	275	27	1
246	275	27	1
247	275	27	1
249	275	27	1
250	275	27	1
252	275	27	1
205	276	27	1
214	276	27	1
222	276	27	1
232	276	27	1
234	276	27	1
208	277	27	1
212	277	27	1
231	277	27	1
233	277	27	1
237	277	27	1
238	277	27	1
243	277	27	1
248	277	27	1
250	277	27	1
252	277	27	1
209	278	27	1
210	278	27	1
213	278	27	1
214	278	27	1
220	278	27	1
238	278	27	1
239	278	27	2
240	278	27	1
246	278	27	2
201	279	27	1
219	279	27	1
237	279	27	1
246	279	27	1
209	280	27	1
235	280	27	1
236	280	27	2
248	280	27	2
251	280	27	1
252	280	27	1
206	281	27	1
222	281	27	1
229	281	27	1
233	281	27	1
236	281	27	2
239	281	27	1
241	281	27	1
244	281	27	1
245	281	27	1
252	281	27	1
206	282	27	1
212	282	27	1
227	282	27	1
231	282	27	2
237	282	27	1
245	282	27	1
249	282	27	1
254	282	27	1
208	283	27	1
232	283	27	1
240	283	27	1
241	283	27	1
242	283	27	2
244	283	27	1
248	283	27	1
255	283	27	1
206	284	27	2
213	284	27	1
230	284	27	1
235	284	27	1
243	284	27	1
254	284	27	1
199	285	27	1
200	285	27	2
208	285	27	2
209	285	27	1
215	285	27	1
224	285	27	1
240	285	27	1
242	285	27	1
247	285	27	3
249	285	27	1
250	285	27	2
209	286	27	1
218	286	27	1
219	286	27	1
222	286	27	1
235	286	27	1
236	286	27	1
237	286	27	1
240	286	27	1
247	286	27	1
251	286	27	1
252	286	27	1
210	287	27	1
223	287	27	1
233	287	27	1
248	287	27	1
249	287	27	1
253	287	27	1
256	287	27	1
204	288	27	2
214	288	27	1
225	288	27	1
226	288	27	1
232	288	27	1
233	288	27	1
235	288	27	1
243	288	27	2
249	288	27	1
251	288	27	1
252	288	27	1
209	289	27	1
222	289	27	1
226	289	27	1
227	289	27	1
234	289	27	1
242	289	27	1
243	289	27	1
254	289	27	1
225	290	27	1
227	290	27	1
228	290	27	1
230	290	27	1
235	290	27	1
239	290	27	1
241	290	27	1
244	290	27	1
250	290	27	1
210	291	27	1
222	291	27	1
225	291	27	1
233	291	27	1
234	291	27	1
237	291	27	1
238	291	27	1
243	291	27	3
246	291	27	1
248	291	27	1
250	291	27	1
252	291	27	1
257	291	27	1
211	292	27	1
212	292	27	1
219	292	27	2
225	292	27	3
227	292	27	1
228	292	27	1
234	292	27	1
241	292	27	1
246	292	27	1
250	292	27	1
253	292	27	2
254	292	27	1
211	293	27	2
229	293	27	1
238	293	27	1
242	293	27	1
217	294	27	2
220	294	27	2
236	294	27	1
245	294	27	1
249	294	27	1
253	294	27	1
257	294	27	1
219	295	27	1
223	295	27	1
243	295	27	2
244	295	27	1
250	295	27	2
251	295	27	1
211	296	27	2
236	296	27	2
238	296	27	1
244	296	27	1
246	296	27	1
247	296	27	1
217	297	27	1
236	297	27	2
237	297	27	1
238	297	27	2
243	297	27	1
223	298	27	1
235	298	27	1
237	298	27	1
238	298	27	1
215	299	27	2
230	299	27	2
236	299	27	1
239	299	27	1
241	299	27	1
242	299	27	2
246	299	27	1
237	300	27	1
240	300	27	1
242	300	27	1
247	300	27	1
248	300	27	2
235	301	27	1
236	301	27	1
237	301	27	1
238	301	27	1
247	301	27	1
235	302	27	1
236	304	27	1
243	304	27	1
237	305	27	1
234	266	28	1
237	268	28	1
238	268	28	1
238	269	28	3
236	270	28	1
250	270	28	1
238	276	28	1
235	277	28	1
238	277	28	2
210	279	28	1
235	280	28	1
241	280	28	1
208	281	28	1
210	281	28	1
250	281	28	1
247	282	28	1
251	282	28	1
237	283	28	1
246	283	28	1
246	284	28	1
250	284	28	1
254	284	28	1
238	285	28	1
239	285	28	1
248	285	28	1
237	286	28	1
248	286	28	1
249	286	28	1
240	287	28	1
244	287	28	1
246	287	28	2
238	288	28	1
242	290	28	1
244	290	28	2
249	291	28	1
250	291	28	1
247	292	28	1
250	292	28	1
243	293	28	1
248	293	28	1
240	294	28	1
250	294	28	1
245	295	28	1
240	298	28	2
240	299	28	1
229	255	29	1
233	256	29	1
234	256	29	1
235	256	29	1
230	257	29	1
228	258	29	1
235	258	29	1
188	259	29	1
240	260	29	2
227	261	29	1
229	261	29	1
230	261	29	3
220	262	29	1
229	264	29	2
226	265	29	1
238	265	29	1
248	266	29	1
250	266	29	1
197	267	29	1
214	267	29	2
230	267	29	1
226	268	29	1
236	268	29	1
204	269	29	1
235	269	29	1
248	269	29	1
175	270	29	2
230	270	29	2
232	270	29	1
234	270	29	1
239	270	29	2
203	271	29	1
235	271	29	1
238	271	29	1
240	271	29	1
215	272	29	4
224	272	29	1
232	272	29	1
234	272	29	1
238	272	29	1
239	272	29	1
241	272	29	2
249	272	29	1
251	272	29	1
236	273	29	2
238	273	29	2
206	274	29	1
214	274	29	1
239	274	29	1
247	274	29	1
232	275	29	1
239	275	29	1
208	276	29	1
228	276	29	2
236	276	29	2
237	276	29	2
238	276	29	1
250	276	29	2
232	277	29	1
234	277	29	1
236	277	29	1
251	277	29	2
236	278	29	1
235	279	29	1
238	279	29	1
246	279	29	1
252	279	29	1
235	280	29	1
241	280	29	1
254	280	29	1
256	280	29	1
