x	y	z	CREB1 phosphorylation through the activation of Adenylate Cyclase
239	272	24	1
245	287	24	1
249	288	24	1
246	289	24	1
247	289	24	1
249	289	24	1
244	291	24	1
232	265	25	1
231	268	25	1
234	271	25	1
227	272	25	1
227	273	25	1
234	274	25	2
235	274	25	1
235	275	25	1
234	276	25	1
240	276	25	2
231	277	25	1
234	277	25	1
236	277	25	1
247	277	25	1
231	278	25	1
234	278	25	1
236	278	25	1
239	278	25	1
232	279	25	1
234	279	25	1
236	279	25	1
241	279	25	1
232	280	25	1
236	280	25	1
239	280	25	1
235	281	25	1
237	281	25	1
240	281	25	2
248	281	25	1
231	282	25	1
235	282	25	1
248	282	25	1
249	282	25	2
231	283	25	1
234	283	25	1
239	283	25	1
240	283	25	2
213	284	25	1
233	284	25	2
234	284	25	1
237	284	25	1
241	284	25	1
237	285	25	1
240	285	25	1
244	285	25	1
246	285	25	1
250	285	25	1
252	285	25	1
236	286	25	1
240	286	25	1
241	286	25	2
252	286	25	1
246	287	25	1
252	287	25	2
251	288	25	1
226	289	25	1
234	289	25	1
236	289	25	1
241	289	25	1
250	289	25	1
225	290	25	1
234	290	25	1
235	290	25	2
236	290	25	1
244	290	25	1
235	291	25	2
236	291	25	1
237	291	25	2
250	291	25	1
235	292	25	1
246	293	25	1
242	294	25	1
243	294	25	1
247	294	25	1
241	295	25	1
245	295	25	1
183	258	26	1
230	264	26	1
234	265	26	1
234	267	26	1
241	267	26	1
235	268	26	1
227	270	26	2
234	270	26	1
237	270	26	1
250	270	26	1
236	271	26	1
224	272	26	2
236	272	26	1
237	273	26	2
233	274	26	1
238	274	26	2
237	275	26	1
249	275	26	1
235	276	26	1
239	276	26	1
234	278	26	1
237	278	26	1
234	279	26	2
246	279	26	2
247	280	26	1
249	280	26	1
230	281	26	2
232	281	26	2
234	281	26	1
239	281	26	1
212	282	26	1
215	282	26	1
233	282	26	1
242	282	26	1
246	282	26	1
254	282	26	1
249	283	26	1
252	283	26	1
234	284	26	1
236	284	26	1
242	284	26	1
244	284	26	1
250	284	26	1
211	285	26	1
236	285	26	1
235	286	26	1
237	286	26	1
248	286	26	1
251	286	26	1
234	287	26	1
241	288	26	1
249	288	26	2
222	289	26	2
223	289	26	1
232	289	26	1
233	289	26	1
251	289	26	1
227	290	26	1
237	290	26	1
239	290	26	1
243	290	26	1
244	290	26	2
237	291	26	1
239	292	26	1
252	292	26	1
254	292	26	1
234	293	26	1
244	293	26	1
253	293	26	1
246	294	26	2
221	295	26	1
241	296	26	1
237	297	26	1
240	297	26	1
245	297	26	1
184	256	27	2
183	259	27	1
228	259	27	2
176	260	27	1
186	260	27	1
228	260	27	1
237	260	27	1
181	261	27	1
185	261	27	1
235	261	27	1
236	261	27	2
177	262	27	1
182	262	27	1
229	262	27	1
233	262	27	1
236	262	27	1
239	262	27	2
211	263	27	1
215	263	27	1
230	263	27	1
175	264	27	1
176	264	27	1
186	264	27	1
209	264	27	2
219	264	27	1
231	264	27	1
232	264	27	2
237	264	27	1
248	264	27	1
181	265	27	1
184	265	27	1
189	265	27	2
215	265	27	1
221	265	27	1
230	265	27	1
224	266	27	1
182	267	27	1
215	267	27	1
230	267	27	1
233	267	27	1
239	267	27	1
179	268	27	1
181	268	27	1
207	268	27	1
214	268	27	1
219	268	27	1
227	268	27	1
237	268	27	1
238	268	27	1
247	268	27	2
205	269	27	1
215	269	27	1
229	269	27	1
231	269	27	1
232	269	27	1
237	269	27	1
181	270	27	2
215	270	27	2
218	270	27	1
227	270	27	2
232	270	27	1
238	270	27	1
240	270	27	1
242	270	27	1
177	271	27	1
206	271	27	1
222	271	27	1
223	271	27	1
232	271	27	2
238	271	27	1
240	271	27	2
248	271	27	1
179	272	27	2
205	272	27	1
222	272	27	1
227	272	27	1
232	272	27	1
183	273	27	1
206	273	27	1
224	273	27	1
237	273	27	1
240	273	27	2
247	273	27	1
251	273	27	1
203	274	27	1
208	274	27	1
209	274	27	1
226	274	27	1
227	274	27	1
231	274	27	2
236	274	27	1
185	275	27	1
208	275	27	2
212	275	27	1
216	275	27	1
222	275	27	1
235	275	27	1
236	275	27	1
238	275	27	1
244	275	27	1
246	275	27	1
177	276	27	1
222	276	27	1
227	276	27	1
245	276	27	1
205	277	27	2
210	277	27	1
213	277	27	1
218	277	27	1
237	277	27	1
238	277	27	1
211	278	27	1
232	278	27	1
248	278	27	1
250	278	27	1
220	279	27	1
230	279	27	1
236	279	27	1
238	279	27	2
244	279	27	2
248	279	27	1
204	280	27	1
205	280	27	1
239	280	27	1
247	280	27	1
252	280	27	1
256	280	27	1
207	281	27	1
239	281	27	1
240	281	27	2
243	281	27	2
244	281	27	1
209	282	27	1
210	282	27	1
227	282	27	1
235	282	27	1
238	282	27	1
240	282	27	1
243	282	27	2
244	282	27	1
246	282	27	1
250	282	27	1
207	283	27	1
218	283	27	1
228	283	27	1
248	283	27	1
249	283	27	1
251	283	27	1
253	283	27	1
256	283	27	1
209	284	27	1
249	284	27	1
254	284	27	1
199	285	27	1
200	285	27	1
204	285	27	1
223	285	27	1
237	285	27	1
241	285	27	1
242	285	27	1
204	286	27	1
206	286	27	1
209	286	27	1
246	286	27	1
252	286	27	1
258	286	27	1
223	287	27	1
230	287	27	1
232	287	27	1
233	287	27	1
234	287	27	1
236	287	27	1
240	287	27	1
207	288	27	2
211	288	27	1
222	288	27	1
226	288	27	2
228	288	27	1
235	288	27	1
236	288	27	1
238	288	27	1
241	288	27	1
