x	y	z	Regulation of gene expression in late stage (branching morphogenesis) pancreatic bud precursor cells
244	284	21	1
246	292	21	1
237	278	24	1
246	287	24	2
245	288	24	1
228	272	25	1
230	272	25	1
235	273	25	1
235	274	25	1
238	274	25	1
233	276	25	1
236	276	25	1
248	276	25	1
236	277	25	1
237	277	25	1
247	277	25	1
233	278	25	1
241	280	25	1
231	281	25	1
237	281	25	1
245	281	25	1
249	281	25	1
233	282	25	1
245	282	25	1
247	282	25	1
248	282	25	1
240	283	25	1
233	284	25	1
243	284	25	1
250	284	25	1
252	284	25	1
238	285	25	1
241	285	25	1
241	286	25	1
252	286	25	2
237	287	25	1
242	287	25	1
248.5	289.5	25.5	1
250	289	25	1
252	289	25	1
234	290	25	1
237	290	25	1
238	290	25	2
243	290	25	1
226	291	25	1
237	291	25	1
238	291	25	1
237	292	25	1
244	292	25	1
249	292	25	1
241	294	25	2
243	294	25	1
244	294	25	1
247	294	25	1
234	295	25	2
246	296	25	1
243	297	25	1
239	300	25	1
240	300	25	1
183	258	26	1
232	265	26	1
235	267	26	2
241	267	26	1
236	268	26	1
227	270	26	1
235	270	26	1
237	270	26	1
235	271	26	1
230	272	26	1
232	272	26	1
231	273	26	1
236	273	26	1
249	273	26	1
235	275	26	2
250	275	26	1
231	276	26	1
238	276	26	2
209	277	26	1
240	277	26	1
252	278	26	1
233	279	26	2
236	279	26	1
237	279	26	1
230	280	26	2
232	280	26	1
233	280	26	1
242	280	26	1
249	280	26	1
232	281	26	1
246	281	26	1
249	281	26	1
209	282	26	1
229	282	26	1
231	282	26	1
235	282	26	1
247	282	26	1
251	282	26	1
253	282	26	1
227	283	26	1
233	283	26	2
249	283	26	1
212	284	26	1
237	284	26	1
242	284	26	1
212	285	26	1
241	285	26	1
244	285	26	1
253	285	26	1
255	285	26	1
216	286	26	1
232	286	26	1
243	286	26	1
239	287	26	1
253	287	26	1
240	288	26	2
243	288	26	1
231	289	26	1
234	289	26	1
228	290	26	1
236	290	26	1
239	290	26	1
229	291	26	1
235	291	26	1
236	291	26	2
237	291	26	1
240	291	26	2
242	291	26	1
227	292	26	1
242	292	26	1
250	292	26	1
225	293	26	1
244	293	26	1
220	294	26	1
240	294	26	1
221	295	26	1
222	295	26	2
234	295	26	1
239	295	26	1
240	295	26	1
241	295	26	2
242	295	26	1
243	295	26	1
