x	y	z	Death Receptor Signalling
216.157603775171	275.673637444315	34.5586340221659	1
244	284	21	1
240	286	21	1
246	292	21	3
232	278	24	1
235	278	24	1
239	278	24	1
241	279	24	3
245	284	24	2
246	284	24	1
248	286	24	2
239	287	24	2
244	287	24	2
251	287	24	1
243	288	24	2
244	288	24	2
244	289	24	2
247	289	24	2
248	289	24	1
249	289	24	1
244	291	24	3
232	265	25	1
231	268	25	1
236	268	25	1
235	270	25	1
238	270	25	3
228	272	25	2
233	272	25	1
239	272	25	2
235	273	25	2
236	273	25	1
230	274	25	2
232	274	25	1
234	274	25	1
235	274	25	1
238	274	25	1
237	275	25	1
233	276	25	1
234	276	25	1
237	276	25	3
239	276	25	1
240	276	25	1
231	277	25	2
232	277	25	1
235	277	25	1
236	277	25	2
237	277	25	1
247	277	25	1
231	278	25	1
237	278	25	1
238	278	25	1
231	279	25	1
232	279	25	2
233	279	25	1
235	279	25	1
239	279	25	1
240	279	25	2
247	279	25	2
249	279	25	1
232	280	25	3
234	280	25	3
236	280	25	1
241	280	25	3
231	281	25	1
234	281	25	1
235	281	25	1
240	281	25	2
241	281	25	2
243	281	25	1
245	281	25	1
248	281	25	1
249	281	25	1
214	282	25	1
232	282	25	1
233	282	25	1
234	282	25	1
235	282	25	1
237	282	25	2
238	282	25	2
239	282	25	1
240	282	25	3
248	282	25	2
230	283	25	3
232	283	25	1
237	283	25	1
241	283	25	2
245	283	25	1
247	283	25	1
234	284	25	1
235	284	25	2
236	284	25	1
237	284	25	1
242	284	25	1
243	284	25	1
244	284	25	1
245	284	25	2
250	284	25	1
215	285	25	3
235	285	25	1
236	285	25	1
239	285	25	1
241	285	25	1
243	285	25	2
244	285	25	1
248	285	25	2
252	285	25	1
253	285	25	1
218	286	25	1
232	286	25	1
234	286	25	1
235	286	25	1
240	286	25	1
241	286	25	1
242	286	25	1
243	286	25	2
245	286	25	1
250	286	25	3
223	287	25	1
237	287	25	1
238	287	25	1
242	287	25	2
249	287	25	2
251	287	25	1
252	287	25	1
224	288	25	1
236	288	25	1
237	288	25	2
242	288	25	1
234	289	25	1
235	289	25	1
236	289	25	1
242	289	25	1
244	289	25	1
225	290	25	1
234	290	25	1
235	290	25	1
240	290	25	1
243	290	25	1
246	290	25	1
249	290	25	1
234	291	25	1
237	291	25	1
238	291	25	1
239	291	25	3
241	291	25	2
242	291	25	2
245	291	25	2
250	291	25	1
251	291	25	2
227	292	25	1
235	292	25	1
237	292	25	2
239	292	25	1
242	292	25	1
244	292	25	1
249	292	25	3
239	293	25	1
240	293	25	1
246	293	25	1
247	293	25	3
239	294	25	2
240	294	25	3
246	294	25	1
234	295	25	1
240	295	25	2
241	295	25	1
243	295	25	2
238	296	25	1
244	296	25	1
