x	y	z	Interleukin-1 signaling
216.157603775171	275.673637444315	34.5586340221659	1
244	284	21	1
240	286	21	1
246	292	21	1
240	277	24	2
232	278	24	1
239	278	24	1
241	279	24	1
245	284	24	2
244	286	24	2
248	286	24	3
244	287	24	1
251	287	24	2
244	288	24	1
245	288	24	1
246	289	24	1
247	289	24	2
249	289	24	2
231	264	25	2
232	265	25	1
231	268	25	2
233	269	25	2
235	270	25	2
238	270	25	1
234	271	25	1
230	272	25	1
233	272	25	1
238	272	25	1
239	272	25	1
227	273	25	1
233	274	25	1
234	274	25	2
235	274	25	1
232.5	276.5	25.5	3
233	276	25	2
234	276	25	3
239	276	25	1
240	276	25	1
248	276	25	1
231	277	25	1
232	277	25	2
235	277	25	2
236	277	25	1
237	277	25	2
247	277	25	1
232	278	25	1
233	278	25	1
234	278	25	2
236	278	25	2
237	278	25	3
238	278	25	1
239	278	25	1
231	279	25	1
232	279	25	1
236	279	25	4
238	279	25	1
239	279	25	1
240	279	25	3
241	279	25	1
232	280	25	1
233	280	25	1
236	280	25	2
241	280	25	1
248	280	25	1
231	281	25	2
234	281	25	3
241	281	25	2
249	281	25	2
214	282	25	1
231	282	25	2
235	282	25	1
237	282	25	2
245	282	25	2
247	282	25	1
248	282	25	2
231	283	25	1
234	283	25	1
237	283	25	2
238	283	25	1
240	283	25	2
247	283	25	1
249	283	25	1
213	284	25	1
234	284	25	1
236	284	25	1
237	284	25	2
243	284	25	1
247	284	25	2
249	284	25	2
250	284	25	3
215	285	25	2
232	285	25	2
236	285	25	2
239	285	25	2
240	285	25	1
241	285	25	1
243	285	25	3
244	285	25	2
252	285	25	3
218	286	25	2
232	286	25	1
234	286	25	1
236	286	25	1
240	286	25	1
242	286	25	2
245	286	25	1
250	286	25	1
252	286	25	1
254	286	25	1
238	287	25	2
242	287	25	2
246	287	25	1
249	287	25	1
252	287	25	1
224	288	25	1
235	288	25	1
236	288	25	3
250	288	25	1
234	289	25	1
237	289	25	1
238	289	25	1
241	289	25	3
242	289	25	1
248.5	289.5	25.5	1
250	289	25	1
235	290	25	1
236	290	25	1
238	290	25	3
240	290	25	1
244	290	25	1
246	290	25	2
249	290	25	1
226	291	25	1
235	291	25	1
236	291	25	2
238	291	25	1
239	291	25	1
242	291	25	1
245	291	25	1
246	291	25	1
251	291	25	2
227	292	25	1
237	292	25	1
238	292	25	1
242	292	25	1
243	292	25	1
244	292	25	2
239	293	25	2
240	293	25	1
247	293	25	2
241	294	25	1
243	294	25	1
244	294	25	1
234	295	25	1
240	295	25	1
241	295	25	1
243	295	25	2
245	295	25	1
238	296	25	2
239	296	25	4
242	296	25	1
247	296	25	3
243	297	25	2
240	298	25	1
241	299	25	2
243	299	25	1
227	300	25	1
238	300	25	1
