x	y	z	DNA Damage/Telomere Stress Induced Senescence
244	284	21	1
246	292	21	1
246	284	24	1
248	286	24	1
251	287	24	2
244	288	24	1
244	289	24	2
231	264	25	1
233	269	25	1
227	272	25	1
228	272	25	2
238	275	25	2
236	276	25	1
240	276	25	2
240	279	25	1
241	279	25	1
232	280	25	1
241	280	25	2
234	281	25	1
237	281	25	1
241	281	25	1
243	281	25	1
234	282	25	1
248	282	25	1
234	283	25	1
236	283	25	2
239	283	25	1
241	283	25	1
213	284	25	1
242	284	25	1
245	284	25	1
250	284	25	1
252	284	25	1
236	285	25	1
246	285	25	1
250	285	25	1
233	286	25	2
236	286	25	1
240	286	25	2
245	287	25	2
226	289	25	1
238	289	25	2
252	289	25	1
225	290	25	1
237	290	25	1
240	290	25	1
237	291	25	1
238	291	25	1
245	291	25	1
250	291	25	1
227	292	25	2
235	292	25	1
238	292	25	1
243	292	25	1
240	293	25	1
240	295	25	1
238	296	25	1
244	296	25	1
243	297	25	2
241	299	25	1
227	300	25	2
229	262	26	1
232	263	26	1
234	265	26	1
235	268	26	1
228	269	26	1
229	269	26	1
227	270	26	2
236	270	26	2
240	270	26	1
232	272	26	1
231	273	26	1
239	273	26	1
245	275	26	1
248	275	26	2
207	276	26	1
231	276	26	1
209	277	26	1
210	277	26	2
232	277	26	1
250	277	26	1
231	278	26	1
237	278	26	2
252	278	26	1
231	279	26	1
239	279	26	1
208	280	26	1
232	280	26	1
241	280	26	1
242	280	26	1
232	281	26	1
234	281	26	2
212	282	26	1
240	282	26	1
227	283	26	1
239	283	26	1
241	283	26	1
249	283	26	1
253	283	26	1
254	283	26	1
234	284	26	1
236	284	26	1
238	284	26	1
244	284	26	2
246	284	26	1
252	284	26	2
212	285	26	2
214	285	26	1
234	285	26	1
241	285	26	1
246	285	26	1
247	285	26	1
252	285	26	1
255	285	26	1
237	286	26	1
242	286	26	1
248	286	26	1
252	286	26	1
254	286	26	1
224	287	26	1
228	287	26	1
237	287	26	1
238	287	26	1
243	287	26	1
249	287	26	1
253	287	26	1
232	288	26	1
236	288	26	1
243	288	26	1
245	288	26	1
248	288	26	1
232	289	26	1
234	289	26	1
236	289	26	1
244	290	26	1
250	290	26	1
232	291	26	1
238	291	26	1
240	291	26	1
249	291	26	1
227	292	26	1
238	292	26	1
249	292	26	1
234	293	26	1
