x	y	z	NEP/NS2 Interacts with the Cellular Export Machinery
240	286	21	1
246	292	21	3
245	284	24	1
244	286	24	1
245	287	24	1
243	288	24	1
247	289	24	1
249	289	24	1
244	291	24	1
232	265	25	1
231	268	25	1
235	270	25	2
233	272	25	1
235	273	25	1
232	274	25	2
233	274	25	1
235	274	25	1
235	275	25	1
237	275	25	1
233	276	25	1
234	276	25	1
235	276	25	2
236	276	25	2
237	276	25	2
240	276	25	1
231	277	25	1
232	277	25	2
234	277	25	1
236	277	25	1
237	277	25	1
247	277	25	1
232	278	25	1
234	278	25	1
237	278	25	1
239	278	25	1
233	279	25	1
234	279	25	2
235	279	25	1
236	279	25	1
239	279	25	1
241	279	25	1
247	279	25	1
232	280	25	1
233	280	25	1
234	280	25	1
236	280	25	1
241	280	25	2
234	281	25	1
235	281	25	1
240	281	25	1
241	281	25	1
248	281	25	1
235	282	25	1
237	282	25	1
240	282	25	1
247	282	25	2
230	283	25	1
233	283	25	1
234	283	25	3
235	283	25	1
238	283	25	1
239	283	25	1
249	283	25	1
234	284	25	1
235	284	25	1
236	284	25	1
243	284	25	1
244	284	25	2
250	284	25	1
234	285	25	1
237	285	25	1
239	285	25	3
248	285	25	1
250	285	25	1
253	285	25	1
218	286	25	1
233	286	25	1
235	286	25	1
236	286	25	1
245	286	25	1
237	287	25	1
238	287	25	1
245	287	25	1
251	287	25	1
237	288	25	3
239	288	25	1
250	288	25	1
251	288	25	1
234	289	25	1
248.5	289.5	25.5	1
250	289	25	1
236	290	25	1
238	290	25	2
240	290	25	1
249	290	25	1
236	291	25	1
239	291	25	1
241	291	25	2
242	291	25	1
250	291	25	1
251	291	25	1
243	292	25	3
249	292	25	1
250	292	25	1
247	293	25	1
240	294	25	1
242	294	25	1
244	294	25	1
246	294	25	1
234	295	25	1
243	295	25	1
242	296	25	1
247	296	25	1
243	297	25	2
227	300	25	1
238	300	25	1
239	300	25	1
182	259	26	1
182	260	26	1
229	262	26	1
229	264	26	1
231	264	26	1
232	265	26	2
233	268	26	1
236	268	26	3
229	269	26	1
234	270	26	1
238	270	26	3
229	271	26	1
215	272	26	1
226	272	26	1
230	272	26	1
232	272	26	1
231	273	26	1
236	273	26	1
249	273	26	1
231	274	26	1
235	275	26	1
245	275	26	2
248	275	26	1
249	275	26	1
215	276	26	1
232	276	26	1
233	276	26	1
239	276	26	1
244	276	26	2
207	277	26	2
231	277	26	1
240	277	26	1
234	278	26	1
235	278	26	1
237	278	26	2
239	278	26	1
240	278	26	2
249	278	26	2
252	278	26	1
207	279	26	2
231	279	26	2
232	279	26	2
233	279	26	1
234	279	26	1
246	279	26	1
233	280	26	1
236	280	26	1
238	280	26	2
241	280	26	1
242	280	26	1
248	280	26	1
250	280	26	1
231	281	26	2
234	281	26	1
236	281	26	1
239	281	26	1
240	281	26	1
250	281	26	2
208	282	26	1
212	282	26	1
215	282	26	1
233	282	26	1
234	282	26	1
242	282	26	2
246	282	26	2
253	282	26	1
227	283	26	1
234	283	26	1
245	283	26	1
254	283	26	1
214	284	26	1
232	284	26	1
243	284	26	1
246	284	26	1
248	284	26	2
232	285	26	1
244	285	26	1
245	285	26	1
250	285	26	1
233	286	26	2
235	286	26	1
236	286	26	1
241	286	26	1
250	286	26	1
252	286	26	1
254	286	26	1
234	287	26	1
247	287	26	1
248	287	26	1
253	287	26	1
235	288	26	1
241	288	26	1
249	288	26	1
222	289	26	1
232	289	26	2
236	289	26	1
238	289	26	1
240	289	26	1
243	289	26	2
248	289	26	1
250	289	26	1
251	289	26	1
225	290	26	1
227	290	26	1
239	290	26	1
242	290	26	1
244	290	26	2
222	291	26	2
236	291	26	1
240	291	26	1
242	291	26	1
244	291	26	2
250	291	26	1
226	292	26	1
240	292	26	2
249	292	26	1
250	292	26	1
225	293	26	1
239	293	26	2
244	293	26	1
246	293	26	1
253	293	26	1
220	294	26	1
235	294	26	2
241	294	26	1
239	295	26	2
240	295	26	2
241	295	26	1
242	295	26	1
243	295	26	3
244	295	26	1
242	296	26	2
244	296	26	1
237	297	26	1
239	297	26	1
242	297	26	1
245	297	26	1
246	297	26	1
240	298	26	1
242	298	26	2
236	299	26	2
241	299	26	1
225	300	26	2
227	300	26	1
236	300	26	2
181	257	27	1
183	257	27	1
186	257	27	1
181	258	27	2
176	260	27	2
183	260	27	1
235	260	27	1
237	260	27	1
177	261	27	2
181	261	27	1
182	261	27	1
184	261	27	1
