x	y	z	NoRC negatively regulates rRNA expression
239	272	24	1
246	284	24	1
244	286	24	3
244	287	24	1
245	287	24	2
246	287	24	1
251	287	24	1
243	288	24	1
244	288	24	1
245	288	24	1
249	288	24	1
244	289	24	1
246	289	24	1
249	289	24	1
244	290	24	1
231	268	25	2
238	270	25	3
227	272	25	2
233	272	25	1
235	273	25	1
230	274	25	2
232	274	25	1
235	274	25	2
235	275	25	1
236	275	25	1
238	275	25	1
233	276	25	1
236	276	25	1
239	276	25	1
240	276	25	1
237	277	25	2
247	277	25	1
231	278	25	1
239	278	25	1
235	279	25	1
232	280	25	1
234	280	25	1
239	280	25	1
245	280	25	1
235	281	25	1
237	281	25	1
240	281	25	1
248	281	25	1
235	282	25	1
237	282	25	2
249	282	25	3
233	283	25	1
235	283	25	2
238	283	25	2
239	283	25	1
246	283	25	1
234	284	25	1
241	284	25	1
247	284	25	2
249	284	25	1
215	285	25	1
234	285	25	1
235	285	25	1
236	285	25	1
239	285	25	1
241	285	25	2
243	285	25	1
246	285	25	1
248	285	25	1
235	286	25	1
236	286	25	1
241	286	25	1
242	286	25	1
245	286	25	1
254	286	25	1
238	287	25	1
245	287	25	1
251	287	25	1
224	288	25	2
236	288	25	1
239	288	25	1
250	288	25	1
234	289	25	1
237	289	25	1
238	289	25	1
244	289	25	1
234	290	25	1
235	290	25	1
244	290	25	2
250	290	25	1
237	291	25	4
239	291	25	1
245	291	25	1
246	291	25	1
237	292	25	1
242	292	25	2
250	292	25	2
240	293	25	1
244	293	25	1
247	293	25	1
244	294	25	1
247	294	25	1
237	295	25	1
243	295	25	1
238	296	25	1
243	297	25	1
240	298	25	1
243	299	25	1
238	300	25	1
239	302	25	1
182	260	26	1
229	264	26	2
230	264	26	1
215	265	26	1
232	265	26	2
234	265	26	2
230	267	26	2
228	269	26	1
229	269	26	2
236	269	26	2
233	270	26	1
238	270	26	1
229	271	26	2
235	271	26	1
217	272	26	1
223	272	26	1
232	272	26	1
234	272	26	2
248	273	26	1
231	274	26	1
238	274	26	1
233	275	26	1
245	275	26	1
248	275	26	1
207	276	26	1
215	276	26	1
231	276	26	1
232	276	26	2
233	276	26	1
234	276	26	2
235	276	26	1
237	276	26	1
207	277	26	1
237	277	26	1
231	278	26	1
234	278	26	1
239	278	26	2
243	278	26	1
207	279	26	1
232	279	26	1
233	279	26	1
236	279	26	2
240	279	26	1
250	279	26	1
208	280	26	2
238	280	26	2
242	280	26	3
247	280	26	1
249	280	26	1
236	281	26	1
237	281	26	1
239	281	26	1
246	281	26	2
215	282	26	1
235	282	26	1
237	282	26	1
238	282	26	1
245	282	26	2
251	282	26	2
253	282	26	1
254	282	26	1
234	283	26	1
239	283	26	1
243	283	26	1
253	283	26	1
254	283	26	1
238	284	26	1
241	284	26	2
243	284	26	1
244	284	26	2
252	284	26	2
214	285	26	1
234	285	26	1
235	285	26	1
244	285	26	1
255	285	26	2
225	286	26	1
232	286	26	1
233	286	26	1
234	286	26	1
238	286	26	1
240	286	26	1
241	286	26	1
242	286	26	1
252	286	26	1
223	287	26	1
234	287	26	1
236	287	26	1
238	287	26	1
239	287	26	1
247	287	26	1
249	287	26	3
250	287	26	1
251	287	26	2
252	287	26	1
241	288	26	1
243	288	26	1
250	288	26	1
252	288	26	2
253	288	26	1
233	289	26	1
234	289	26	1
238	289	26	1
240	289	26	1
242	289	26	1
252	289	26	1
233	290	26	1
236	290	26	1
237	290	26	1
239	290	26	1
242	290	26	1
243	290	26	1
222	291	26	1
232	291	26	1
244	291	26	1
245	291	26	1
237	292	26	1
240	292	26	1
242	292	26	1
244	292	26	1
247	292	26	1
249	292	26	1
234	293	26	2
236	293	26	1
237	293	26	2
238	293	26	1
239	293	26	1
240	293	26	2
244	293	26	1
245	293	26	1
246	293	26	1
253	293	26	3
220	294	26	1
235	294	26	1
241	294	26	1
242	294	26	3
246	294	26	2
234	295	26	2
240	295	26	1
242	295	26	1
243	295	26	1
248	295	26	1
235	296	26	2
240	296	26	1
239	297	26	2
244	297	26	1
245	297	26	1
246	298	26	1
241	299	26	1
225	300	26	1
227	300	26	1
183	258	27	1
232	258	27	1
180	259	27	1
183	259	27	1
228	259	27	1
176	260	27	2
184	260	27	1
226	260	27	1
237	260	27	2
180	261	27	1
187	261	27	2
220	261	27	2
228	261	27	2
231	261	27	1
235	261	27	1
236	261	27	1
237	261	27	2
177	262	27	2
227	262	27	1
229	262	27	1
233	262	27	1
236	262	27	2
239	262	27	1
210	263	27	2
211	263	27	1
215	263	27	1
220	263	27	2
225	263	27	1
229	263	27	1
234	263	27	1
236	263	27	1
180	264	27	2
224	264	27	1
225	264	27	1
231	264	27	2
238	264	27	1
239	264	27	1
248	264	27	1
181	265	27	1
189	265	27	1
221	265	27	1
226	265	27	1
233	265	27	1
234	265	27	2
235	265	27	1
238	265	27	1
239	265	27	1
178	266	27	1
217	266	27	1
228	266	27	1
231	266	27	1
232	266	27	2
235	266	27	1
239	266	27	1
179	267	27	2
214	267	27	1
234	267	27	1
235	267	27	3
250	267	27	1
197	268	27	1
213	268	27	1
214	268	27	1
215	268	27	1
216	268	27	1
222	268	27	1
224	268	27	1
225	268	27	2
228	268	27	1
231	268	27	3
238	268	27	2
239	268	27	1
241	268	27	2
177	269	27	1
179	269	27	2
201	269	27	1
213	269	27	1
215	269	27	1
224	269	27	2
225	269	27	1
227	269	27	1
229	269	27	2
231	269	27	1
238	269	27	4
239	269	27	1
240	269	27	2
242	269	27	1
178	270	27	1
181	270	27	1
184	270	27	1
192	270	27	2
215	270	27	1
221	270	27	1
226	270	27	1
232	270	27	1
233	270	27	3
234	270	27	1
237	270	27	1
240	270	27	2
244	270	27	1
248	270	27	1
177	271	27	2
180	271	27	2
208	271	27	2
209	271	27	2
210	271	27	1
217	271	27	2
222	271	27	2
231	271	27	1
233	271	27	1
234	271	27	1
236	271	27	1
247	271	27	2
248	271	27	1
249	271	27	2
250	271	27	1
176	272	27	2
203	272	27	2
214	272	27	1
220	272	27	2
230	272	27	1
231	272	27	1
232	272	27	1
236	272	27	2
237	272	27	2
238	272	27	1
250	272	27	1
203	273	27	1
205	273	27	1
206	273	27	1
215	273	27	2
217	273	27	1
220	273	27	1
223	273	27	1
227	273	27	1
229	273	27	1
238	273	27	1
249	273	27	2
251	273	27	1
253	273	27	1
177	274	27	1
178	274	27	1
179	274	27	1
182	274	27	1
204	274	27	1
206	274	27	1
207	274	27	2
214	274	27	1
216	274	27	1
227	274	27	2
231	274	27	2
236	274	27	1
237	274	27	1
238	274	27	1
239	274	27	1
240	274	27	1
250	274	27	1
184	275	27	1
205	275	27	1
213	275	27	1
214	275	27	1
216	275	27	1
217	275	27	1
218	275	27	1
220	275	27	2
222	275	27	1
228	275	27	2
232	275	27	2
233	275	27	1
237	275	27	1
238	275	27	1
240	275	27	1
246	275	27	1
252	275	27	2
254	275	27	1
208	276	27	2
212	276	27	1
214	276	27	1
215	276	27	1
217	276	27	1
238	276	27	1
239	276	27	2
240	276	27	1
246	276	27	1
247	276	27	1
250	276	27	1
252	276	27	1
204	277	27	2
207	277	27	3
218	277	27	2
220	277	27	1
224	277	27	1
235	277	27	1
236	277	27	2
237	277	27	1
240	277	27	1
245	277	27	1
246	277	27	1
249	277	27	1
250	277	27	1
204	278	27	1
208	278	27	1
210	278	27	1
219	278	27	1
221	278	27	2
227	278	27	1
229	278	27	2
233	278	27	1
234	278	27	1
238	278	27	1
245	278	27	2
248	278	27	1
249	278	27	1
250	278	27	1
251	278	27	3
252	278	27	1
207	279	27	1
219	279	27	1
220	279	27	1
236	279	27	1
239	279	27	1
241	279	27	1
242	279	27	1
244	279	27	2
245	279	27	1
246	279	27	1
252	279	27	1
209	280	27	1
234	280	27	2
243	280	27	1
244	280	27	1
245	280	27	1
207	281	27	1
209	281	27	1
217	281	27	1
233	281	27	1
235	281	27	1
236	281	27	1
239	281	27	1
240	281	27	2
241	281	27	1
244	281	27	1
245	281	27	1
248	281	27	1
249	281	27	2
254	281	27	1
209	282	27	4
210	282	27	2
216	282	27	1
217	282	27	1
227	282	27	1
237	282	27	1
239	282	27	3
240	282	27	2
250	282	27	2
253	282	27	1
206	283	27	1
207	283	27	2
210	283	27	2
236	283	27	1
238	283	27	1
239	283	27	1
240	283	27	1
243	283	27	1
244	283	27	1
245	283	27	1
251	283	27	1
254	283	27	1
255	283	27	1
208	284	27	2
210	284	27	1
213	284	27	1
238	284	27	2
250	284	27	2
253	284	27	1
255	284	27	1
204	285	27	1
209	285	27	1
211	285	27	1
213	285	27	1
219	285	27	1
224	285	27	2
236	285	27	1
239	285	27	2
240	285	27	1
247	285	27	1
250	285	27	2
254	285	27	1
204	286	27	2
206	286	27	2
209	286	27	1
211	286	27	1
219	286	27	1
222	286	27	2
225	286	27	2
233	286	27	1
235	286	27	1
236	286	27	1
241	286	27	1
246	286	27	1
247	286	27	2
248	286	27	2
249	286	27	1
251	286	27	1
222	287	27	2
228	287	27	1
231	287	27	1
233	287	27	1
236	287	27	1
237	287	27	1
247	287	27	1
248	287	27	1
249	287	27	1
256	287	27	2
224	288	27	1
226	288	27	1
228	288	27	1
229	288	27	1
231	288	27	1
233	288	27	1
236	288	27	1
241	288	27	1
243	288	27	1
244	288	27	1
253	288	27	1
222	289	27	1
223	289	27	1
224	289	27	1
225	289	27	1
226	289	27	1
228	289	27	1
237	289	27	1
238	289	27	1
239	289	27	2
240	289	27	1
242	289	27	1
249	289	27	1
252	289	27	1
254	289	27	1
256	289	27	1
214	290	27	1
232	290	27	1
243	290	27	2
246	290	27	1
247	290	27	2
252	290	27	2
253	290	27	2
213	291	27	2
227	291	27	1
230	291	27	1
233	291	27	1
236	291	27	1
237	291	27	1
238	291	27	1
240	291	27	1
249	291	27	1
252	291	27	1
211	292	27	1
229	292	27	1
230	292	27	2
235	292	27	1
239	292	27	1
247	292	27	1
249	292	27	2
250	292	27	1
252	292	27	1
210	293	27	2
211	293	27	1
220	293	27	1
221	293	27	1
226	293	27	1
237	293	27	1
238	293	27	1
239	293	27	2
247	293	27	1
248	293	27	1
253	293	27	1
246	294	27	1
248	294	27	1
250	294	27	1
252	294	27	1
253	294	27	2
255	294	27	1
257	294	27	1
218	295	27	1
219	295	27	1
222	295	27	2
248	295	27	1
249	295	27	1
251	295	27	1
211	296	27	2
220	296	27	4
221	296	27	1
236	296	27	2
239	296	27	1
240	296	27	1
241	296	27	1
246	296	27	2
249	296	27	1
252	296	27	1
255	296	27	1
244	297	27	1
245	297	27	1
246	297	27	1
252	297	27	1
253	297	27	1
221	298	27	1
223	298	27	1
237	298	27	1
239	298	27	2
247	298	27	1
248	298	27	1
223	299	27	1
226	299	27	1
229	299	27	1
236	299	27	1
239	299	27	1
242	299	27	1
246	299	27	2
247	299	27	1
252	299	27	1
227	300	27	1
228	300	27	2
242	300	27	1
244	300	27	1
224	301	27	1
237	301	27	1
238	301	27	1
247	301	27	1
235	302	27	1
239	302	27	2
245	302	27	1
235	304	27	1
235	305	27	1
