x	y	z	ATF4 activates genes in response to endoplasmic reticulum  stress
216.157603775171	275.673637444315	34.5586340221659	3
239	272	24	1
240	277	24	1
237	278	24	1
239	278	24	1
241	279	24	2
244	286	24	2
248	286	24	2
239	287	24	1
244	287	24	1
251	287	24	1
243	288	24	1
247	289	24	2
249	289	24	1
244	290	24	3
244	291	24	2
231	264	25	1
232	265	25	1
233	269	25	1
235	270	25	1
227	272	25	1
230	272	25	2
238	272	25	3
239	272	25	1
235	273	25	3
232	274	25	1
233	274	25	1
234	274	25	4
235	274	25	1
238	274	25	1
235	275	25	1
232.5	276.5	25.5	1
234	276	25	2
235	276	25	2
236	276	25	1
233	277	25	1
236	277	25	1
237	277	25	2
232	278	25	2
234	278	25	2
231	279	25	2
233	279	25	2
236	279	25	1
238	279	25	2
239	279	25	1
241	279	25	1
233	280	25	3
241	280	25	1
248	280	25	2
231	281	25	2
234	281	25	2
235	281	25	1
237	281	25	1
245	281	25	1
248	281	25	2
214	282	25	1
234	282	25	1
230	283	25	3
231	283	25	2
233	283	25	1
243	283	25	1
247	283	25	2
236	284	25	2
241	284	25	1
245	284	25	2
247	284	25	1
250	284	25	2
252	284	25	3
232	285	25	1
238	285	25	1
239	285	25	2
240	285	25	1
241	285	25	1
243	285	25	1
244	285	25	3
246	285	25	1
248	285	25	1
252	285	25	2
253	285	25	1
235	286	25	2
236	286	25	2
240	286	25	1
241	286	25	2
242	286	25	1
243	286	25	1
245	286	25	1
252	286	25	1
223	287	25	1
237	287	25	1
238	287	25	3
242	287	25	3
245	287	25	2
252	287	25	2
239	288	25	1
242	288	25	1
226	289	25	1
234	289	25	1
235	289	25	1
236	289	25	1
242	289	25	1
250	289	25	1
252	289	25	1
225	290	25	1
238	290	25	3
240	290	25	1
244	290	25	2
246	290	25	2
249	290	25	1
250	290	25	1
235	291	25	1
237	291	25	2
241	291	25	1
242	291	25	2
250	291	25	1
251	291	25	1
235	292	25	1
238	292	25	1
239	292	25	1
244	292	25	2
249	292	25	1
243	293	25	3
246	293	25	1
247	293	25	2
240	294	25	1
243	294	25	1
244	294	25	1
246	294	25	1
247	294	25	1
234	295	25	1
237	295	25	1
240	295	25	1
243	295	25	1
245	295	25	1
239	296	25	1
242	296	25	1
244	296	25	1
246	296	25	1
227	300	25	1
239	300	25	1
182	259	26	1
215	265	26	1
234	267	26	1
235	267	26	2
241	267	26	1
233	268	26	1
235	268	26	1
236	268	26	2
228	269	26	2
229	269	26	1
237	269	26	1
227	270	26	1
228	270	26	2
237	270	26	1
240	270	26	2
250	270	26	2
236	271	26	3
240	271	26	2
215	272	26	1
217	272	26	2
224	272	26	2
226	272	26	1
232	272	26	1
236	272	26	1
237	273	26	2
239	273	26	1
248	273	26	1
249	273	26	1
231	274	26	2
233	274	26	1
238	274	26	1
233	275	26	1
235	275	26	2
236	275	26	1
248	275	26	1
249	275	26	1
250	275	26	2
207	276	26	1
215	276	26	2
231	276	26	1
232	276	26	1
233	276	26	1
238	276	26	1
207	277	26	1
210	277	26	2
231	277	26	2
234	277	26	2
235	277	26	1
236	277	26	1
237	277	26	2
239	277	26	1
231	278	26	1
232	278	26	1
233	278	26	3
234	278	26	2
235	278	26	1
236	278	26	2
239	278	26	1
240	278	26	1
249	278	26	1
252	278	26	2
231	279	26	1
232	279	26	2
233	279	26	3
236	279	26	1
239	279	26	3
240	279	26	1
246	279	26	1
248	279	26	1
249	279	26	2
232	280	26	1
233	280	26	1
234	280	26	1
240	280	26	1
241	280	26	1
242	280	26	1
247	280	26	1
248	280	26	1
249	280	26	2
250	280	26	1
230	281	26	1
232	281	26	1
235	281	26	1
237	281	26	1
239	281	26	1
240	281	26	1
248	281	26	1
209	282	26	2
231	282	26	1
238	282	26	1
240	282	26	2
246	282	26	3
247	282	26	1
250	282	26	2
251	282	26	1
227	283	26	1
233	283	26	2
238	283	26	2
241	283	26	1
243	283	26	2
245	283	26	2
246	283	26	2
249	283	26	1
251	283	26	1
252	283	26	2
253	283	26	1
214	284	26	1
232	284	26	3
235	284	26	1
236	284	26	1
237	284	26	2
238	284	26	1
241	284	26	1
243	284	26	1
244	284	26	1
245	284	26	1
248	284	26	1
250	284	26	1
252	284	26	2
232	285	26	1
234	285	26	1
236	285	26	1
237	285	26	2
240	285	26	2
244	285	26	1
246	285	26	1
247	285	26	1
250	285	26	2
254	285	26	1
216	286	26	3
233	286	26	1
234	286	26	1
235	286	26	1
237	286	26	2
238	286	26	1
246	286	26	1
247	286	26	1
249	286	26	2
250	286	26	2
253	286	26	1
254	286	26	1
223	287	26	1
228	287	26	1
232	287	26	2
236	287	26	2
237	287	26	1
247	287	26	2
249	287	26	1
250	287	26	1
251	287	26	2
232	288	26	1
235	288	26	1
240	288	26	2
243	288	26	1
245	288	26	2
249	288	26	2
252	288	26	1
253	288	26	1
223	289	26	1
233	289	26	2
248	289	26	2
250	289	26	2
251	289	26	1
225	290	26	1
228	290	26	1
233	290	26	1
237	290	26	2
240	290	26	1
244	290	26	1
250	290	26	1
222	291	26	1
232	291	26	1
237	291	26	2
239	291	26	1
240	291	26	1
242	291	26	1
245	291	26	1
227	292	26	2
238	292	26	1
240	292	26	1
242	292	26	1
244	292	26	2
246	292	26	1
251	292	26	1
254	292	26	3
225	293	26	1
234	293	26	2
237	293	26	1
240	293	26	2
244	293	26	1
253	293	26	2
220	294	26	2
235	294	26	2
237	294	26	1
239	294	26	2
242	294	26	2
244	294	26	1
246	294	26	1
221	295	26	1
222	295	26	3
237	295	26	2
240	295	26	1
242	295	26	1
248	295	26	2
254	295	26	1
235	296	26	1
239	296	26	2
241	296	26	1
244	296	26	1
236	297	26	1
237	297	26	1
240	297	26	2
242	297	26	1
245	297	26	2
246	297	26	1
235	298	26	2
236	298	26	2
239	298	26	1
240	298	26	1
241	299	26	1
243	299	26	1
225	300	26	1
236	300	26	1
235	301	26	1
184	256	27	1
183	257	27	1
180	259	27	1
184	259	27	2
185	259	27	1
188	259	27	1
229	259	27	2
231	259	27	1
232	259	27	1
181	260	27	1
183	260	27	1
184	260	27	1
185	260	27	2
186	260	27	1
227	260	27	1
228	260	27	3
235	260	27	3
237	260	27	1
177	261	27	1
180	261	27	1
182	261	27	1
183	261	27	1
184	261	27	1
220	261	27	1
228	261	27	1
229	261	27	2
231	261	27	1
234	261	27	1
180	262	27	1
227	262	27	1
229	262	27	1
236	262	27	1
238	262	27	2
175	263	27	2
178	263	27	1
179	263	27	2
181	263	27	1
211	263	27	1
215	263	27	1
220	263	27	2
225	263	27	1
227	263	27	1
229	263	27	2
231	263	27	2
232	263	27	2
238	263	27	1
239	263	27	2
244	263	27	1
176	264	27	1
186	264	27	1
222	264	27	1
224	264	27	2
225	264	27	1
229	264	27	1
230	264	27	1
232	264	27	1
237	264	27	1
239	264	27	1
248	264	27	2
181	265	27	1
184	265	27	1
212	265	27	1
232	265	27	1
235	265	27	2
236	265	27	1
238	265	27	1
239	265	27	2
240	265	27	2
178	266	27	1
180	266	27	2
216	266	27	1
219	266	27	1
221	266	27	1
224	266	27	2
226	266	27	1
228	266	27	2
230	266	27	1
231	266	27	1
235	266	27	2
179	267	27	1
214	267	27	1
215	267	27	1
217	267	27	1
232	267	27	2
235	267	27	1
240	267	27	1
250	267	27	1
181	268	27	1
216	268	27	2
217	268	27	1
219	268	27	2
222	268	27	1
223	268	27	1
224	268	27	1
226	268	27	1
230	268	27	1
232	268	27	1
233	268	27	2
237	268	27	2
238	268	27	1
240	268	27	1
179	269	27	1
182	269	27	1
207	269	27	2
211	269	27	1
213	269	27	2
215	269	27	1
227	269	27	2
228	269	27	1
232	269	27	1
233	269	27	1
235	269	27	1
236	269	27	1
239	269	27	1
241	269	27	2
252	269	27	2
178	270	27	1
181	270	27	1
184	270	27	1
197	270	27	3
207	270	27	1
217	270	27	1
221	270	27	3
227	270	27	2
231	270	27	2
234	270	27	1
236	270	27	1
237	270	27	3
238	270	27	1
239	270	27	1
242	270	27	2
248	270	27	1
177	271	27	1
178	271	27	2
181	271	27	2
208	271	27	1
210	271	27	1
223	271	27	1
225	271	27	1
226	271	27	2
228	271	27	2
230	271	27	1
232	271	27	2
234	271	27	1
236	271	27	1
237	271	27	1
238	271	27	2
248	271	27	1
250	271	27	1
251	271	27	1
176	272	27	1
179	272	27	2
181	272	27	1
203	272	27	2
208	272	27	1
213	272	27	1
214	272	27	1
215	272	27	2
220	272	27	1
225	272	27	1
227	272	27	1
229	272	27	1
230	272	27	1
235	272	27	3
237	272	27	2
238	272	27	1
239	272	27	2
247	272	27	1
183	273	27	1
203	273	27	1
205	273	27	1
207	273	27	1
210	273	27	1
212	273	27	2
223	273	27	1
224	273	27	2
229	273	27	1
231	273	27	1
237	273	27	1
240	273	27	1
248	273	27	1
251	273	27	1
253	273	27	2
177	274	27	1
182	274	27	1
203	274	27	1
204	274	27	1
206	274	27	1
208	274	27	2
209	274	27	1
211	274	27	3
212	274	27	3
213	274	27	1
214	274	27	2
221	274	27	1
224	274	27	1
226	274	27	2
227	274	27	1
228	274	27	2
230	274	27	1
231	274	27	1
232	274	27	1
237	274	27	1
238	274	27	1
241	274	27	2
243	274	27	1
247	274	27	1
250	274	27	2
252	274	27	1
185	275	27	1
205	275	27	2
206	275	27	1
208	275	27	1
211	275	27	4
212	275	27	1
214	275	27	1
217	275	27	3
218	275	27	1
223	275	27	1
232	275	27	1
233	275	27	1
236	275	27	1
239	275	27	3
242	275	27	1
246	275	27	1
249	275	27	1
250	275	27	1
252	275	27	1
254	275	27	1
204	276	27	1
205	276	27	2
210	276	27	1
214	276	27	1
220	276	27	1
222	276	27	3
230	276	27	1
234	276	27	1
239	276	27	1
244	276	27	1
246	276	27	1
250	276	27	2
204	277	27	2
210	277	27	1
213	277	27	2
224	277	27	1
227	277	27	2
233	277	27	1
235	277	27	1
238	277	27	1
240	277	27	1
245	277	27	2
246	277	27	1
249	277	27	2
250	277	27	4
203	278	27	1
204	278	27	1
211	278	27	1
213	278	27	1
219	278	27	1
220	278	27	2
230	278	27	1
232	278	27	2
235	278	27	1
238	278	27	1
239	278	27	1
240	278	27	2
244	278	27	1
245	278	27	3
249	278	27	2
252	278	27	1
220	279	27	1
230	279	27	1
235	279	27	1
236	279	27	2
238	279	27	1
239	279	27	1
243	279	27	1
244	279	27	2
246	279	27	1
247	279	27	2
249	279	27	1
252	279	27	1
206	280	27	1
208	280	27	1
209	280	27	3
214	280	27	2
233	280	27	2
