x	y	z	Leading Strand Synthesis
216.157603775171	275.673637444315	34.5586340221659	1
244	284	21	2
246	292	21	1
239	272	24	1
237	278	24	1
239	278	24	1
248	286	24	1
245	287	24	1
244	289	24	2
246	289	24	2
247	289	24	1
231	264	25	1
236	268	25	1
228	272	25	1
230	272	25	1
233	272	25	1
238	272	25	2
236	273	25	2
230	274	25	1
234	274	25	1
235	274	25	1
235	275	25	1
236	275	25	1
232.5	276.5	25.5	1
235	276	25	1
236	276	25	1
248	276	25	1
234	277	25	1
247	277	25	2
231	278	25	1
234	278	25	1
237	278	25	1
238	278	25	1
232	279	25	1
237	279	25	1
238	279	25	2
234	280	25	2
248	280	25	1
235	281	25	2
237	281	25	1
240	281	25	1
243	281	25	1
214	282	25	1
231	282	25	1
232	282	25	3
235	282	25	1
239	282	25	1
240	282	25	1
247	282	25	1
232	283	25	1
235	283	25	1
237	283	25	1
238	283	25	1
247	283	25	1
213	284	25	1
234	284	25	1
235	284	25	1
236	284	25	1
237	284	25	2
241	284	25	1
242	284	25	1
249	284	25	1
237	285	25	1
243	285	25	1
244	285	25	3
253	285	25	1
233	286	25	1
234	286	25	1
243	286	25	1
245	286	25	1
223	287	25	1
238	287	25	1
242	287	25	1
242	288	25	1
235	289	25	1
238	289	25	1
250	289	25	2
236	290	25	1
238	290	25	1
250	290	25	1
238	291	25	1
251	291	25	1
235	292	25	1
238	292	25	1
249	292	25	1
239	293	25	1
240	293	25	1
239	294	25	1
242	294	25	1
246	294	25	2
245	295	25	1
239	296	25	1
242	296	25	1
247	296	25	2
239	297	25	2
241	299	25	1
227	300	25	2
232	263	26	1
215	265	26	1
237	266	26	1
235	267	26	1
233	268	26	1
236	268	26	1
228	269	26	1
229	269	26	2
234	270	26	1
235	270	26	2
229	271	26	1
235	271	26	1
236	271	26	1
215	272	26	1
223	272	26	1
226	272	26	1
239	272	26	1
239	273	26	1
248	273	26	1
249	273	26	1
236	274	26	1
238	274	26	1
233	275	26	1
236	275	26	2
239	275	26	1
245	275	26	2
246	275	26	1
248	275	26	1
207	276	26	1
233	276	26	2
238	276	26	1
210	277	26	1
231	277	26	2
237	277	26	1
250	277	26	2
231	278	26	1
233	278	26	1
234	278	26	1
239	278	26	2
240	278	26	1
249	278	26	1
251	278	26	1
252	278	26	2
233	279	26	1
239	279	26	1
241	279	26	1
248	279	26	1
249	279	26	1
230	280	26	1
238	280	26	2
241	280	26	1
247	280	26	1
250	280	26	1
234	281	26	1
235	281	26	1
240	281	26	1
246	281	26	1
248	281	26	1
212	282	26	1
237	282	26	1
238	282	26	1
240	282	26	1
242	282	26	1
247	282	26	1
253	282	26	1
254	282	26	2
209	283	26	1
227	283	26	1
234	283	26	1
238	283	26	1
243	283	26	2
249	283	26	2
252	283	26	1
212	284	26	1
233	284	26	3
236	284	26	1
237	284	26	1
241	284	26	1
242	284	26	1
245	284	26	1
250	284	26	1
252	284	26	1
211	285	26	1
212	285	26	1
237	285	26	2
241	285	26	1
245	285	26	1
252	285	26	1
254	285	26	1
233	286	26	2
240	286	26	1
243	286	26	2
251	286	26	3
254	286	26	1
228	287	26	2
234	287	26	1
236	287	26	1
248	287	26	1
251	287	26	1
252	287	26	1
253	287	26	1
235	288	26	2
243	288	26	1
245	288	26	1
248	288	26	2
250	288	26	2
222	289	26	1
231	289	26	1
242	289	26	1
252	289	26	2
228	290	26	1
236	290	26	1
242	290	26	2
243	290	26	2
229	291	26	1
239	291	26	2
240	291	26	2
242	291	26	1
246	291	26	1
249	291	26	1
225	292	26	1
239	292	26	2
249	292	26	2
252	292	26	1
225	293	26	2
247	293	26	2
243	294	26	1
244	294	26	1
245	294	26	1
246	294	26	1
222	295	26	1
241	295	26	1
242	295	26	1
245	295	26	2
254	295	26	2
235	296	26	1
240	296	26	1
244	296	26	1
236	297	26	1
239	297	26	1
240	297	26	1
239	299	26	2
240	299	26	2
241	299	26	2
243	299	26	1
225	300	26	1
227	300	26	1
241	300	26	1
184	255	27	2
184	256	27	1
181	257	27	1
183	258	27	1
229	259	27	1
231	259	27	1
183	260	27	2
226	260	27	1
228	260	27	1
233	260	27	1
235	260	27	1
177	261	27	1
183	261	27	1
185	261	27	1
187	261	27	1
222	261	27	1
227	261	27	1
230	261	27	1
232	261	27	1
234	261	27	1
235	261	27	1
236	261	27	1
237	261	27	1
182	262	27	1
184	262	27	2
186	262	27	1
233	262	27	1
175	263	27	1
178	263	27	1
210	263	27	1
211	263	27	1
225	263	27	1
229	263	27	1
233	263	27	1
238	263	27	1
209	264	27	2
224	264	27	1
226	264	27	1
228	264	27	1
229	264	27	1
231	264	27	1
232	264	27	1
184	265	27	1
225	265	27	1
230	265	27	1
231	265	27	1
232	265	27	2
233	265	27	2
234	265	27	3
238	265	27	2
239	265	27	1
240	265	27	1
178	266	27	1
180	266	27	1
201	266	27	1
215	266	27	2
219	266	27	1
226	266	27	1
234	266	27	1
235	266	27	1
239	266	27	1
179	267	27	1
226	267	27	1
228	267	27	1
231	267	27	1
180	268	27	1
197	268	27	1
213	268	27	1
214	268	27	1
216	268	27	1
225	268	27	1
226	268	27	1
227	268	27	1
230	268	27	2
232	268	27	1
233	268	27	1
236	268	27	1
237	268	27	3
247	268	27	1
177	269	27	1
205	269	27	1
211	269	27	1
215	269	27	2
218	269	27	2
229	269	27	1
235	269	27	1
237	269	27	1
241	269	27	2
179	270	27	1
184	270	27	1
197	270	27	2
215	270	27	1
217	270	27	1
227	270	27	1
230	270	27	1
231	270	27	2
239	270	27	1
242	270	27	1
243	270	27	1
244	270	27	1
248	270	27	1
250	270	27	1
177	271	27	1
178	271	27	1
181	271	27	1
206	271	27	1
207	271	27	2
209	271	27	1
217	271	27	1
222	271	27	1
225	271	27	2
236	271	27	1
237	271	27	2
249	271	27	1
176	272	27	1
181	272	27	1
204	272	27	1
206	272	27	1
208	272	27	1
214	272	27	1
215	272	27	1
216	272	27	1
225	272	27	1
228	272	27	1
229	272	27	1
230	272	27	2
231	272	27	1
237	272	27	2
238	272	27	2
239	272	27	1
240	272	27	1
249	272	27	1
205	273	27	1
207	273	27	1
211	273	27	1
213	273	27	1
227	273	27	1
234	273	27	3
237	273	27	1
241	273	27	2
246	273	27	2
248	273	27	1
251	273	27	1
253	273	27	1
204	274	27	3
206	274	27	1
207	274	27	1
209	274	27	2
213	274	27	1
214	274	27	1
221	274	27	1
224	274	27	1
227	274	27	1
228	274	27	1
230	274	27	1
238	274	27	2
239	274	27	1
241	274	27	2
247	274	27	1
252	274	27	1
208	275	27	2
213	275	27	1
214	275	27	1
216	275	27	2
220	275	27	1
