x	y	z	Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models
216.157603775171	275.673637444315	34.5586340221659	1
240	286	21	1
246	292	21	2
240	277	24	2
232	278	24	2
235	278	24	1
241	279	24	2
244	286	24	1
248	286	24	1
239	287	24	1
246	287	24	1
251	287	24	1
244	288	24	4
245	288	24	1
246	289	24	2
244	291	24	1
235	270	25	3
234	271	25	1
230	272	25	2
233	272	25	1
238	272	25	3
238	273	25	1
230	274	25	1
231	274	25	1
233	274	25	2
234	274	25	1
236	275	25	1
234	276	25	1
235	276	25	2
233	277	25	2
247	277	25	1
231	278	25	2
232	278	25	1
233	278	25	1
234	278	25	1
236	278	25	1
238	278	25	2
239	278	25	1
231	279	25	2
234	279	25	1
236	279	25	3
237	279	25	1
247	279	25	2
249	279	25	2
232	280	25	1
233	280	25	1
236	280	25	1
239	280	25	2
245	280	25	1
248	280	25	1
231	281	25	1
235	281	25	2
243	281	25	1
245	281	25	1
249	281	25	1
231	282	25	1
232	282	25	2
235	282	25	2
237	282	25	1
239	282	25	1
240	282	25	1
245	282	25	1
248	282	25	1
249	282	25	1
231	283	25	1
232	283	25	1
236	283	25	1
238	283	25	2
239	283	25	1
245	283	25	1
249	283	25	1
213	284	25	1
233	284	25	2
234	284	25	3
236	284	25	1
237	284	25	1
245	284	25	1
250	284	25	1
215	285	25	1
232	285	25	2
234	285	25	2
235	285	25	1
237	285	25	2
238	285	25	1
239	285	25	1
244	285	25	1
248	285	25	1
250	285	25	1
232	286	25	3
233	286	25	1
234	286	25	1
236	286	25	1
241	286	25	1
242	286	25	1
243	286	25	3
254	286	25	3
223	287	25	1
238	287	25	1
245	287	25	2
249	287	25	2
252	287	25	2
224	288	25	1
237	288	25	1
239	288	25	1
242	288	25	1
251	288	25	2
226	289	25	2
235	289	25	2
236	289	25	3
237	289	25	1
241	289	25	1
242	289	25	2
248.5	289.5	25.5	1
225	290	25	2
235	290	25	1
236	290	25	1
238	290	25	1
243	290	25	2
249	290	25	3
226	291	25	5
234	291	25	1
239	291	25	1
241	291	25	1
242	291	25	1
246	291	25	1
251	291	25	2
227	292	25	1
238	292	25	2
244	292	25	1
249	292	25	1
240	293	25	3
243	293	25	1
244	293	25	2
246	293	25	1
247	293	25	1
241	294	25	1
242	294	25	1
243	294	25	2
244	294	25	1
246	294	25	1
247	294	25	2
240	295	25	1
243	295	25	1
242	296	25	2
244	296	25	1
247	296	25	1
239	297	25	1
243	297	25	1
240	298	25	1
241	299	25	3
240	300	25	1
239	302	25	1
176	259	26	1
182	259	26	1
182	260	26	1
232	263	26	1
230	264	26	1
215	265	26	1
234	265	26	3
230	267	26	2
235	267	26	1
241	267	26	1
229	269	26	1
237	269	26	1
227	270	26	2
234	270	26	1
240	270	26	2
250	270	26	2
236	271	26	1
240	271	26	2
215	272	26	1
217	272	26	1
226	272	26	1
230	272	26	1
232	272	26	2
239	272	26	3
236	273	26	2
239	273	26	2
233	274	26	2
236	274	26	1
238	274	26	1
236	275	26	1
250	275	26	1
207	276	26	2
233	276	26	1
235	276	26	2
237	276	26	1
238	276	26	1
239	276	26	3
244	276	26	2
248	276	26	2
250	276	26	2
213	277	26	1
230	277	26	1
231	277	26	1
232	277	26	2
235	277	26	1
249	277	26	2
233	278	26	2
234	278	26	2
235	278	26	2
236	278	26	1
237	278	26	1
239	278	26	1
243	278	26	1
249	278	26	1
251	278	26	1
207	279	26	3
232	279	26	1
234	279	26	1
236	279	26	2
237	279	26	3
240	279	26	1
241	279	26	3
248	279	26	1
250	279	26	1
208	280	26	1
232	280	26	1
233	280	26	2
236	280	26	2
240	280	26	1
241	280	26	2
