x	y	z	Integration of energy metabolism
216.157603775171	275.673637444315	34.5586340221659	2
246	292	21	2
232	278	24	1
235	278	24	1
237	278	24	1
239	278	24	1
246	284	24	1
248	286	24	1
244	287	24	1
245	287	24	1
244	288	24	1
246	289	24	1
231	264	25	1
231	268	25	2
236	268	25	2
233	269	25	2
235	270	25	1
227	272	25	2
230	272	25	1
238	272	25	1
227	273	25	2
236	273	25	2
238	273	25	1
230	274	25	1
233	274	25	1
235	274	25	1
237	275	25	1
235	276	25	3
237	276	25	1
240	276	25	2
248	276	25	1
232	277	25	1
233	277	25	1
234	277	25	2
235	277	25	2
247	277	25	3
232	278	25	1
231	279	25	2
232	279	25	3
233	279	25	1
234	279	25	1
237	279	25	2
238	279	25	1
239	279	25	1
247	279	25	1
232	280	25	2
248	280	25	1
235	281	25	1
237	281	25	1
240	281	25	1
248	281	25	2
249	281	25	1
231	282	25	1
233	282	25	1
234	282	25	1
235	282	25	1
237	282	25	1
238	282	25	1
240	282	25	2
248	282	25	1
249	282	25	1
231	283	25	1
234	283	25	1
237	283	25	1
239	283	25	1
241	283	25	1
245	283	25	2
249	283	25	1
213	284	25	1
234	284	25	2
241	284	25	3
242	284	25	2
243	284	25	1
244	284	25	2
245	284	25	1
247	284	25	1
215	285	25	2
232	285	25	1
234	285	25	2
239	285	25	1
241	285	25	1
244	285	25	3
250	285	25	1
252	285	25	1
218	286	25	1
234	286	25	2
240	286	25	1
241	286	25	1
242	286	25	1
254	286	25	2
245	287	25	1
249	287	25	1
224	288	25	1
236	288	25	2
237	288	25	1
239	288	25	1
242	288	25	1
251	288	25	1
235	289	25	1
236	289	25	1
241	289	25	1
242	289	25	1
238	290	25	1
243	290	25	1
249	290	25	1
235	291	25	1
236	291	25	1
242	291	25	1
251	291	25	2
227	292	25	2
235	292	25	3
238	292	25	2
239	292	25	1
244	292	25	3
249	292	25	1
250	292	25	1
239	293	25	1
243	293	25	1
244	293	25	1
247	293	25	2
242	294	25	2
244	294	25	1
247	294	25	1
234	295	25	2
237	295	25	1
240	295	25	2
241	295	25	1
245	295	25	1
238	296	25	1
247	296	25	1
239	297	25	1
243	297	25	1
238	300	25	1
239	300	25	1
183	258	26	1
229	262	26	1
230	264	26	1
234	265	26	1
230	267	26	1
235	267	26	1
241	267	26	2
236	268	26	1
241	268	26	1
229	269	26	1
228	270	26	1
235	270	26	1
237	270	26	1
238	270	26	2
250	270	26	1
235	271	26	1
236	271	26	2
240	271	26	1
224	272	26	1
230	272	26	2
232	272	26	1
234	272	26	1
236	272	26	1
239	272	26	1
231	273	26	1
237	273	26	1
232	275	26	1
233	275	26	2
235	275	26	1
236	275	26	1
237	275	26	4
250	275	26	4
207	276	26	2
232	276	26	1
235	276	26	1
237	276	26	2
238	276	26	1
239	276	26	1
230	277	26	2
232	277	26	1
235	277	26	1
236	277	26	1
239	277	26	1
249	277	26	1
233	278	26	1
239	278	26	1
243	278	26	3
249	278	26	1
231	279	26	1
232	279	26	1
236	279	26	2
239	279	26	1
208	280	26	1
233	280	26	1
236	280	26	2
240	280	26	1
250	280	26	1
217	281	26	1
232	281	26	1
234	281	26	2
235	281	26	1
237	281	26	1
244	281	26	1
247	281	26	2
248	281	26	2
250	281	26	1
208	282	26	2
209	282	26	1
212	282	26	1
234	282	26	1
242	282	26	1
249	282	26	1
209	283	26	2
227	283	26	3
233	283	26	1
238	283	26	1
241	283	26	1
246	283	26	1
248	283	26	1
249	283	26	1
253	283	26	1
212	284	26	1
215	284	26	2
232	284	26	1
233	284	26	1
238	284	26	2
242	284	26	1
250	284	26	1
252	284	26	2
232	285	26	1
235	285	26	1
236	285	26	1
240	285	26	1
241	285	26	1
245	285	26	1
246	285	26	2
253	285	26	2
216	286	26	2
225	286	26	1
235	286	26	1
237	286	26	1
240	286	26	1
241	286	26	2
246	286	26	1
247	286	26	1
248	286	26	1
251	286	26	3
252	286	26	3
254	286	26	2
224	287	26	1
232	287	26	1
248	287	26	1
249	287	26	1
250	287	26	1
251	287	26	1
253	287	26	1
236	288	26	2
241	288	26	1
245	288	26	1
248	288	26	1
250	288	26	1
227	289	26	1
231	289	26	1
232	289	26	2
235	289	26	1
238	289	26	1
240	289	26	2
242	289	26	2
243	289	26	1
252	289	26	2
225	290	26	1
228	290	26	1
233	290	26	1
239	290	26	1
240	290	26	3
242	290	26	1
243	290	26	1
250	290	26	1
222	291	26	1
232	291	26	4
240	291	26	2
245	291	26	1
246	291	26	1
249	291	26	1
225	292	26	1
226	292	26	1
227	292	26	1
237	292	26	1
240	292	26	2
242	292	26	1
245	292	26	2
249	292	26	1
236	293	26	1
237	293	26	2
239	293	26	1
244	293	26	1
247	293	26	3
220	294	26	1
239	294	26	1
242	294	26	1
245	294	26	2
249	294	26	1
222	295	26	1
234	295	26	1
237	295	26	1
244	295	26	1
245	295	26	1
240	296	26	1
241	296	26	1
242	296	26	3
243	296	26	1
236	297	26	1
237	297	26	1
240	297	26	3
242	297	26	1
244	297	26	1
246	297	26	1
239	298	26	1
239	299	26	2
243	299	26	1
225	300	26	1
236	300	26	1
235	301	26	3
184	255	27	1
184	256	27	2
181	258	27	1
215	258	27	1
232	258	27	2
183	259	27	1
185	259	27	1
188	259	27	3
228	259	27	1
229	259	27	1
232	259	27	1
176	260	27	1
185	260	27	1
235	260	27	1
240	260	27	1
177	261	27	1
180	261	27	1
182	261	27	2
184	261	27	1
185	261	27	1
187	261	27	1
220	261	27	1
228	261	27	1
229	261	27	3
230	261	27	1
232	261	27	1
234	261	27	1
237	261	27	1
177	262	27	1
180	262	27	1
227	262	27	1
229	262	27	2
236	262	27	2
175	263	27	1
178	263	27	1
183	263	27	2
225	263	27	1
229	263	27	1
230	263	27	1
231	263	27	1
232	263	27	2
233	263	27	1
234	263	27	1
238	263	27	1
225	264	27	1
228	264	27	4
229	264	27	1
230	264	27	1
231	264	27	2
234	264	27	1
239	264	27	1
240	264	27	2
184	265	27	1
230	265	27	1
231	265	27	1
234	265	27	1
237	265	27	1
240	265	27	2
178	266	27	1
179	266	27	1
201	266	27	1
217	266	27	1
221	266	27	1
233	266	27	2
234	266	27	1
235	266	27	1
239	266	27	1
179	267	27	1
182	267	27	3
214	267	27	1
231	267	27	1
232	267	27	1
234	267	27	1
235	267	27	2
239	267	27	1
241	267	27	1
250	267	27	1
179	268	27	1
181	268	27	1
197	268	27	1
207	268	27	1
215	268	27	1
216	268	27	2
222	268	27	1
224	268	27	1
229	268	27	2
232	268	27	2
233	268	27	2
236	268	27	1
239	268	27	1
240	268	27	1
247	268	27	2
178	269	27	1
179	269	27	1
180	269	27	1
182	269	27	1
