x	y	z	Processing of Capped Intronless Pre-mRNA
239	272	24	1
232	278	24	1
235	278	24	2
241	279	24	2
251	287	24	2
245	288	24	2
246	289	24	1
231	264	25	1
231	268	25	1
236	268	25	1
235	270	25	1
227	272	25	1
228	272	25	2
233	272	25	1
235	273	25	1
230	274	25	1
235	274	25	1
237	275	25	1
238	275	25	1
232	277	25	1
236	277	25	1
237	277	25	1
234	278	25	1
236	278	25	1
233	279	25	1
236	279	25	1
237	279	25	1
249	279	25	1
232	280	25	1
239	280	25	1
248	280	25	2
234	281	25	1
241	281	25	1
243	281	25	1
231	282	25	2
233	282	25	1
234	282	25	1
240	282	25	1
230	283	25	1
233	283	25	1
234	283	25	1
239	283	25	1
241	283	25	2
233	284	25	1
241	284	25	1
243	284	25	1
245	284	25	1
232	285	25	1
235	285	25	1
241	285	25	1
243	285	25	1
244	285	25	1
252	285	25	2
233	286	25	1
235	286	25	1
241	286	25	3
254	286	25	1
237	287	25	1
239	288	25	1
242	288	25	1
241	289	25	2
225	290	25	1
234	290	25	1
235	290	25	1
250	290	25	2
226	291	25	1
234	291	25	1
251	291	25	2
235	292	25	1
237	292	25	1
238	292	25	2
239	292	25	1
243	292	25	2
244	292	25	2
249	292	25	1
246	293	25	1
239	294	25	1
238	296	25	2
242	296	25	1
244	296	25	1
239	297	25	2
239	300	25	1
239	302	25	1
215	265	26	1
237	266	26	1
234	267	26	1
241	268	26	1
229	269	26	1
237	270	26	1
238	270	26	1
229	271	26	1
236	271	26	1
240	271	26	1
217	272	26	1
223	272	26	1
236	272	26	1
239	273	26	3
233	274	26	1
238	274	26	1
233	275	26	2
249	275	26	1
215	276	26	3
231	276	26	1
239	276	26	3
250	276	26	1
210	277	26	1
230	277	26	1
232	277	26	1
236	277	26	1
237	277	26	2
247	277	26	1
235	278	26	1
207	279	26	1
234	279	26	1
240	279	26	2
208	280	26	1
230	280	26	1
238	280	26	1
240	280	26	1
247	280	26	1
248	280	26	1
249	280	26	1
250	280	26	1
217	281	26	1
230	281	26	1
231	281	26	1
236	281	26	1
237	281	26	1
240	281	26	1
246	281	26	1
248	281	26	1
249	281	26	1
233	282	26	1
238	282	26	2
246	282	26	1
249	282	26	2
250	282	26	1
251	282	26	1
254	282	26	1
209	283	26	1
231	283	26	1
233	283	26	1
234	283	26	1
239	283	26	1
243	283	26	1
233	284	26	1
234	284	26	3
241	284	26	2
242	284	26	1
243	284	26	1
246	284	26	1
214	285	26	1
235	285	26	1
236	285	26	1
247	285	26	1
253	285	26	1
254	285	26	1
255	285	26	1
240	286	26	1
248	286	26	1
249	286	26	1
224	287	26	1
228	287	26	1
237	287	26	1
238	287	26	2
247	287	26	1
251	287	26	1
241	288	26	1
245	288	26	2
249	288	26	1
222	289	26	1
223	289	26	1
227	289	26	1
238	289	26	1
242	289	26	1
250	289	26	1
251	289	26	1
228	290	26	1
236	290	26	1
239	290	26	2
240	290	26	1
243	290	26	1
232	291	26	1
236	291	26	1
238	291	26	1
246	291	26	1
237	292	26	2
238	292	26	1
239	292	26	1
246	292	26	1
247	292	26	2
249	292	26	1
252	292	26	1
234	293	26	1
237	293	26	1
244	293	26	1
253	293	26	1
235	294	26	2
242	294	26	1
237	295	26	1
239	295	26	1
241	295	26	1
242	295	26	1
243	295	26	1
240	296	26	1
242	296	26	1
244	296	26	2
236	297	26	1
239	297	26	2
242	297	26	2
246	297	26	1
235	298	26	1
236	298	26	1
246	298	26	1
239	299	26	1
225	300	26	1
236	300	26	1
235	301	26	1
181	257	27	2
183	258	27	1
226	259	27	2
229	259	27	1
231	259	27	1
183	260	27	1
177	261	27	1
181	261	27	1
183	261	27	1
184	261	27	2
222	261	27	1
232	261	27	2
235	261	27	1
237	261	27	1
239	261	27	1
186	262	27	1
232	262	27	1
238	262	27	1
239	262	27	1
179	263	27	1
220	263	27	2
225	263	27	1
234	263	27	1
236	263	27	1
244	263	27	1
228	264	27	1
229	264	27	2
237	264	27	1
240	264	27	1
221	265	27	1
225	265	27	1
178	266	27	1
215	266	27	1
217	266	27	1
224	266	27	1
233	266	27	1
234	266	27	2
239	266	27	1
214	267	27	1
217	267	27	2
228	267	27	1
229	267	27	1
250	267	27	1
213	268	27	1
222	268	27	1
223	268	27	1
232	268	27	1
235	268	27	1
237	268	27	1
238	268	27	1
240	268	27	2
247	268	27	1
179	269	27	1
225	269	27	2
227	269	27	1
232	269	27	1
236	269	27	1
242	269	27	1
252	269	27	1
192	270	27	1
197	270	27	1
207	270	27	1
217	270	27	1
221	270	27	1
231	270	27	1
232	270	27	1
242	270	27	1
244	270	27	1
177	271	27	1
180	271	27	2
181	271	27	1
182	271	27	1
215	271	27	1
217	271	27	2
225	271	27	1
226	271	27	1
228	271	27	1
230	271	27	1
232	271	27	1
234	271	27	1
213	272	27	1
220	272	27	1
222	272	27	1
227	272	27	1
228	272	27	1
230	272	27	3
234	272	27	1
235	272	27	1
239	272	27	1
247	272	27	3
203	273	27	1
210	273	27	1
211	273	27	1
213	273	27	1
220	273	27	1
223	273	27	1
227	273	27	2
235	273	27	1
247	273	27	1
248	273	27	1
177	274	27	1
203	274	27	1
204	274	27	1
208	274	27	1
209	274	27	1
227	274	27	1
240	274	27	2
243	274	27	1
247	274	27	1
252	274	27	1
185	275	27	1
211	275	27	2
216	275	27	1
218	275	27	1
220	275	27	1
222	275	27	2
239	275	27	2
240	275	27	1
244	275	27	2
245	275	27	1
206	276	27	1
208	276	27	3
211	276	27	1
222	276	27	1
230	276	27	2
232	276	27	1
246	276	27	1
212	277	27	1
215	277	27	1
246	277	27	1
208	278	27	1
210	278	27	1
211	278	27	1
214	278	27	1
219	278	27	1
225	278	27	1
229	278	27	1
234	278	27	1
235	278	27	1
246	278	27	1
251	278	27	1
219	279	27	1
230	279	27	1
240	279	27	1
245	279	27	1
246	279	27	1
252	279	27	2
204	280	27	1
207	280	27	1
233	280	27	1
234	280	27	1
244	280	27	1
245	280	27	3
249	280	27	1
214	281	27	1
231	281	27	1
233	281	27	1
240	281	27	1
246	281	27	2
251	281	27	1
205	282	27	1
209	282	27	1
212	282	27	1
214	282	27	1
217	282	27	1
235	282	27	1
239	282	27	1
240	282	27	1
242	282	27	1
