x	y	z	SLBP independent Processing of Histone Pre-mRNAs
239	272	24	1
235	278	24	1
244	286	24	1
248	289	24	1
239	272	25	1
235	277	25	1
231	278	25	1
232	279	25	1
234	280	25	1
236	280	25	1
231	281	25	2
234	281	25	1
237	281	25	1
232	282	25	1
238	282	25	2
248	282	25	1
230	283	25	1
233	283	25	1
237	283	25	1
240	283	25	1
243	283	25	1
243	284	25	1
245	284	25	1
215	285	25	1
239	285	25	1
233	286	25	1
240	286	25	1
243	290	25	1
245	291	25	1
251	291	25	1
238	292	25	1
247	293	25	1
239	296	25	1
244	296	25	1
227	300	25	1
234	265	26	1
237	266	26	1
234	267	26	2
241	267	26	1
241	268	26	1
236	269	26	1
234	270	26	1
237	270	26	1
239	272	26	1
236	273	26	2
250	275	26	1
207	276	26	1
244	276	26	1
236	278	26	1
240	279	26	1
241	279	26	1
248	279	26	1
249	280	26	1
217	281	26	1
238	282	26	1
246	286	26	1
228	287	26	1
237	287	26	1
238	287	26	1
239	287	26	1
240	288	26	1
233	289	26	1
250	290	26	1
222	291	26	1
236	291	26	1
244	292	26	1
234	293	26	1
239	293	26	1
253	293	26	1
220	294	26	1
240	294	26	2
235	296	26	1
246	298	26	1
184	256	27	1
229	259	27	1
185	260	27	1
226	260	27	1
180	261	27	1
230	261	27	1
234	261	27	1
177	262	27	1
175	263	27	1
182	263	27	1
229	263	27	1
238	263	27	1
181	265	27	1
184	265	27	1
189	265	27	1
221	265	27	1
233	265	27	1
237	265	27	1
221	266	27	1
227	266	27	1
214	267	27	1
215	267	27	1
233	267	27	1
249	267	27	1
181	268	27	1
207	268	27	1
226	268	27	1
247	268	27	1
180	269	27	1
184	270	27	1
215	270	27	1
242	270	27	1
211	271	27	1
240	271	27	1
179	272	27	1
216	272	27	1
239	272	27	2
207	273	27	1
238	273	27	1
227	274	27	1
229	274	27	1
212	275	27	1
220	275	27	1
235	275	27	1
236	275	27	1
249	275	27	1
210	276	27	1
213	276	27	1
215	276	27	1
238	276	27	1
218	277	27	1
227	277	27	1
221	278	27	1
225	278	27	1
233	278	27	1
234	278	27	2
245	278	27	1
201	279	27	1
214	280	27	1
246	280	27	1
238	281	27	1
244	281	27	1
212	282	27	1
229	282	27	1
243	282	27	1
247	282	27	1
207	283	27	1
228	283	27	1
251	283	27	2
256	284	27	2
228	285	27	1
250	285	27	1
256	285	27	1
216	286	27	2
224	286	27	1
241	286	27	1
210	287	27	1
222	287	27	1
233	287	27	1
