x	y	z	Cholesterol biosynthesis
240	286	21	2
246	292	21	1
239	272	24	1
240	277	24	1
245	287	24	1
251	287	24	1
243	288	24	1
244	288	24	2
249	288	24	1
244	291	24	1
231	264	25	1
232	265	25	1
236	268	25	1
233	269	25	1
235	270	25	1
238	272	25	3
239	272	25	1
227	273	25	1
238	273	25	1
231	274	25	1
233	274	25	3
235	274	25	6
235	275	25	1
237	275	25	1
238	275	25	2
233	276	25	1
239	276	25	1
232	277	25	1
235	277	25	1
236	277	25	1
232	278	25	1
233	278	25	1
234	278	25	1
237	278	25	2
238	278	25	1
239	278	25	1
231	279	25	1
232	279	25	1
234	279	25	1
236	279	25	1
238	279	25	1
232	280	25	1
234	280	25	2
236	280	25	2
239	280	25	1
241	280	25	1
245	280	25	1
248	280	25	1
235	281	25	1
245	281	25	1
249	281	25	1
214	282	25	1
231	282	25	1
235	282	25	1
240	282	25	1
248	282	25	2
230	283	25	2
233	283	25	1
234	283	25	1
239	283	25	2
249	283	25	1
213	284	25	1
233	284	25	1
237	284	25	1
241	284	25	2
242	284	25	1
247	284	25	1
252	284	25	1
235	285	25	2
237	285	25	1
238	285	25	1
239	285	25	1
244	285	25	1
248	285	25	1
252	285	25	3
253	285	25	1
234	286	25	1
240	286	25	1
223	287	25	1
237	287	25	1
242	287	25	2
237	288	25	2
239	288	25	2
242	288	25	1
251	288	25	1
226	289	25	1
234	289	25	1
235	289	25	1
237	289	25	1
250	289	25	2
235	290	25	1
246	290	25	1
250	290	25	1
236	291	25	1
237	291	25	1
239	291	25	2
242	291	25	1
246	291	25	1
227	292	25	1
238	292	25	1
239	292	25	1
242	292	25	1
243	292	25	1
249	292	25	1
243	293	25	2
241	294	25	1
242	294	25	2
243	294	25	1
244	294	25	1
246	294	25	1
234	295	25	1
245	295	25	1
238	296	25	1
242	296	25	1
244	296	25	2
241	299	25	1
243	299	25	1
239	300	25	1
240	300	25	1
182	259	26	2
182	260	26	1
229	262	26	1
230	264	26	1
234	265	26	1
237	266	26	1
234	267	26	1
236	268	26	2
238	270	26	1
240	270	26	1
235	271	26	2
215	272	26	1
239	272	26	1
236	273	26	1
248	273	26	1
249	273	26	1
233	274	26	1
238	274	26	1
233	275	26	1
237	275	26	1
239	275	26	1
245	275	26	1
250	275	26	1
233	276	26	1
234	276	26	1
239	276	26	1
244	276	26	1
248	276	26	1
250	276	26	1
207	277	26	1
209	277	26	1
210	277	26	1
232	277	26	1
234	277	26	1
237	277	26	1
240	277	26	1
250	277	26	2
231	278	26	1
232	278	26	2
234	278	26	2
249	278	26	1
251	278	26	1
231	279	26	1
234	279	26	1
236	279	26	1
239	279	26	1
240	279	26	1
248	279	26	2
249	279	26	1
250	279	26	1
230	280	26	1
241	280	26	1
247	280	26	1
249	280	26	2
232	281	26	1
234	281	26	1
235	281	26	1
236	281	26	1
246	281	26	1
209	282	26	1
215	282	26	1
234	282	26	2
240	282	26	1
209	283	26	1
234	283	26	1
239	283	26	1
245	283	26	1
246	283	26	1
249	283	26	1
236	284	26	1
237	284	26	1
238	284	26	1
241	284	26	1
250	284	26	1
212	285	26	1
214	285	26	1
232	285	26	1
234	285	26	1
235	285	26	1
236	285	26	1
245	285	26	1
246	285	26	1
247	285	26	1
253	285	26	2
254	285	26	2
255	285	26	1
216	286	26	1
233	286	26	1
237	286	26	1
242	286	26	1
243	286	26	2
248	286	26	1
249	286	26	1
250	286	26	1
254	286	26	1
223	287	26	1
228	287	26	1
232	287	26	1
236	287	26	2
238	287	26	1
239	287	26	1
243	287	26	1
247	287	26	1
251	287	26	1
252	287	26	3
232	288	26	1
243	288	26	2
253	288	26	1
232	289	26	1
233	289	26	1
234	289	26	2
236	289	26	1
238	289	26	1
240	289	26	1
248	289	26	1
233	290	26	1
236	290	26	1
238	290	26	1
240	290	26	2
250	290	26	1
229	291	26	1
232	291	26	1
235	291	26	2
238	291	26	1
239	291	26	1
240	291	26	1
245	291	26	1
250	291	26	1
227	292	26	1
239	292	26	1
244	292	26	1
236	293	26	1
239	293	26	2
253	293	26	1
239	294	26	1
242	294	26	1
243	294	26	2
249	294	26	1
222	295	26	2
237	295	26	1
240	295	26	1
241	295	26	1
244	295	26	1
235	296	26	2
239	296	26	1
241	296	26	1
243	296	26	2
244	296	26	1
239	297	26	1
242	298	26	1
239	299	26	3
241	299	26	1
227	300	26	2
227	301	26	1
235	301	26	1
184	255	27	1
184	256	27	1
181	257	27	1
183	258	27	1
184	258	27	1
232	258	27	1
188	259	27	2
228	259	27	1
231	259	27	3
232	259	27	1
181	260	27	1
226	260	27	1
228	260	27	1
177	261	27	2
180	261	27	1
185	261	27	1
186	261	27	1
228	261	27	2
229	261	27	1
230	261	27	2
232	261	27	2
234	261	27	3
235	261	27	2
236	261	27	1
182	262	27	1
184	262	27	1
232	262	27	1
233	262	27	1
238	262	27	1
175	263	27	1
185	263	27	1
210	263	27	1
211	263	27	1
227	263	27	1
229	263	27	1
230	263	27	2
231	263	27	2
232	263	27	1
233	263	27	1
234	263	27	2
239	263	27	2
175	264	27	1
