x	y	z	RNA Polymerase II Promoter Escape
244	284	21	1
240	286	21	2
245	287	24	1
246	287	24	1
251	287	24	1
249	288	24	2
247	289	24	1
248	289	24	1
244	291	24	1
232	265	25	2
236	268	25	2
238	270	25	1
228	272	25	2
238	272	25	1
239	272	25	1
227	273	25	1
236	273	25	1
231	274	25	1
238	274	25	2
236	275	25	2
237	275	25	1
232.5	276.5	25.5	1
234	276	25	1
235	276	25	1
237	276	25	3
233	277	25	1
235	277	25	1
236	277	25	1
237	277	25	1
234	278	25	1
231	279	25	1
233	279	25	1
234	279	25	1
235	279	25	1
236	279	25	1
237	279	25	1
238	279	25	1
239	279	25	2
234	280	25	1
239	280	25	2
231	281	25	1
241	281	25	2
248	281	25	1
214	282	25	1
233	282	25	2
234	282	25	1
239	282	25	1
231	283	25	1
232	283	25	1
236	283	25	1
235	284	25	1
241	284	25	1
245	284	25	1
247	284	25	1
249	284	25	1
215	285	25	1
232	285	25	1
237	285	25	1
238	285	25	1
244	285	25	1
250	285	25	2
236	286	25	2
242	286	25	1
243	286	25	2
223	287	25	1
242	287	25	1
224	288	25	1
237	288	25	1
234	289	25	1
238	289	25	1
241	289	25	1
242	289	25	1
248.5	289.5	25.5	1
250	289	25	3
236	290	25	1
238	290	25	1
243	290	25	1
249	290	25	2
250	290	25	1
241	291	25	1
242	291	25	1
246	291	25	1
227	292	25	1
235	292	25	1
237	292	25	2
243	292	25	1
239	293	25	1
243	293	25	1
244	293	25	1
239	294	25	1
242	294	25	1
244	294	25	1
246	294	25	1
241	295	25	1
243	295	25	1
242	296	25	1
246	296	25	1
239	297	25	1
227	300	25	1
240	300	25	2
176	259	26	1
229	264	26	1
230	264	26	1
215	265	26	1
230	267	26	1
235	267	26	1
235	268	26	2
241	268	26	1
237	269	26	2
227	270	26	2
234	270	26	1
236	270	26	2
240	270	26	1
215	272	26	1
217	272	26	1
224	272	26	1
233	274	26	1
233	275	26	1
236	275	26	1
239	275	26	1
246	275	26	1
248	275	26	1
250	275	26	1
207	276	26	1
235	276	26	2
237	276	26	1
238	276	26	1
244	276	26	1
207	277	26	1
232	277	26	1
236	277	26	2
239	277	26	3
249	277	26	1
250	277	26	1
231	278	26	1
233	278	26	1
243	278	26	3
249	278	26	1
252	278	26	1
207	279	26	1
232	279	26	1
233	279	26	1
240	279	26	2
249	279	26	1
208	280	26	1
230	280	26	2
234	280	26	1
240	280	26	1
247	280	26	1
249	280	26	1
217	281	26	2
232	281	26	2
240	281	26	1
249	281	26	1
250	281	26	1
215	282	26	1
231	282	26	1
233	282	26	2
238	282	26	1
247	282	26	2
251	282	26	1
253	282	26	1
209	283	26	1
231	283	26	1
252	283	26	1
254	283	26	1
215	284	26	1
232	284	26	1
233	284	26	1
237	284	26	1
241	284	26	1
243	284	26	1
250	284	26	2
212	285	26	1
235	285	26	1
237	285	26	1
240	285	26	2
241	285	26	1
245	285	26	1
232	286	26	1
246	286	26	1
248	286	26	1
249	286	26	2
252	286	26	2
253	286	26	2
228	287	26	2
238	287	26	1
248	287	26	1
250	287	26	1
252	287	26	1
253	287	26	1
232	288	26	2
235	288	26	1
240	288	26	1
243	288	26	1
245	288	26	1
252	288	26	1
227	289	26	1
233	289	26	2
235	289	26	1
237	289	26	1
238	289	26	1
240	289	26	1
242	289	26	1
243	289	26	1
250	289	26	1
233	290	26	1
236	290	26	1
238	290	26	1
242	290	26	1
243	290	26	3
244	290	26	2
250	290	26	1
226	291	26	1
236	291	26	3
237	291	26	1
227	292	26	1
237	292	26	1
238	292	26	1
244	292	26	2
245	292	26	2
249	292	26	2
252	292	26	1
234	293	26	1
237	293	26	1
238	293	26	1
240	293	26	1
244	293	26	2
245	293	26	1
246	293	26	1
247	293	26	1
253	293	26	1
220	294	26	1
237	294	26	1
242	294	26	2
234	295	26	1
241	295	26	1
243	295	26	2
244	295	26	1
235	296	26	2
244	296	26	1
242	297	26	1
244	297	26	1
235	298	26	2
236	298	26	1
240	298	26	1
246	298	26	1
239	299	26	1
225	300	26	1
227	301	26	1
235	301	26	1
184	255	27	2
184	256	27	1
183	258	27	1
232	258	27	1
180	259	27	1
229	259	27	1
231	259	27	1
181	260	27	2
184	260	27	2
186	260	27	1
233	260	27	1
180	261	27	2
227	261	27	1
228	261	27	1
229	261	27	2
231	261	27	2
235	261	27	1
236	261	27	1
180	262	27	1
238	262	27	2
181	263	27	1
210	263	27	1
227	263	27	1
230	263	27	1
231	263	27	1
232	263	27	1
235	263	27	1
238	263	27	1
186	264	27	1
226	264	27	2
232	264	27	1
248	264	27	1
181	265	27	2
212	265	27	2
221	265	27	1
226	265	27	2
231	265	27	1
232	265	27	2
235	265	27	1
238	265	27	1
240	265	27	1
179	266	27	3
180	266	27	1
215	266	27	1
224	266	27	1
226	266	27	1
237	266	27	1
239	266	27	1
215	267	27	1
217	267	27	1
229	267	27	1
231	267	27	1
236	267	27	1
179	268	27	1
181	268	27	1
197	268	27	2
213	268	27	1
214	268	27	1
216	268	27	1
219	268	27	1
223	268	27	1
224	268	27	1
225	268	27	1
228	268	27	2
230	268	27	1
236	268	27	1
239	268	27	1
240	268	27	1
179	269	27	3
180	269	27	2
207	269	27	2
215	269	27	3
218	269	27	1
225	269	27	1
231	269	27	1
232	269	27	1
233	269	27	1
234	269	27	2
236	269	27	2
243	269	27	1
252	269	27	1
178	270	27	1
179	270	27	1
181	270	27	1
207	270	27	1
217	270	27	2
221	270	27	1
226	270	27	1
230	270	27	1
231	270	27	1
232	270	27	1
233	270	27	1
234	270	27	1
238	270	27	1
244	270	27	2
181	271	27	1
210	271	27	1
215	271	27	1
216	271	27	1
226	271	27	1
234	271	27	1
235	271	27	1
238	271	27	1
242	271	27	1
247	271	27	1
250	271	27	1
251	271	27	1
181	272	27	1
203	272	27	1
204	272	27	1
207	272	27	3
215	272	27	1
216	272	27	2
217	272	27	1
220	272	27	1
223	272	27	2
236	272	27	1
238	272	27	1
203	273	27	2
207	273	27	3
210	273	27	1
213	273	27	1
232	273	27	1
234	273	27	1
235	273	27	2
238	273	27	2
240	273	27	2
178	274	27	1
208	274	27	1
221	274	27	1
226	274	27	1
228	274	27	1
230	274	27	1
236	274	27	1
243	274	27	1
250	274	27	2
182	275	27	2
206	275	27	2
212	275	27	2
214	275	27	1
222	275	27	2
223	275	27	1
224	275	27	1
230	275	27	1
237	275	27	1
240	275	27	2
247	275	27	3
252	275	27	1
177	276	27	1
205	276	27	1
207	276	27	1
208	276	27	1
210	276	27	1
211	276	27	1
213	276	27	1
217	276	27	1
227	276	27	2
233	276	27	1
239	276	27	1
240	276	27	2
244	276	27	1
250	276	27	1
204	277	27	1
211	277	27	1
212	277	27	1
218	277	27	2
219	277	27	1
224	277	27	1
227	277	27	1
237	277	27	2
239	277	27	1
240	277	27	1
243	277	27	1
244	277	27	1
252	277	27	1
210	278	27	1
219	278	27	1
221	278	27	1
224	278	27	2
227	278	27	2
229	278	27	1
231	278	27	1
240	278	27	1
244	278	27	2
246	278	27	1
248	278	27	1
250	278	27	1
251	278	27	1
207	279	27	1
210	279	27	1
220	279	27	1
232	279	27	1
234	279	27	1
235	279	27	1
238	279	27	1
239	279	27	1
240	279	27	1
241	279	27	1
242	279	27	1
248	279	27	1
251	279	27	1
257	279	27	1
205	280	27	1
207	280	27	1
208	280	27	1
210	280	27	1
214	280	27	1
235	280	27	2
238	280	27	2
239	280	27	1
240	280	27	1
241	280	27	1
242	280	27	1
243	280	27	1
244	280	27	1
247	280	27	1
248	280	27	3
250	280	27	1
251	280	27	1
207	281	27	1
210	281	27	2
215	281	27	1
218	281	27	1
228	281	27	2
229	281	27	1
231	281	27	2
233	281	27	1
241	281	27	1
246	281	27	2
248	281	27	1
249	281	27	1
251	281	27	1
252	281	27	1
254	281	27	1
256	281	27	2
205	282	27	1
216	282	27	1
227	282	27	1
229	282	27	2
231	282	27	1
233	282	27	1
235	282	27	1
239	282	27	1
240	282	27	1
241	282	27	1
242	282	27	1
244	282	27	1
248	282	27	1
252	282	27	1
201	283	27	1
210	283	27	1
215	283	27	2
216	283	27	1
221	283	27	1
227	283	27	2
235	283	27	1
238	283	27	3
240	283	27	1
241	283	27	1
242	283	27	1
243	283	27	1
247	283	27	1
248	283	27	2
251	283	27	1
253	283	27	1
255	283	27	1
207	284	27	1
208	284	27	1
213	284	27	1
214	284	27	2
232	284	27	1
237	284	27	1
238	284	27	2
240	284	27	1
241	284	27	1
243	284	27	1
253	284	27	1
255	284	27	1
256	284	27	1
206	285	27	2
208	285	27	1
209	285	27	1
212	285	27	2
213	285	27	1
220	285	27	1
223	285	27	1
233	285	27	1
235	285	27	2
237	285	27	2
239	285	27	1
245	285	27	1
253	285	27	1
255	285	27	1
204	286	27	2
208	286	27	1
212	286	27	1
214	286	27	1
220	286	27	1
222	286	27	1
226	286	27	2
233	286	27	2
235	286	27	2
237	286	27	1
239	286	27	1
240	286	27	2
247	286	27	1
248	286	27	1
251	286	27	1
256	286	27	1
219	287	27	2
223	287	27	1
227	287	27	1
233	287	27	1
238	287	27	1
239	287	27	1
243	287	27	1
246	287	27	1
247	287	27	1
249	287	27	1
252	287	27	1
253	287	27	1
256	287	27	1
214	288	27	1
226	288	27	1
228	288	27	1
237	288	27	1
238	288	27	1
240	288	27	1
243	288	27	2
244	288	27	1
245	288	27	1
246	288	27	1
247	288	27	1
250	288	27	1
253	288	27	2
255	288	27	1
203	289	27	2
209	289	27	1
219	289	27	1
222	289	27	1
223	289	27	1
226	289	27	1
227	289	27	2
230	289	27	1
233	289	27	2
234	289	27	1
236	289	27	1
238	289	27	1
239	289	27	1
242	289	27	1
243	289	27	1
249	289	27	1
251	289	27	1
252	289	27	1
253	289	27	1
254	289	27	1
256	289	27	1
219	290	27	1
226	290	27	1
227	290	27	1
230	290	27	2
237	290	27	1
239	290	27	3
240	290	27	2
244	290	27	3
246	290	27	1
250	290	27	2
211	291	27	1
222	291	27	1
229	291	27	1
230	291	27	1
233	291	27	3
238	291	27	1
239	291	27	2
242	291	27	2
243	291	27	1
246	291	27	1
252	291	27	1
257	291	27	2
212	292	27	1
213	292	27	1
221	292	27	1
223	292	27	1
224	292	27	2
228	292	27	2
234	292	27	2
239	292	27	1
252	292	27	1
253	292	27	1
254	292	27	1
220	293	27	1
