x	y	z	Factors involved in megakaryocyte development and platelet production
240	277	24	1
237	278	24	2
239	287	24	1
246	287	24	1
243	288	24	1
249	288	24	2
244	289	24	1
249	289	24	1
244	290	24	1
236	268	25	1
233	269	25	1
235	270	25	1
234	271	25	1
227	272	25	1
228	272	25	2
238	272	25	3
239	272	25	1
227	273	25	2
235	273	25	1
230	274	25	1
232	274	25	1
233	274	25	1
234	274	25	1
235	274	25	3
235	275	25	1
236	275	25	2
238	275	25	2
237	276	25	1
240	276	25	1
233	277	25	1
237	277	25	1
231	278	25	1
236	278	25	1
237	278	25	1
239	278	25	1
231	279	25	1
232	279	25	1
238	279	25	1
240	279	25	4
232	280	25	1
233	280	25	2
234	280	25	2
241	280	25	1
245	280	25	3
248	280	25	1
231	281	25	1
235	281	25	1
241	281	25	4
245	281	25	1
248	281	25	1
214	282	25	1
232	282	25	1
235	282	25	2
237	282	25	1
238	282	25	2
239	282	25	2
240	282	25	2
245	282	25	2
247	282	25	1
248	282	25	3
249	282	25	1
230	283	25	1
235	283	25	1
236	283	25	1
237	283	25	1
238	283	25	1
239	283	25	1
240	283	25	1
243	283	25	1
247	283	25	1
236	284	25	1
241	284	25	1
243	284	25	1
244	284	25	1
245	284	25	2
247	284	25	2
249	284	25	3
252	284	25	1
215	285	25	2
235	285	25	1
236	285	25	1
238	285	25	1
248	285	25	1
252	285	25	2
253	285	25	1
218	286	25	3
232	286	25	1
234	286	25	1
240	286	25	1
242	286	25	1
243	286	25	1
245	286	25	1
254	286	25	1
237	287	25	1
246	287	25	2
224	288	25	2
236	288	25	1
237	288	25	1
242	288	25	3
226	289	25	2
236	289	25	1
238	289	25	1
250	289	25	3
234	290	25	1
236	290	25	1
238	290	25	2
240	290	25	1
243	290	25	2
244	290	25	2
246	290	25	1
249	290	25	1
226	291	25	1
234	291	25	1
235	291	25	2
236	291	25	1
239	291	25	1
240	291	25	1
241	291	25	1
245	291	25	1
250	291	25	1
227	292	25	1
237	292	25	1
238	292	25	1
243	292	25	2
249	292	25	1
250	292	25	1
246	293	25	1
247	293	25	1
239	294	25	1
241	294	25	3
242	294	25	1
243	294	25	1
246	294	25	1
237	295	25	1
243	295	25	2
238	296	25	1
239	296	25	1
243	299	25	1
238	300	25	1
240	300	25	2
239	302	25	1
182	259	26	2
182	260	26	1
232	263	26	1
229	264	26	1
232	265	26	1
230	267	26	2
234	267	26	1
235	267	26	1
233	268	26	1
241	268	26	1
228	269	26	1
229	269	26	1
236	269	26	1
237	269	26	1
227	270	26	2
228	270	26	2
233	270	26	1
234	270	26	1
235	270	26	1
236	270	26	1
237	270	26	1
238	270	26	3
240	270	26	2
250	270	26	1
235	271	26	1
240	271	26	1
215	272	26	1
217	272	26	1
226	272	26	1
230	272	26	1
232	272	26	1
236	272	26	1
236	273	26	1
248	273	26	1
249	273	26	2
231	274	26	1
236	274	26	1
236	275	26	1
237	275	26	1
239	275	26	3
248	275	26	1
215	276	26	1
231	276	26	2
233	276	26	2
234	276	26	2
235	276	26	1
237	276	26	1
209	277	26	1
210	277	26	1
231	277	26	2
234	277	26	1
235	277	26	1
236	277	26	1
237	277	26	1
239	277	26	1
240	277	26	1
231	278	26	2
232	278	26	4
234	278	26	1
235	278	26	1
236	278	26	2
237	278	26	2
239	278	26	3
240	278	26	2
251	278	26	1
252	278	26	2
207	279	26	1
231	279	26	1
236	279	26	2
237	279	26	3
239	279	26	2
241	279	26	2
248	279	26	3
249	279	26	1
250	279	26	1
230	280	26	1
234	280	26	1
236	280	26	1
238	280	26	2
241	280	26	1
248	280	26	1
250	280	26	1
232	281	26	1
235	281	26	1
236	281	26	1
239	281	26	1
248	281	26	1
249	281	26	2
250	281	26	2
208	282	26	1
209	282	26	1
212	282	26	1
229	282	26	1
231	282	26	1
233	282	26	1
234	282	26	1
235	282	26	1
237	282	26	1
240	282	26	1
242	282	26	2
233	283	26	1
234	283	26	2
238	283	26	1
239	283	26	1
243	283	26	1
245	283	26	2
246	283	26	1
248	283	26	1
254	283	26	1
232	284	26	2
234	284	26	3
241	284	26	2
242	284	26	1
243	284	26	3
245	284	26	1
250	284	26	1
237	285	26	1
241	285	26	1
250	285	26	1
252	285	26	1
253	285	26	3
255	285	26	1
232	286	26	1
233	286	26	1
235	286	26	1
238	286	26	1
243	286	26	2
246	286	26	1
248	286	26	2
249	286	26	2
253	286	26	1
223	287	26	1
237	287	26	1
238	287	26	1
239	287	26	2
247	287	26	1
248	287	26	1
249	287	26	1
252	287	26	1
235	288	26	1
236	288	26	1
243	288	26	1
245	288	26	1
249	288	26	1
253	288	26	1
232	289	26	2
234	289	26	2
235	289	26	1
236	289	26	1
237	289	26	2
238	289	26	1
240	289	26	1
248	289	26	1
250	289	26	2
225	290	26	1
227	290	26	2
238	290	26	1
239	290	26	1
240	290	26	1
242	290	26	1
243	290	26	1
244	290	26	1
250	290	26	2
222	291	26	1
226	291	26	1
229	291	26	1
232	291	26	1
235	291	26	1
237	291	26	2
238	291	26	3
239	291	26	2
242	291	26	1
244	291	26	1
245	291	26	1
246	291	26	1
250	291	26	1
225	292	26	2
237	292	26	2
242	292	26	3
244	292	26	1
245	292	26	2
246	292	26	1
247	292	26	3
249	292	26	1
250	292	26	1
252	292	26	2
225	293	26	1
234	293	26	2
238	293	26	1
239	293	26	2
240	293	26	1
245	293	26	1
253	293	26	1
235	294	26	1
239	294	26	1
240	294	26	1
242	294	26	1
243	294	26	1
246	294	26	3
249	294	26	1
221	295	26	2
234	295	26	1
237	295	26	1
239	295	26	1
242	295	26	1
243	295	26	2
244	295	26	1
245	295	26	2
254	295	26	2
235	296	26	1
239	296	26	1
241	296	26	1
242	296	26	3
236	297	26	1
237	297	26	1
239	297	26	1
244	297	26	1
246	297	26	1
235	298	26	1
236	298	26	2
240	298	26	1
241	299	26	1
243	299	26	1
241	300	26	3
227	301	26	1
235	301	26	1
184	255	27	1
186	257	27	2
184	258	27	2
215	258	27	2
232	258	27	1
183	259	27	1
184	259	27	1
185	259	27	3
188	259	27	1
229	259	27	1
232	259	27	1
176	260	27	2
183	260	27	1
186	260	27	1
226	260	27	1
233	260	27	1
235	260	27	1
237	260	27	1
177	261	27	1
182	261	27	1
186	261	27	2
187	261	27	1
229	261	27	2
234	261	27	1
239	261	27	1
177	262	27	2
180	262	27	1
227	262	27	1
229	262	27	1
232	262	27	1
233	262	27	2
175	263	27	1
178	263	27	2
181	263	27	1
182	263	27	1
183	263	27	1
185	263	27	1
215	263	27	1
229	263	27	1
230	263	27	1
234	263	27	3
235	263	27	2
236	263	27	1
238	263	27	2
175	264	27	2
176	264	27	1
186	264	27	1
209	264	27	1
219	264	27	2
229	264	27	1
232	264	27	1
238	264	27	1
239	264	27	1
248	264	27	1
181	265	27	1
184	265	27	1
189	265	27	2
221	265	27	1
225	265	27	1
230	265	27	2
234	265	27	1
236	265	27	1
238	265	27	2
239	265	27	2
216	266	27	2
219	266	27	1
221	266	27	1
226	266	27	3
232	266	27	1
233	266	27	1
237	266	27	2
179	267	27	1
229	267	27	1
232	267	27	1
233	267	27	1
234	267	27	1
241	267	27	1
249	267	27	2
250	267	27	1
180	268	27	1
197	268	27	1
214	268	27	1
215	268	27	2
219	268	27	1
222	268	27	1
225	268	27	1
226	268	27	1
228	268	27	3
231	268	27	1
232	268	27	2
233	268	27	1
235	268	27	1
236	268	27	1
237	268	27	1
241	268	27	1
243	268	27	1
248	268	27	1
177	269	27	1
178	269	27	1
180	269	27	1
182	269	27	1
211	269	27	1
213	269	27	3
214	269	27	2
215	269	27	2
218	269	27	1
224	269	27	1
227	269	27	3
228	269	27	2
231	269	27	1
232	269	27	1
233	269	27	4
234	269	27	1
236	269	27	1
238	269	27	2
240	269	27	1
241	269	27	1
242	269	27	1
178	270	27	1
179	270	27	2
181	270	27	1
184	270	27	1
215	270	27	2
218	270	27	1
221	270	27	1
226	270	27	1
230	270	27	1
233	270	27	1
234	270	27	1
236	270	27	1
240	270	27	2
243	270	27	1
250	270	27	1
177	271	27	1
182	271	27	2
208	271	27	2
209	271	27	1
215	271	27	2
216	271	27	1
231	271	27	1
232	271	27	2
233	271	27	1
234	271	27	2
236	271	27	2
237	271	27	3
239	271	27	3
242	271	27	1
243	271	27	1
247	271	27	1
249	271	27	1
250	271	27	1
179	272	27	1
181	272	27	1
203	272	27	1
206	272	27	1
207	272	27	1
208	272	27	1
214	272	27	2
223	272	27	2
225	272	27	1
227	272	27	1
228	272	27	2
231	272	27	1
234	272	27	1
237	272	27	1
239	272	27	2
240	272	27	1
241	272	27	1
247	272	27	1
249	272	27	1
250	272	27	1
251	272	27	3
206	273	27	1
207	273	27	1
210	273	27	1
211	273	27	2
212	273	27	1
217	273	27	1
224	273	27	1
229	273	27	1
235	273	27	2
238	273	27	1
239	273	27	1
241	273	27	1
246	273	27	3
248	273	27	2
251	273	27	1
253	273	27	1
177	274	27	2
179	274	27	1
182	274	27	2
203	274	27	1
214	274	27	2
216	274	27	1
227	274	27	3
228	274	27	1
230	274	27	2
235	274	27	1
236	274	27	2
237	274	27	1
240	274	27	3
241	274	27	1
243	274	27	1
247	274	27	1
250	274	27	1
182	275	27	1
184	275	27	1
185	275	27	1
208	275	27	1
211	275	27	1
224	275	27	1
230	275	27	1
232	275	27	2
236	275	27	1
238	275	27	1
244	275	27	2
249	275	27	1
250	275	27	1
254	275	27	1
177	276	27	1
206	276	27	1
207	276	27	2
208	276	27	3
209	276	27	1
211	276	27	1
213	276	27	1
214	276	27	2
215	276	27	2
217	276	27	1
219	276	27	2
227	276	27	2
232	276	27	1
233	276	27	2
234	276	27	1
238	276	27	2
244	276	27	1
247	276	27	3
252	276	27	1
204	277	27	2
205	277	27	2
207	277	27	2
211	277	27	2
212	277	27	2
213	277	27	2
215	277	27	2
218	277	27	1
219	277	27	1
220	277	27	1
224	277	27	2
227	277	27	1
233	277	27	1
236	277	27	2
237	277	27	1
238	277	27	1
239	277	27	1
240	277	27	1
243	277	27	1
245	277	27	1
248	277	27	1
250	277	27	1
252	277	27	1
203	278	27	1
204	278	27	1
206	278	27	1
211	278	27	1
213	278	27	1
214	278	27	1
221	278	27	1
224	278	27	1
230	278	27	1
232	278	27	2
233	278	27	1
234	278	27	1
240	278	27	1
245	278	27	1
246	278	27	2
248	278	27	1
252	278	27	1
219	279	27	1
231	279	27	1
232	279	27	1
237	279	27	1
238	279	27	1
240	279	27	1
242	279	27	1
243	279	27	1
244	279	27	1
250	279	27	2
251	279	27	1
252	279	27	1
207	280	27	2
209	280	27	1
210	280	27	1
214	280	27	1
232	280	27	1
233	280	27	1
236	280	27	1
242	280	27	3
244	280	27	1
245	280	27	1
246	280	27	1
248	280	27	1
249	280	27	3
206	281	27	3
210	281	27	1
215	281	27	1
218	281	27	1
231	281	27	1
233	281	27	2
234	281	27	2
235	281	27	2
239	281	27	2
240	281	27	1
241	281	27	3
245	281	27	1
248	281	27	2
249	281	27	1
251	281	27	1
252	281	27	1
254	281	27	4
257	281	27	1
205	282	27	1
206	282	27	3
209	282	27	1
210	282	27	1
212	282	27	1
217	282	27	1
233	282	27	1
236	282	27	3
237	282	27	3
238	282	27	2
239	282	27	1
240	282	27	1
241	282	27	1
242	282	27	1
249	282	27	2
250	282	27	1
252	282	27	1
254	282	27	1
201	283	27	1
206	283	27	1
210	283	27	2
215	283	27	1
218	283	27	1
227	283	27	1
232	283	27	1
242	283	27	4
244	283	27	2
248	283	27	1
251	283	27	1
253	283	27	1
256	283	27	1
206	284	27	1
207	284	27	2
209	284	27	2
210	284	27	2
215	284	27	1
230	284	27	1
235	284	27	1
236	284	27	1
237	284	27	1
238	284	27	1
240	284	27	1
241	284	27	1
251	284	27	1
255	284	27	2
257	284	27	2
204	285	27	1
210	285	27	1
212	285	27	1
213	285	27	2
219	285	27	2
220	285	27	2
234	285	27	1
236	285	27	2
238	285	27	2
239	285	27	1
240	285	27	1
241	285	27	1
242	285	27	1
255	285	27	1
256	285	27	1
204	286	27	3
207	286	27	1
216	286	27	2
219	286	27	3
220	286	27	2
224	286	27	1
225	286	27	3
226	286	27	1
234	286	27	2
236	286	27	1
237	286	27	2
241	286	27	2
244	286	27	1
246	286	27	1
247	286	27	2
249	286	27	1
252	286	27	1
255	286	27	1
256	286	27	2
258	286	27	3
207	287	27	1
210	287	27	1
219	287	27	1
221	287	27	1
222	287	27	2
228	287	27	1
231	287	27	1
233	287	27	1
234	287	27	2
236	287	27	3
238	287	27	2
239	287	27	1
240	287	27	1
242	287	27	3
243	287	27	1
248	287	27	1
249	287	27	1
250	287	27	1
253	287	27	1
255	287	27	1
207	288	27	1
214	288	27	1
223	288	27	1
225	288	27	1
228	288	27	1
232	288	27	2
234	288	27	1
235	288	27	2
236	288	27	1
237	288	27	1
238	288	27	3
241	288	27	2
242	288	27	2
243	288	27	1
244	288	27	1
247	288	27	1
249	288	27	1
250	288	27	1
255	288	27	1
210	289	27	1
222	289	27	2
224	289	27	1
225	289	27	1
230	289	27	1
231	289	27	1
233	289	27	1
234	289	27	1
235	289	27	1
237	289	27	1
238	289	27	1
239	289	27	1
241	289	27	1
242	289	27	2
243	289	27	1
246	289	27	1
248	289	27	1
256	289	27	1
207	290	27	2
214	290	27	1
222	290	27	1
225	290	27	1
228	290	27	1
232	290	27	2
234	290	27	1
235	290	27	1
236	290	27	2
239	290	27	1
241	290	27	1
246	290	27	3
247	290	27	2
250	290	27	1
252	290	27	2
210	291	27	1
222	291	27	1
224	291	27	1
225	291	27	1
228	291	27	1
233	291	27	2
234	291	27	1
235	291	27	2
237	291	27	1
238	291	27	2
240	291	27	1
241	291	27	1
243	291	27	1
247	291	27	2
251	291	27	1
257	291	27	1
211	292	27	1
220	292	27	1
222	292	27	1
226	292	27	3
230	292	27	1
237	292	27	1
238	292	27	2
241	292	27	2
249	292	27	1
251	292	27	1
218	293	27	2
220	293	27	2
221	293	27	2
222	293	27	1
224	293	27	1
226	293	27	1
227	293	27	1
234	293	27	1
237	293	27	1
238	293	27	1
240	293	27	2
242	293	27	1
243	293	27	1
244	293	27	2
249	293	27	1
250	293	27	1
251	293	27	1
254	293	27	1
217	294	27	1
224	294	27	1
225	294	27	1
226	294	27	2
235	294	27	1
236	294	27	1
237	294	27	1
248	294	27	1
249	294	27	1
250	294	27	1
254	294	27	2
257	294	27	2
211	295	27	1
219	295	27	1
220	295	27	1
223	295	27	1
241	295	27	1
244	295	27	2
250	295	27	1
251	295	27	3
252	295	27	1
211	296	27	1
221	296	27	2
236	296	27	2
239	296	27	2
217	297	27	1
225	297	27	2
236	297	27	1
237	297	27	2
240	297	27	1
242	297	27	1
244	297	27	1
245	297	27	1
246	297	27	1
248	297	27	2
253	297	27	1
221	298	27	1
223	298	27	2
224	298	27	1
226	298	27	3
236	298	27	3
239	298	27	1
244	298	27	1
247	298	27	1
248	298	27	2
215	299	27	1
223	299	27	1
226	299	27	1
229	299	27	1
230	299	27	1
237	299	27	1
239	299	27	1
241	299	27	2
245	299	27	2
247	299	27	2
235	300	27	2
236	300	27	1
237	300	27	1
238	300	27	1
239	300	27	3
240	300	27	1
241	300	27	2
247	300	27	2
248	300	27	3
234	301	27	1
235	301	27	1
237	301	27	1
239	301	27	2
240	301	27	1
241	301	27	2
245	301	27	1
250	301	27	1
226	302	27	1
234	302	27	1
237	302	27	1
238	302	27	1
239	302	27	2
245	302	27	2
241	303	27	1
236	304	27	1
243	304	27	2
232	264	28	3
232	266	28	1
234	266	28	1
231	267	28	1
234	267	28	1
