x	y	z	Regulation of APC/C activators between G1/S and early anaphase
216.157603775171	275.673637444315	34.5586340221659	1
246	292	21	2
239	272	24	1
240	277	24	1
235	278	24	2
239	278	24	2
241	279	24	1
245	284	24	1
239	287	24	1
244	287	24	1
251	287	24	1
243	288	24	2
245	288	24	2
249	288	24	1
247	289	24	1
244	291	24	2
231	264	25	1
232	265	25	1
228	272	25	1
230	272	25	1
238	272	25	1
239	272	25	1
227	273	25	2
236	273	25	2
238	273	25	1
230	274	25	1
231	274	25	1
232	274	25	2
234	274	25	1
238	274	25	1
237	275	25	1
238	275	25	1
236	276	25	1
240	276	25	1
248	276	25	1
231	277	25	1
232	277	25	3
233	277	25	1
235	277	25	1
247	277	25	3
232	278	25	1
234	278	25	2
236	278	25	1
238	278	25	2
239	278	25	2
233	279	25	1
239	279	25	1
240	279	25	5
247	279	25	3
232	280	25	1
234	280	25	3
236	280	25	2
241	280	25	2
245	280	25	1
231	281	25	1
234	281	25	1
240	281	25	2
231	282	25	1
233	282	25	1
235	282	25	1
237	282	25	1
239	282	25	1
240	282	25	1
247	282	25	1
248	282	25	1
230	283	25	1
231	283	25	1
232	283	25	1
235	283	25	2
236	283	25	1
237	283	25	1
238	283	25	1
239	283	25	1
241	283	25	2
243	283	25	1
246	283	25	2
249	283	25	1
234	284	25	2
235	284	25	1
236	284	25	1
241	284	25	2
243	284	25	1
244	284	25	1
247	284	25	1
249	284	25	1
250	284	25	1
252	284	25	1
215	285	25	1
232	285	25	3
235	285	25	2
238	285	25	1
240	285	25	2
241	285	25	1
243	285	25	1
246	285	25	3
248	285	25	1
250	285	25	1
232	286	25	1
233	286	25	1
234	286	25	1
235	286	25	2
236	286	25	1
241	286	25	2
243	286	25	1
245	286	25	1
250	286	25	1
252	286	25	1
254	286	25	1
237	287	25	1
242	287	25	1
249	287	25	2
251	287	25	2
252	287	25	1
235	288	25	1
236	288	25	1
242	288	25	2
234	289	25	1
235	289	25	1
236	289	25	1
237	289	25	1
238	289	25	1
242	289	25	1
250	289	25	1
225	290	25	1
234	290	25	2
235	290	25	1
237	290	25	2
240	290	25	1
244	290	25	2
226	291	25	1
236	291	25	1
239	291	25	2
242	291	25	1
251	291	25	1
227	292	25	1
235	292	25	1
238	292	25	1
239	292	25	2
242	292	25	1
243	292	25	1
239	293	25	3
240	293	25	1
246	293	25	1
247	293	25	4
239	294	25	1
240	294	25	1
241	294	25	1
244	294	25	2
234	295	25	1
237	295	25	1
240	295	25	1
243	295	25	1
246	296	25	1
247	296	25	1
239	297	25	2
240	298	25	1
243	299	25	2
227	300	25	1
239	300	25	1
183	258	26	2
176	259	26	1
182	260	26	1
229	262	26	1
229	264	26	2
231	264	26	2
215	265	26	1
232	265	26	1
234	265	26	1
237	266	26	1
230	267	26	2
241	267	26	1
235	268	26	1
228	269	26	2
236	269	26	3
233	270	26	2
235	270	26	1
237	270	26	2
238	270	26	3
250	270	26	1
235	271	26	2
215	272	26	1
226	272	26	1
232	272	26	1
234	272	26	1
