x	y	z	Signaling by FGFR
216.157603775171	275.673637444315	34.5586340221659	2
240	286	21	1
239	272	24	2
240	277	24	3
232	278	24	2
235	278	24	2
239	278	24	3
245	284	24	2
246	284	24	1
248	286	24	1
244	287	24	1
245	287	24	1
246	287	24	1
251	287	24	1
243	288	24	1
244	288	24	1
244	289	24	1
248	289	24	1
249	289	24	1
244	290	24	1
244	291	24	2
231	264	25	1
232	265	25	1
233	269	25	1
235	270	25	3
227	272	25	1
228	272	25	1
230	272	25	1
233	272	25	1
239	272	25	2
227	273	25	1
235	273	25	2
236	273	25	1
238	273	25	1
231	274	25	1
232	274	25	1
233	274	25	1
234	274	25	1
238	274	25	1
235	275	25	1
236	275	25	1
232.5	276.5	25.5	1
234	276	25	3
235	276	25	1
236	276	25	1
237	276	25	2
239	276	25	2
231	277	25	2
233	277	25	1
234	277	25	1
235	277	25	1
236	277	25	1
247	277	25	4
231	278	25	2
232	278	25	1
237	278	25	2
231	279	25	1
233	279	25	3
235	279	25	1
237	279	25	1
238	279	25	4
239	279	25	1
240	279	25	1
247	279	25	1
232	280	25	1
233	280	25	2
234	280	25	3
239	280	25	2
241	280	25	2
245	280	25	1
231	281	25	1
234	281	25	4
237	281	25	1
240	281	25	1
249	281	25	1
233	282	25	3
234	282	25	1
239	282	25	2
240	282	25	2
245	282	25	1
247	282	25	1
248	282	25	1
249	282	25	1
230	283	25	1
231	283	25	1
235	283	25	3
238	283	25	1
239	283	25	4
241	283	25	2
246	283	25	1
247	283	25	1
249	283	25	1
233	284	25	1
234	284	25	1
235	284	25	2
236	284	25	1
237	284	25	3
242	284	25	1
245	284	25	1
249	284	25	1
250	284	25	1
215	285	25	2
234	285	25	1
236	285	25	2
237	285	25	1
238	285	25	1
240	285	25	2
241	285	25	1
243	285	25	2
244	285	25	1
246	285	25	1
248	285	25	1
250	285	25	1
252	285	25	3
218	286	25	1
232	286	25	1
233	286	25	1
236	286	25	2
242	286	25	1
243	286	25	2
245	286	25	2
250	286	25	1
252	286	25	1
223	287	25	1
245	287	25	2
249	287	25	3
251	287	25	1
235	288	25	4
236	288	25	1
237	288	25	3
242	288	25	1
250	288	25	1
236	289	25	1
237	289	25	2
238	289	25	1
241	289	25	1
242	289	25	1
244	289	25	1
248.5	289.5	25.5	1
250	289	25	2
225	290	25	1
234	290	25	2
235	290	25	3
237	290	25	1
244	290	25	2
249	290	25	5
234	291	25	1
235	291	25	3
236	291	25	1
237	291	25	2
239	291	25	1
240	291	25	2
242	291	25	1
246	291	25	1
250	291	25	1
251	291	25	2
227	292	25	1
235	292	25	1
237	292	25	1
239	292	25	1
243	292	25	1
250	292	25	1
239	293	25	2
240	293	25	1
243	293	25	3
244	293	25	2
239	294	25	1
240	294	25	4
241	294	25	3
244	294	25	1
240	295	25	1
243	295	25	1
245	295	25	1
239	296	25	2
242	296	25	1
244	296	25	1
246	296	25	3
243	297	25	3
240	298	25	1
241	299	25	1
243	299	25	1
227	300	25	1
238	300	25	2
239	300	25	1
183	258	26	2
182	259	26	2
229	262	26	1
232	263	26	3
229	264	26	3
230	264	26	4
231	264	26	2
237	266	26	2
234	267	26	1
235	267	26	3
228	269	26	1
227	270	26	1
228	270	26	1
233	270	26	1
235	270	26	2
236	270	26	4
237	270	26	1
238	270	26	1
240	270	26	1
250	270	26	1
229	271	26	1
235	271	26	1
240	271	26	2
215	272	26	1
217	272	26	1
234	272	26	1
239	272	26	2
236	273	26	2
237	273	26	1
239	273	26	1
248	273	26	1
249	273	26	2
231	274	26	1
233	274	26	1
236	274	26	1
232	275	26	2
233	275	26	1
236	275	26	1
215	276	26	2
231	276	26	1
232	276	26	1
235	276	26	2
237	276	26	1
238	276	26	1
244	276	26	1
207	277	26	1
209	277	26	2
213	277	26	1
231	277	26	1
232	277	26	3
234	277	26	1
235	277	26	1
237	277	26	1
240	277	26	1
247	277	26	2
250	277	26	1
233	278	26	1
235	278	26	1
236	278	26	2
237	278	26	2
243	278	26	1
249	278	26	1
207	279	26	2
231	279	26	1
232	279	26	2
233	279	26	2
237	279	26	1
239	279	26	2
246	279	26	2
250	279	26	1
208	280	26	1
233	280	26	1
234	280	26	2
236	280	26	1
238	280	26	2
240	280	26	3
242	280	26	3
248	280	26	1
249	280	26	2
250	280	26	2
231	281	26	2
234	281	26	1
235	281	26	1
237	281	26	1
244	281	26	1
247	281	26	1
249	281	26	2
250	281	26	1
208	282	26	1
209	282	26	2
212	282	26	2
215	282	26	1
229	282	26	1
231	282	26	3
233	282	26	1
234	282	26	1
235	282	26	2
237	282	26	2
238	282	26	1
242	282	26	1
246	282	26	2
249	282	26	1
250	282	26	1
254	282	26	2
209	283	26	3
227	283	26	1
231	283	26	3
233	283	26	1
234	283	26	2
238	283	26	1
239	283	26	2
243	283	26	3
245	283	26	2
249	283	26	1
252	283	26	1
253	283	26	1
254	283	26	1
215	284	26	3
233	284	26	1
234	284	26	1
235	284	26	1
238	284	26	1
241	284	26	1
242	284	26	1
243	284	26	1
246	284	26	1
248	284	26	1
250	284	26	2
211	285	26	1
214	285	26	2
232	285	26	3
234	285	26	3
235	285	26	1
236	285	26	1
241	285	26	3
246	285	26	1
247	285	26	1
250	285	26	2
253	285	26	1
254	285	26	1
225	286	26	1
232	286	26	1
233	286	26	1
237	286	26	1
240	286	26	1
241	286	26	1
242	286	26	2
243	286	26	2
246	286	26	3
247	286	26	1
249	286	26	1
252	286	26	1
254	286	26	2
236	287	26	1
239	287	26	1
247	287	26	2
248	287	26	1
250	287	26	2
253	287	26	1
232	288	26	1
236	288	26	3
240	288	26	2
241	288	26	1
243	288	26	1
245	288	26	3
248	288	26	1
250	288	26	1
253	288	26	1
227	289	26	2
231	289	26	1
232	289	26	1
234	289	26	1
236	289	26	2
238	289	26	2
240	289	26	1
242	289	26	1
243	289	26	2
248	289	26	1
251	289	26	1
225	290	26	2
228	290	26	3
236	290	26	1
237	290	26	1
240	290	26	1
242	290	26	2
222	291	26	2
232	291	26	1
235	291	26	2
236	291	26	1
237	291	26	1
238	291	26	2
244	291	26	1
246	291	26	1
249	291	26	2
250	291	26	1
225	292	26	2
226	292	26	2
227	292	26	1
239	292	26	2
240	292	26	1
242	292	26	2
245	292	26	1
