x	y	z	Post NMDA receptor activation events
239	272	24	2
232	278	24	1
235	278	24	1
237	278	24	1
239	278	24	4
241	279	24	1
246	284	24	4
244	286	24	1
244	289	24	4
247	289	24	1
248	289	24	1
244	290	24	1
244	291	24	1
236	268	25	2
233	269	25	1
235	270	25	2
238	270	25	1
234	271	25	3
227	272	25	1
228	272	25	1
233	272	25	2
227	273	25	1
235	273	25	1
238	273	25	1
231	274	25	1
233	274	25	1
234	274	25	1
235	274	25	2
234	276	25	1
235	276	25	1
236	276	25	2
237	276	25	3
239	276	25	1
248	276	25	1
231	277	25	2
232	277	25	1
235	277	25	1
237	277	25	1
247	277	25	1
231	278	25	4
236	278	25	3
237	278	25	1
238	278	25	1
233	279	25	2
237	279	25	1
240	279	25	2
247	279	25	1
232	280	25	1
245	280	25	1
231	281	25	1
235	281	25	1
240	281	25	1
241	281	25	1
245	281	25	1
248	281	25	3
249	281	25	2
231	282	25	1
235	282	25	2
245	282	25	1
247	282	25	1
249	282	25	1
230	283	25	1
232	283	25	2
234	283	25	2
238	283	25	2
239	283	25	1
241	283	25	3
243	283	25	1
245	283	25	3
246	283	25	1
233	284	25	4
234	284	25	5
237	284	25	1
243	284	25	2
244	284	25	3
249	284	25	1
250	284	25	2
234	285	25	1
235	285	25	1
236	285	25	1
237	285	25	1
240	285	25	1
243	285	25	2
244	285	25	2
248	285	25	1
250	285	25	3
252	285	25	1
253	285	25	1
232	286	25	1
234	286	25	1
235	286	25	2
240	286	25	1
241	286	25	2
243	286	25	1
250	286	25	3
252	286	25	1
254	286	25	1
223	287	25	1
237	287	25	1
238	287	25	4
249	287	25	1
224	288	25	1
235	288	25	2
236	288	25	1
239	288	25	1
242	288	25	3
226	289	25	1
234	289	25	2
235	289	25	1
236	289	25	1
238	289	25	1
241	289	25	1
242	289	25	1
244	289	25	1
248.5	289.5	25.5	3
250	289	25	2
252	289	25	1
235	290	25	2
237	290	25	1
238	290	25	1
243	290	25	1
237	291	25	2
238	291	25	3
241	291	25	2
242	291	25	1
245	291	25	1
250	291	25	1
251	291	25	2
227	292	25	4
239	292	25	1
243	292	25	1
244	292	25	1
239	293	25	1
246	293	25	1
239	294	25	1
241	294	25	1
242	294	25	1
243	294	25	1
246	294	25	1
234	295	25	1
237	295	25	3
240	295	25	3
243	295	25	2
245	295	25	1
238	296	25	2
242	296	25	1
244	296	25	1
246	296	25	1
240	298	25	1
241	299	25	1
227	300	25	1
240	300	25	2
183	258	26	1
182	259	26	2
229	262	26	1
231	264	26	1
