x	y	z	SUMOylation of DNA replication proteins
240	286	21	1
245	284	24	2
239	287	24	1
251	287	24	1
244	290	24	2
244	291	24	2
232	265	25	2
231	268	25	1
233	269	25	1
238	270	25	2
227	273	25	1
236	273	25	1
238	273	25	1
230	274	25	1
231	274	25	1
233	274	25	1
236	275	25	1
232.5	276.5	25.5	1
234	276	25	1
236	276	25	1
237	276	25	1
240	276	25	1
236	277	25	1
231	278	25	1
233	278	25	1
234	278	25	1
231	279	25	3
233	279	25	2
236	279	25	1
238	279	25	1
239	279	25	1
247	279	25	1
249	279	25	1
233	280	25	1
231	281	25	1
235	281	25	2
237	281	25	1
243	281	25	1
249	281	25	1
214	282	25	1
232	282	25	1
233	282	25	1
240	282	25	1
230	283	25	1
232	283	25	1
234	283	25	1
241	283	25	1
247	283	25	1
233	284	25	2
236	284	25	1
243	284	25	1
245	284	25	1
250	284	25	1
252	284	25	1
236	285	25	1
237	285	25	2
241	285	25	3
252	285	25	1
252	286	25	1
223	287	25	1
245	287	25	1
251	287	25	1
224	288	25	1
239	288	25	1
242	288	25	1
226	289	25	2
234	289	25	2
236	289	25	1
237	289	25	1
242	289	25	1
250	289	25	1
252	289	25	2
225	290	25	1
236	290	25	2
237	290	25	1
244	290	25	3
246	290	25	2
249	290	25	1
239	291	25	1
241	291	25	1
246	291	25	1
227	292	25	1
239	292	25	1
243	292	25	1
246	293	25	1
247	293	25	1
239	294	25	1
241	294	25	1
242	294	25	2
246	294	25	2
240	295	25	1
243	295	25	1
238	296	25	1
244	296	25	1
227	300	25	2
239	302	25	1
183	258	26	1
176	259	26	1
182	259	26	1
230	264	26	1
232	265	26	1
234	265	26	2
237	266	26	1
235	267	26	1
241	267	26	1
241	268	26	1
228	270	26	1
233	270	26	1
234	270	26	1
240	270	26	2
250	270	26	1
229	271	26	1
235	271	26	2
236	271	26	2
215	272	26	1
217	272	26	1
223	272	26	1
230	272	26	1
232	272	26	2
234	272	26	2
239	272	26	1
239	273	26	2
249	273	26	1
236	274	26	1
233	275	26	2
235	275	26	2
245	275	26	1
248	275	26	1
250	275	26	1
231	276	26	1
232	276	26	1
234	276	26	1
237	276	26	1
248	276	26	1
209	277	26	1
210	277	26	1
213	277	26	1
231	277	26	1
247	277	26	1
249	277	26	1
250	277	26	2
231	278	26	1
235	278	26	1
249	278	26	1
252	278	26	1
233	279	26	1
237	279	26	1
248	279	26	1
249	279	26	1
250	279	26	1
230	280	26	2
236	280	26	1
238	280	26	2
240	280	26	1
248	280	26	1
217	281	26	1
237	281	26	1
239	281	26	1
240	281	26	1
247	281	26	2
209	282	26	1
229	282	26	1
231	282	26	1
237	282	26	1
227	283	26	1
231	283	26	1
252	283	26	1
253	283	26	1
254	283	26	1
212	284	26	1
233	284	26	1
236	284	26	1
237	284	26	1
238	284	26	1
242	284	26	1
243	284	26	1
245	284	26	1
248	284	26	2
252	284	26	1
237	285	26	1
240	285	26	1
253	285	26	1
254	285	26	1
225	286	26	1
234	286	26	1
238	286	26	1
240	286	26	1
241	286	26	1
250	286	26	1
253	286	26	1
236	287	26	1
239	287	26	1
249	287	26	1
236	288	26	2
240	288	26	2
249	288	26	1
252	288	26	1
238	289	26	1
240	289	26	1
242	289	26	1
243	289	26	1
240	290	26	2
244	290	26	1
250	290	26	1
229	291	26	1
235	291	26	1
240	291	26	1
246	291	26	3
249	291	26	2
225	292	26	1
227	292	26	1
237	292	26	1
245	292	26	1
247	292	26	1
225	293	26	1
239	293	26	1
244	293	26	2
245	293	26	2
247	293	26	1
220	294	26	1
235	294	26	1
240	294	26	1
242	294	26	2
243	294	26	1
249	294	26	1
221	295	26	1
234	295	26	1
237	295	26	1
239	295	26	2
241	295	26	1
240	296	26	1
242	296	26	1
236	297	26	1
236	298	26	1
236	299	26	1
239	299	26	1
241	300	26	1
182	255	27	1
184	256	27	1
184	258	27	1
180	259	27	1
183	259	27	1
185	259	27	1
226	259	27	1
229	259	27	1
231	259	27	1
176	260	27	1
181	260	27	1
234	260	27	1
237	260	27	1
184	261	27	1
186	261	27	1
187	261	27	1
220	261	27	1
222	261	27	1
231	261	27	1
232	261	27	1
239	261	27	1
177	262	27	1
184	262	27	1
238	262	27	1
239	262	27	1
178	263	27	2
179	263	27	1
185	263	27	1
220	263	27	1
232	263	27	1
236	263	27	1
175	264	27	1
222	264	27	1
226	264	27	1
231	264	27	1
237	264	27	1
184	265	27	1
226	265	27	1
231	265	27	4
233	265	27	1
215	266	27	1
217	266	27	1
228	266	27	2
229	266	27	1
231	266	27	1
235	266	27	1
182	267	27	1
228	267	27	1
232	267	27	2
233	267	27	1
239	267	27	1
241	267	27	1
213	268	27	2
215	268	27	1
