x	y	z	Calmodulin induced events
244	284	21	1
246	292	21	1
237	278	24	1
239	287	24	1
246	287	24	1
244	289	24	2
249	289	24	1
231	264	25	1
232	265	25	1
235	270	25	1
238	270	25	1
233	272	25	1
236	273	25	1
230	274	25	1
231	274	25	1
238	275	25	1
233	276	25	1
239	276	25	1
240	276	25	1
233	277	25	1
237	277	25	3
247	277	25	1
236	278	25	1
233	279	25	1
235	279	25	2
249	279	25	1
239	280	25	1
231	281	25	1
240	281	25	1
214	282	25	1
237	282	25	1
249	282	25	1
231	283	25	1
239	283	25	1
241	283	25	1
243	283	25	1
213	284	25	1
235	284	25	1
249	284	25	1
250	284	25	1
235	285	25	2
238	285	25	1
240	285	25	1
241	285	25	1
248	285	25	1
242	286	25	1
250	286	25	1
252	286	25	2
254	286	25	1
237	287	25	1
242	287	25	1
252	287	25	1
239	288	25	1
242	288	25	1
226	289	25	1
234	289	25	2
242	289	25	1
244	289	25	1
252	289	25	1
236	290	25	1
246	290	25	1
234	291	25	1
251	291	25	2
235	292	25	1
237	292	25	1
239	292	25	1
242	292	25	1
244	292	25	1
249	292	25	1
240	293	25	1
246	293	25	1
239	294	25	1
241	294	25	1
239	296	25	1
240	298	25	1
241	299	25	1
239	300	25	1
182	259	26	1
182	260	26	1
232	263	26	1
230	264	26	2
230	267	26	2
241	267	26	1
241	268	26	2
229	269	26	1
237	269	26	1
227	270	26	1
233	270	26	1
234	270	26	1
235	270	26	1
236	270	26	1
237	270	26	2
250	270	26	1
236	271	26	1
226	272	26	2
232	272	26	1
231	273	26	1
239	273	26	1
249	273	26	1
231	274	26	1
238	274	26	1
232	275	26	1
233	275	26	1
235	275	26	1
232	276	26	1
233	276	26	1
250	276	26	1
207	277	26	1
230	277	26	1
236	277	26	1
249	277	26	1
251	278	26	1
233	279	26	1
236	279	26	2
246	279	26	1
234	280	26	1
238	280	26	1
241	280	26	2
231	281	26	2
239	281	26	1
249	281	26	1
237	282	26	1
238	282	26	1
246	282	26	1
247	282	26	1
251	282	26	1
243	283	26	1
248	283	26	4
212	284	26	1
214	284	26	1
215	284	26	1
237	284	26	1
242	284	26	2
244	284	26	1
250	284	26	1
211	285	26	1
214	285	26	1
232	285	26	1
236	285	26	1
237	285	26	1
240	285	26	2
241	285	26	1
245	285	26	1
254	285	26	1
216	286	26	1
234	286	26	1
