x	y	z	Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks
246	292	21	1
235	278	24	2
237	278	24	1
245	284	24	1
244	287	24	1
244	288	24	1
245	288	24	1
244	289	24	1
248	289	24	2
244	290	24	1
231	264	25	2
239	272	25	1
227	273	25	1
230	274	25	1
238	274	25	3
237	275	25	1
235	276	25	2
237	276	25	2
233	277	25	1
234	277	25	1
236	278	25	1
239	278	25	1
232	279	25	1
234	279	25	3
239	279	25	1
240	279	25	1
241	279	25	2
232	280	25	1
234	280	25	1
239	280	25	1
245	280	25	1
237	281	25	3
240	281	25	1
245	281	25	1
249	281	25	1
214	282	25	1
247	282	25	1
233	283	25	1
236	283	25	1
237	283	25	1
241	283	25	1
246	283	25	2
249	283	25	1
233	284	25	1
235	284	25	1
236	284	25	1
237	284	25	1
244	284	25	1
245	284	25	1
247	284	25	2
252	284	25	2
215	285	25	1
232	285	25	1
238	285	25	1
243	285	25	1
244	285	25	1
250	285	25	2
252	285	25	1
253	285	25	1
233	286	25	1
245	286	25	1
254	286	25	1
245	287	25	1
246	287	25	1
235	288	25	1
236	288	25	1
237	288	25	1
242	288	25	2
236	289	25	1
237	289	25	1
241	289	25	1
244	289	25	1
252	289	25	1
235	290	25	1
243	290	25	1
246	290	25	2
250	290	25	1
234	291	25	2
251	291	25	1
235	292	25	1
237	292	25	2
242	292	25	1
243	292	25	1
250	292	25	1
246	293	25	1
247	293	25	2
240	294	25	1
242	294	25	1
244	294	25	1
246	294	25	1
247	294	25	1
245	295	25	2
239	296	25	1
247	296	25	2
243	297	25	2
241	299	25	1
243	299	25	1
238	300	25	1
239	300	25	2
240	300	25	1
183	258	26	1
182	259	26	2
229	264	26	1
231	264	26	1
215	265	26	1
232	265	26	1
235	268	26	2
228	269	26	2
229	269	26	1
236	269	26	1
228	270	26	2
234	270	26	1
235	270	26	1
238	270	26	1
229	271	26	1
234	272	26	1
237	273	26	1
248	273	26	1
231	274	26	1
233	274	26	1
238	274	26	2
232	275	26	2
248	275	26	1
249	275	26	1
250	275	26	1
209	277	26	1
210	277	26	1
231	277	26	1
235	277	26	2
237	277	26	1
247	277	26	1
249	277	26	2
250	277	26	1
237	278	26	1
251	278	26	2
233	279	26	1
237	279	26	2
249	279	26	1
238	280	26	1
247	280	26	4
250	280	26	1
234	281	26	2
235	281	26	1
236	281	26	1
246	281	26	1
247	281	26	2
250	281	26	1
209	282	26	2
229	282	26	1
231	282	26	2
234	282	26	1
235	282	26	1
242	282	26	1
250	282	26	2
254	282	26	1
233	283	26	1
214	284	26	1
215	284	26	1
234	284	26	1
241	284	26	1
246	284	26	1
248	284	26	1
252	284	26	1
212	285	26	1
232	285	26	1
240	285	26	1
244	285	26	1
246	285	26	1
252	285	26	1
255	285	26	1
232	286	26	1
233	286	26	1
238	286	26	1
248	286	26	1
249	286	26	1
251	286	26	2
223	287	26	1
224	287	26	1
232	287	26	1
236	287	26	1
247	287	26	1
250	287	26	1
232	288	26	1
245	288	26	1
248	288	26	1
253	288	26	4
223	289	26	1
231	289	26	1
234	289	26	1
235	289	26	1
238	289	26	1
240	289	26	1
227	290	26	1
233	290	26	1
236	291	26	1
249	291	26	2
226	292	26	1
239	292	26	1
240	292	26	1
244	292	26	1
246	292	26	1
249	292	26	1
250	292	26	1
251	292	26	1
237	293	26	1
244	293	26	1
239	294	26	1
240	294	26	2
249	294	26	2
222	295	26	2
234	295	26	1
237	295	26	1
242	295	26	1
240	296	26	2
241	296	26	1
243	296	26	1
236	297	26	1
239	297	26	1
245	297	26	1
240	298	26	1
236	299	26	1
243	299	26	1
236	300	26	1
184	256	27	2
181	257	27	1
184	259	27	1
229	259	27	1
231	259	27	1
181	261	27	1
183	261	27	1
187	261	27	1
230	261	27	2
234	261	27	1
235	261	27	1
237	261	27	1
180	262	27	1
227	262	27	1
233	262	27	1
210	263	27	1
215	263	27	2
220	263	27	2
225	263	27	1
227	263	27	2
232	263	27	1
233	263	27	1
235	263	27	1
236	263	27	1
238	263	27	1
175	264	27	1
176	264	27	1
209	264	27	2
219	264	27	1
226	264	27	1
229	264	27	2
237	264	27	1
239	264	27	1
240	264	27	1
221	265	27	1
237	265	27	1
179	266	27	2
217	266	27	2
224	266	27	1
227	266	27	2
228	266	27	1
230	266	27	1
233	266	27	1
179	267	27	1
226	267	27	1
229	267	27	1
231	267	27	1
235	267	27	1
236	267	27	1
249	267	27	2
179	268	27	1
219	268	27	1
223	268	27	1
224	268	27	1
225	268	27	1
226	268	27	1
228	268	27	1
247	268	27	1
201	269	27	2
213	269	27	1
215	269	27	1
231	269	27	1
232	269	27	1
237	269	27	1
239	269	27	3
179	270	27	1
181	270	27	1
207	270	27	1
216	270	27	2
226	270	27	1
231	270	27	1
232	270	27	2
250	270	27	1
182	271	27	1
211	271	27	1
217	271	27	1
226	271	27	1
234	271	27	1
238	271	27	2
243	271	27	1
247	271	27	1
181	272	27	2
204	272	27	1
217	272	27	1
222	272	27	1
223	272	27	2
228	272	27	1
231	272	27	1
235	272	27	1
236	272	27	1
239	272	27	2
241	272	27	1
247	272	27	2
249	272	27	1
203	273	27	1
207	273	27	1
210	273	27	1
215	273	27	1
224	273	27	1
227	273	27	1
229	273	27	1
234	273	27	1
235	273	27	1
241	273	27	1
249	273	27	1
251	273	27	1
177	274	27	1
179	274	27	1
204	274	27	1
206	274	27	2
207	274	27	1
208	274	27	2
211	274	27	1
214	274	27	2
216	274	27	1
226	274	27	2
227	274	27	2
228	274	27	1
229	274	27	1
236	274	27	1
238	274	27	1
239	274	27	1
243	274	27	1
185	275	27	1
208	275	27	1
217	275	27	1
222	275	27	1
242	275	27	1
244	275	27	1
249	275	27	3
177	276	27	1
204	276	27	1
208	276	27	1
214	276	27	2
215	276	27	2
219	276	27	1
227	276	27	1
234	276	27	2
238	276	27	1
246	276	27	1
215	277	27	1
218	277	27	1
219	277	27	2
235	277	27	2
238	277	27	1
240	277	27	1
245	277	27	1
246	277	27	1
248	277	27	2
249	277	27	1
252	277	27	1
206	278	27	1
221	278	27	1
224	278	27	1
227	278	27	1
231	278	27	1
233	278	27	1
239	278	27	1
250	278	27	1
210	279	27	1
230	279	27	1
231	279	27	1
235	279	27	1
238	279	27	1
242	279	27	1
246	279	27	2
249	279	27	1
251	279	27	1
252	279	27	1
257	279	27	1
204	280	27	1
207	280	27	1
209	280	27	1
210	280	27	1
233	280	27	3
234	280	27	1
241	280	27	1
242	280	27	1
243	280	27	1
246	280	27	1
250	280	27	1
256	280	27	1
207	281	27	1
210	281	27	1
230	281	27	2
238	281	27	1
239	281	27	1
244	281	27	1
246	281	27	1
249	281	27	2
254	281	27	1
256	281	27	1
206	282	27	1
231	282	27	1
244	282	27	1
245	282	27	3
246	282	27	1
249	282	27	1
254	282	27	1
209	283	27	1
216	283	27	1
218	283	27	2
236	283	27	1
245	283	27	1
253	283	27	1
255	283	27	1
208	284	27	1
236	284	27	1
237	284	27	1
240	284	27	1
241	284	27	1
253	284	27	2
256	284	27	1
257	284	27	1
210	285	27	1
211	285	27	1
213	285	27	1
215	285	27	1
233	285	27	2
234	285	27	1
237	285	27	1
241	285	27	1
242	285	27	1
255	285	27	1
206	286	27	1
225	286	27	1
233	286	27	1
235	286	27	1
239	286	27	2
240	286	27	1
249	286	27	1
252	286	27	2
254	286	27	1
222	287	27	1
232	287	27	1
241	287	27	2
253	287	27	2
255	287	27	1
204	288	27	1
207	288	27	1
214	288	27	1
222	288	27	1
223	288	27	1
224	288	27	1
226	288	27	1
231	288	27	1
232	288	27	1
233	288	27	1
240	288	27	2
243	288	27	1
249	288	27	1
255	288	27	2
203	289	27	1
219	289	27	1
231	289	27	1
252	289	27	2
253	289	27	2
219	290	27	1
221	290	27	4
227	290	27	1
236	290	27	1
240	290	27	1
241	290	27	1
247	290	27	1
252	290	27	1
210	291	27	1
211	291	27	1
222	291	27	1
224	291	27	2
225	291	27	1
235	291	27	2
240	291	27	1
242	291	27	1
246	291	27	1
248	291	27	1
252	291	27	1
218	292	27	1
219	292	27	2
220	292	27	1
222	292	27	1
223	292	27	1
224	292	27	1
226	292	27	1
227	292	27	2
235	292	27	2
241	292	27	1
244	292	27	1
251	292	27	1
252	292	27	1
253	292	27	2
218	293	27	2
219	293	27	1
222	293	27	1
223	293	27	1
245	293	27	1
248	293	27	1
249	293	27	1
220	294	27	1
225	294	27	1
236	294	27	1
245	294	27	1
250	294	27	1
251	294	27	1
252	294	27	2
254	294	27	4
257	294	27	1
222	295	27	1
223	295	27	1
226	295	27	1
251	295	27	1
252	295	27	1
211	296	27	1
221	296	27	2
244	296	27	1
246	296	27	1
255	296	27	2
236	297	27	1
237	297	27	1
243	297	27	1
245	297	27	1
253	297	27	1
236	298	27	1
239	298	27	1
247	298	27	1
248	298	27	1
223	299	27	1
230	299	27	1
237	299	27	1
241	299	27	1
242	299	27	1
243	299	27	2
245	299	27	1
226	300	27	1
228	300	27	1
236	300	27	2
237	300	27	1
238	300	27	1
239	300	27	1
240	300	27	1
241	300	27	1
235	301	27	1
237	301	27	1
238	301	27	1
240	301	27	1
243	301	27	1
247	301	27	2
234	302	27	2
235	302	27	1
235	304	27	1
238	304	27	2
237	305	27	1
230	262	28	1
232	264	28	1
231	267	28	1
235	268	28	1
236	269	28	2
237	269	28	1
238	270	28	1
236	271	28	1
237	271	28	1
240	271	28	2
232	272	28	1
234	272	28	1
236	272	28	1
250	272	28	1
235	275	28	1
238	276	28	1
235	277	28	1
238	277	28	2
248	279	28	1
251	280	28	1
208	281	28	2
252	281	28	1
234	282	28	1
254	283	28	1
235	284	28	1
246	284	28	2
238	285	28	1
239	285	28	1
240	285	28	1
242	285	28	1
232	286	28	1
235	286	28	1
237	286	28	1
246	286	28	1
247	286	28	3
244	287	28	1
238	288	28	2
245	288	28	1
227	289	28	2
243	289	28	1
240	290	28	1
248	291	28	3
243	293	28	1
240	294	28	2
242	294	28	1
242	295	28	1
240	296	28	1
245	297	28	1
240	299	28	3
225	300	28	1
236	300	28	1
230	257	29	1
235	257	29	1
190	258	29	1
228	258	29	1
235	258	29	2
237	258	29	1
182	259	29	1
188	259	29	1
229	259	29	1
240	260	29	1
183	261	29	1
226	261	29	1
229	261	29	1
227	262	29	1
248	263	29	1
178	264	29	1
232	264	29	2
234	265	29	1
235	265	29	3
178	266	29	1
195	266	29	1
197	266	29	2
232	266	29	1
192	267	29	1
193	267	29	1
232	267	29	1
234	267	29	1
249	267	29	1
194	268	29	1
234	268	29	2
235	269	29	1
237	269	29	1
200	270	29	1
