x	y	z	G alpha (i) signalling events
216.157603775171	275.673637444315	34.5586340221659	2
244	284	21	1
246	292	21	3
239	272	24	2
240	277	24	1
232	278	24	1
235	278	24	3
237	278	24	1
241	279	24	2
245	284	24	1
244	286	24	1
248	286	24	2
239	287	24	1
244	287	24	1
245	287	24	4
246	287	24	1
251	287	24	3
243	288	24	2
244	288	24	1
244	289	24	1
248	289	24	2
244	290	24	1
244	291	24	2
231	264	25	3
232	265	25	1
231	268	25	2
236	268	25	4
235	270	25	4
238	270	25	4
234	271	25	1
230	272	25	2
233	272	25	1
239	272	25	2
227	273	25	2
236	273	25	1
230	274	25	2
231	274	25	3
232	274	25	1
233	274	25	1
234	274	25	1
235	274	25	1
238	274	25	2
235	275	25	1
237	275	25	2
233	276	25	2
235	276	25	2
236	276	25	1
239	276	25	2
240	276	25	2
231	277	25	1
232	277	25	1
234	277	25	1
237	277	25	2
247	277	25	1
232	278	25	1
233	278	25	4
236	278	25	1
238	278	25	2
239	278	25	2
231	279	25	2
232	279	25	1
233	279	25	1
234	279	25	2
236	279	25	1
237	279	25	1
240	279	25	1
241	279	25	1
247	279	25	1
232	280	25	1
233	280	25	2
234	280	25	1
236	280	25	1
241	280	25	1
248	280	25	2
235	281	25	2
237	281	25	1
240	281	25	1
243	281	25	2
248	281	25	1
214	282	25	1
231	282	25	2
232	282	25	1
234	282	25	2
237	282	25	4
238	282	25	3
240	282	25	1
245	282	25	1
248	282	25	1
249	282	25	2
230	283	25	2
231	283	25	1
233	283	25	1
234	283	25	2
236	283	25	1
237	283	25	1
238	283	25	4
240	283	25	1
241	283	25	2
243	283	25	1
245	283	25	1
246	283	25	2
247	283	25	2
249	283	25	1
213	284	25	1
233	284	25	2
234	284	25	1
235	284	25	3
236	284	25	2
237	284	25	1
243	284	25	1
244	284	25	2
245	284	25	3
247	284	25	1
252	284	25	1
232	285	25	1
234	285	25	3
235	285	25	1
236	285	25	1
237	285	25	1
238	285	25	2
239	285	25	1
243	285	25	1
244	285	25	1
250	285	25	4
252	285	25	1
253	285	25	1
232	286	25	1
233	286	25	1
234	286	25	1
236	286	25	1
240	286	25	1
241	286	25	2
242	286	25	1
243	286	25	1
252	286	25	1
254	286	25	4
223	287	25	1
245	287	25	1
249	287	25	1
235	288	25	1
236	288	25	1
242	288	25	3
250	288	25	2
251	288	25	1
234	289	25	2
236	289	25	1
238	289	25	2
244	289	25	1
250	289	25	1
252	289	25	2
235	290	25	1
236	290	25	2
237	290	25	1
238	290	25	1
240	290	25	1
249	290	25	1
235	291	25	2
236	291	25	2
237	291	25	2
239	291	25	1
240	291	25	3
241	291	25	1
242	291	25	1
246	291	25	1
250	291	25	1
251	291	25	2
237	292	25	2
238	292	25	1
242	292	25	1
243	292	25	1
249	292	25	3
250	292	25	1
239	293	25	3
243	293	25	1
244	293	25	1
246	293	25	1
239	294	25	6
240	294	25	2
241	294	25	2
242	294	25	2
244	294	25	1
247	294	25	1
237	295	25	2
240	295	25	2
241	295	25	1
243	295	25	2
242	296	25	2
247	296	25	2
239	297	25	1
240	298	25	1
241	299	25	1
238	300	25	2
239	300	25	1
240	300	25	1
239	302	25	1
183	258	26	1
176	259	26	2
182	259	26	3
182	260	26	1
229	264	26	1
231	264	26	1
215	265	26	1
232	265	26	3
234	265	26	3
237	266	26	3
230	267	26	1
235	267	26	2
241	267	26	4
233	268	26	2
235	268	26	2
236	268	26	3
228	269	26	1
229	269	26	2
236	269	26	1
227	270	26	1
228	270	26	2
233	270	26	1
235	270	26	1
236	270	26	1
238	270	26	2
240	270	26	2
250	270	26	1
235	271	26	2
236	271	26	1
215	272	26	1
217	272	26	1
226	272	26	5
230	272	26	2
232	272	26	1
234	272	26	1
236	272	26	1
239	272	26	1
231	273	26	1
236	273	26	1
237	273	26	1
239	273	26	1
231	274	26	1
233	274	26	4
238	274	26	2
232	275	26	1
237	275	26	1
239	275	26	1
245	275	26	1
246	275	26	1
248	275	26	2
249	275	26	1
250	275	26	1
215	276	26	2
231	276	26	3
232	276	26	2
234	276	26	3
235	276	26	3
244	276	26	1
248	276	26	1
207	277	26	2
209	277	26	1
210	277	26	1
213	277	26	2
231	277	26	2
232	277	26	1
235	277	26	2
236	277	26	1
237	277	26	1
239	277	26	3
249	277	26	1
250	277	26	1
231	278	26	2
232	278	26	2
233	278	26	1
234	278	26	3
235	278	26	2
237	278	26	1
239	278	26	1
243	278	26	2
249	278	26	2
251	278	26	1
252	278	26	2
207	279	26	3
232	279	26	3
234	279	26	1
236	279	26	1
237	279	26	2
240	279	26	1
246	279	26	3
248	279	26	2
249	279	26	2
230	280	26	2
232	280	26	1
233	280	26	1
236	280	26	3
238	280	26	1
240	280	26	3
241	280	26	1
242	280	26	2
247	280	26	1
249	280	26	1
230	281	26	2
234	281	26	1
236	281	26	3
240	281	26	2
244	281	26	1
249	281	26	1
250	281	26	2
208	282	26	2
209	282	26	1
215	282	26	1
229	282	26	2
231	282	26	1
237	282	26	1
238	282	26	1
245	282	26	2
246	282	26	1
249	282	26	1
251	282	26	2
253	282	26	2
254	282	26	1
209	283	26	2
233	283	26	1
234	283	26	1
238	283	26	1
239	283	26	1
241	283	26	2
245	283	26	2
246	283	26	1
248	283	26	1
249	283	26	2
251	283	26	1
212	284	26	1
214	284	26	1
233	284	26	1
234	284	26	2
235	284	26	1
237	284	26	2
238	284	26	2
242	284	26	1
245	284	26	2
248	284	26	2
252	284	26	2
212	285	26	2
232	285	26	2
234	285	26	1
235	285	26	1
236	285	26	2
237	285	26	1
240	285	26	1
244	285	26	1
247	285	26	1
252	285	26	1
254	285	26	3
225	286	26	1
232	286	26	3
235	286	26	1
236	286	26	2
240	286	26	2
241	286	26	1
243	286	26	2
247	286	26	1
248	286	26	1
249	286	26	1
250	286	26	2
251	286	26	1
252	286	26	2
253	286	26	1
223	287	26	1
228	287	26	3
232	287	26	3
237	287	26	1
239	287	26	1
250	287	26	4
251	287	26	1
252	287	26	4
253	287	26	2
235	288	26	2
236	288	26	1
240	288	26	3
243	288	26	1
245	288	26	1
249	288	26	2
250	288	26	4
252	288	26	1
253	288	26	1
222	289	26	1
227	289	26	1
231	289	26	2
235	289	26	1
236	289	26	2
240	289	26	1
242	289	26	2
248	289	26	2
