x	y	z	RMTs methylate histone arginines
246	292	21	1
248	286	24	1
239	287	24	1
248	289	24	1
231	264	25	1
232	265	25	1
236	268	25	1
233	272	25	1
231	274	25	2
238	274	25	1
238	275	25	1
236	276	25	1
239	276	25	1
248	276	25	2
233	277	25	1
236	277	25	1
231	278	25	1
233	278	25	3
234	278	25	1
236	278	25	1
237	278	25	2
231	279	25	3
233	279	25	1
236	279	25	1
239	279	25	1
233	280	25	1
234	280	25	2
239	280	25	2
234	281	25	1
241	281	25	1
243	281	25	1
232	282	25	1
233	282	25	1
232	283	25	1
234	283	25	2
236	283	25	1
240	283	25	1
241	283	25	1
246	283	25	1
247	283	25	1
233	284	25	1
247	284	25	1
249	284	25	1
250	284	25	1
252	284	25	1
234	285	25	1
237	285	25	1
240	285	25	1
246	285	25	1
248	285	25	1
250	285	25	2
232	286	25	1
234	286	25	1
241	286	25	1
242	286	25	1
245	286	25	1
252	286	25	1
224	288	25	2
239	288	25	1
242	288	25	1
241	289	25	1
242	289	25	2
234	290	25	1
236	290	25	1
226	291	25	2
235	291	25	1
236	291	25	1
242	291	25	1
245	291	25	1
246	291	25	1
237	292	25	1
238	292	25	1
242	292	25	1
249	292	25	1
244	293	25	1
240	294	25	1
237	295	25	1
238	296	25	1
242	296	25	1
244	296	25	1
247	296	25	1
227	300	25	2
239	300	25	2
239	302	25	1
182	260	26	1
232	263	26	1
230	264	26	1
230	267	26	1
235	267	26	1
236	268	26	1
229	269	26	1
234	270	26	1
235	270	26	1
238	270	26	1
215	272	26	1
236	273	26	1
237	273	26	1
236	274	26	1
248	275	26	1
232	276	26	1
238	276	26	2
250	276	26	2
231	277	26	1
236	277	26	1
237	277	26	1
239	277	26	1
231	278	26	1
232	278	26	1
233	278	26	2
236	278	26	1
240	278	26	1
234	279	26	1
237	279	26	2
248	279	26	1
230	280	26	1
238	280	26	1
247	280	26	1
231	281	26	1
235	281	26	1
239	281	26	1
248	281	26	1
208	282	26	1
209	282	26	1
212	282	26	1
231	282	26	2
234	282	26	1
235	282	26	1
238	282	26	1
245	282	26	1
251	282	26	1
239	283	26	2
243	283	26	1
246	283	26	1
248	283	26	1
251	283	26	1
253	283	26	1
215	284	26	1
232	284	26	1
233	284	26	2
235	284	26	1
241	284	26	1
245	284	26	1
250	284	26	1
252	284	26	2
212	285	26	1
234	285	26	1
250	285	26	1
216	286	26	1
225	286	26	2
232	286	26	2
238	286	26	2
241	286	26	1
243	286	26	1
249	286	26	1
250	286	26	1
254	286	26	2
236	287	26	1
251	287	26	2
235	288	26	1
252	288	26	1
236	289	26	1
242	289	26	1
243	289	26	1
248	289	26	1
225	290	26	1
227	290	26	1
244	290	26	2
250	290	26	1
226	291	26	2
236	291	26	1
239	291	26	2
245	291	26	1
