x	y	z	RIP-mediated NFkB activation via ZBP1
240	277	24	1
237	278	24	1
245	284	24	1
251	287	24	2
243	288	24	1
249	288	24	1
246	289	24	2
248	289	24	1
244	290	24	1
231	268	25	1
228	272	25	1
230	272	25	1
233	272	25	1
236	273	25	1
235	275	25	1
236	276	25	1
240	276	25	1
235	277	25	1
231	278	25	1
237	278	25	1
233	279	25	1
240	279	25	2
241	279	25	1
232	280	25	1
233	280	25	1
234	280	25	1
248	280	25	1
237	281	25	1
240	281	25	1
245	281	25	1
214	282	25	1
231	282	25	2
233	282	25	1
234	282	25	1
237	282	25	1
240	282	25	1
249	282	25	2
234	283	25	2
236	283	25	1
237	283	25	1
240	283	25	1
241	283	25	1
243	283	25	1
245	283	25	3
249	283	25	2
233	284	25	1
234	284	25	1
243	284	25	1
244	284	25	1
250	284	25	1
232	285	25	1
239	285	25	1
244	285	25	1
250	285	25	1
218	286	25	2
232	286	25	1
233	286	25	1
236	286	25	1
238	287	25	2
246	287	25	2
224	288	25	1
242	288	25	2
236	289	25	1
237	289	25	1
250	290	25	2
238	291	25	1
245	291	25	1
250	291	25	1
249	292	25	1
239	293	25	1
242	294	25	1
246	294	25	1
247	294	25	1
234	295	25	3
245	295	25	1
244	296	25	1
240	298	25	1
237	266	26	1
233	268	26	1
228	269	26	2
237	269	26	1
228	270	26	1
235	270	26	1
238	270	26	1
240	270	26	2
240	271	26	1
232	272	26	1
234	272	26	1
239	272	26	2
249	273	26	1
233	274	26	1
238	274	26	1
239	275	26	1
250	275	26	1
231	276	26	2
233	276	26	1
210	277	26	2
232	278	26	2
236	278	26	1
243	278	26	1
251	278	26	1
236	279	26	1
239	279	26	1
240	279	26	1
248	279	26	1
208	280	26	2
230	280	26	1
232	280	26	2
233	280	26	1
238	280	26	1
240	280	26	1
247	280	26	1
217	281	26	1
239	281	26	1
240	281	26	1
244	281	26	1
249	281	26	3
209	282	26	2
212	282	26	1
215	282	26	1
231	282	26	1
240	282	26	1
242	282	26	2
245	282	26	1
250	282	26	1
209	283	26	1
233	283	26	2
243	283	26	1
249	283	26	1
252	283	26	1
254	283	26	1
215	284	26	1
232	284	26	1
241	284	26	1
242	284	26	2
244	284	26	1
245	284	26	1
248	284	26	2
211	285	26	1
234	285	26	1
235	285	26	3
240	285	26	2
244	285	26	1
245	285	26	2
250	285	26	1
252	285	26	1
253	285	26	1
216	286	26	1
232	286	26	2
235	286	26	1
237	286	26	1
242	286	26	1
243	286	26	1
246	286	26	1
252	286	26	2
253	286	26	1
224	287	26	1
228	287	26	1
236	287	26	1
243	287	26	1
248	287	26	1
251	287	26	1
248	288	26	1
250	288	26	1
233	289	26	1
236	289	26	1
238	289	26	1
240	289	26	1
243	289	26	1
252	289	26	2
236	290	26	2
237	290	26	1
238	290	26	1
242	290	26	1
226	291	26	1
237	291	26	1
238	291	26	1
240	291	26	1
246	291	26	2
249	291	26	1
250	291	26	1
227	292	26	1
238	292	26	2
240	292	26	3
247	292	26	1
254	292	26	1
234	293	26	1
238	293	26	1
240	293	26	1
246	293	26	1
247	293	26	1
235	294	26	1
239	294	26	1
244	294	26	1
241	295	26	2
242	295	26	1
243	295	26	1
236	297	26	1
237	297	26	1
242	297	26	1
246	297	26	1
242	298	26	1
246	298	26	1
241	299	26	1
225	300	26	2
227	300	26	1
227	301	26	1
235	301	26	1
183	258	27	1
215	258	27	1
232	258	27	1
180	259	27	1
226	259	27	1
231	259	27	1
176	260	27	1
185	260	27	1
186	260	27	1
182	261	27	2
183	261	27	1
222	261	27	1
228	261	27	1
230	261	27	2
231	261	27	1
234	261	27	1
177	262	27	1
182	262	27	1
184	262	27	2
186	262	27	1
238	262	27	1
178	263	27	2
179	263	27	2
182	263	27	1
220	263	27	1
225	263	27	1
233	263	27	1
234	263	27	1
235	263	27	1
236	263	27	1
238	263	27	1
239	263	27	2
175	264	27	1
186	264	27	2
219	264	27	1
226	264	27	1
228	264	27	1
238	264	27	1
184	265	27	1
189	265	27	1
212	265	27	1
231	265	27	1
234	265	27	1
238	265	27	1
239	265	27	1
179	266	27	2
180	266	27	2
201	266	27	1
215	266	27	1
217	266	27	1
224	266	27	3
226	266	27	1
230	266	27	1
232	266	27	1
237	266	27	2
215	267	27	1
217	267	27	1
239	267	27	1
241	267	27	1
250	267	27	1
197	268	27	1
207	268	27	1
213	268	27	1
214	268	27	2
222	268	27	1
230	268	27	1
232	268	27	1
235	268	27	2
237	268	27	1
238	268	27	1
239	268	27	1
240	268	27	1
241	268	27	3
243	268	27	2
247	268	27	1
177	269	27	1
178	269	27	1
182	269	27	1
205	269	27	1
211	269	27	1
213	269	27	1
218	269	27	2
224	269	27	1
225	269	27	1
229	269	27	2
231	269	27	1
234	269	27	1
242	269	27	1
243	269	27	1
178	270	27	1
207	270	27	1
216	270	27	1
217	270	27	1
226	270	27	1
227	270	27	1
231	270	27	1
242	270	27	1
244	270	27	1
248	270	27	2
250	270	27	1
182	271	27	1
207	271	27	1
216	271	27	1
226	271	27	1
232	271	27	2
233	271	27	1
237	271	27	1
248	271	27	1
249	271	27	1
205	272	27	3
227	272	27	1
231	272	27	1
236	272	27	1
238	272	27	1
212	273	27	1
213	273	27	1
227	273	27	1
237	273	27	1
246	273	27	1
249	273	27	2
179	274	27	1
204	274	27	1
208	274	27	2
214	274	27	1
224	274	27	1
226	274	27	1
232	274	27	1
236	274	27	1
240	274	27	1
252	274	27	1
184	275	27	1
185	275	27	1
208	275	27	1
213	275	27	1
216	275	27	1
218	275	27	1
220	275	27	1
230	275	27	1
232	275	27	2
235	275	27	1
239	275	27	1
242	275	27	1
244	275	27	1
247	275	27	1
249	275	27	1
252	275	27	2
207	276	27	2
208	276	27	1
210	276	27	1
211	276	27	1
215	276	27	1
227	276	27	2
246	276	27	1
250	276	27	2
208	277	27	1
212	277	27	1
218	277	27	1
233	277	27	1
243	277	27	2
246	277	27	1
249	277	27	1
203	278	27	2
204	278	27	1
214	278	27	1
219	278	27	3
220	278	27	1
