x	y	z	Circadian Clock
239	272	24	2
232	278	24	1
235	278	24	1
239	278	24	1
241	279	24	1
245	284	24	1
246	284	24	1
248	286	24	1
239	287	24	2
251	287	24	1
245	288	24	1
247	289	24	1
249	289	24	1
244	290	24	1
235	270	25	2
234	271	25	1
238	272	25	3
235	273	25	2
238	273	25	1
231	274	25	1
232	274	25	1
233	274	25	1
238	274	25	1
236	275	25	1
237	275	25	1
235	276	25	1
248	276	25	1
232	277	25	3
233	277	25	1
234	277	25	2
235	277	25	1
247	277	25	3
231	278	25	1
232	278	25	2
234	278	25	1
237	278	25	1
231	279	25	1
232	279	25	2
233	279	25	2
235	279	25	1
236	279	25	1
238	279	25	2
240	279	25	1
247	279	25	1
232	280	25	1
234	280	25	1
239	280	25	1
245	280	25	1
248	280	25	1
235	281	25	1
248	281	25	2
214	282	25	1
238	282	25	1
239	282	25	2
240	282	25	1
248	282	25	1
230	283	25	1
231	283	25	3
234	283	25	1
235	283	25	1
236	283	25	1
237	283	25	1
238	283	25	1
240	283	25	1
241	283	25	1
245	283	25	1
247	283	25	1
235	284	25	2
236	284	25	1
237	284	25	2
242	284	25	1
243	284	25	1
247	284	25	3
250	284	25	1
235	285	25	2
237	285	25	1
239	285	25	2
244	285	25	1
246	285	25	2
250	285	25	2
252	285	25	1
253	285	25	1
218	286	25	1
233	286	25	1
236	286	25	1
238	287	25	1
242	287	25	1
249	287	25	2
251	287	25	1
252	287	25	1
242	288	25	1
250	288	25	1
234	289	25	1
235	289	25	1
236	289	25	3
238	289	25	1
242	289	25	1
244	289	25	2
250	289	25	2
235	290	25	2
236	290	25	1
238	290	25	1
244	290	25	1
250	290	25	2
234	291	25	1
238	291	25	1
241	291	25	1
242	291	25	2
250	291	25	2
251	291	25	1
227	292	25	1
237	292	25	1
244	292	25	1
250	292	25	2
239	293	25	1
240	293	25	1
243	293	25	1
244	293	25	1
239	294	25	1
242	294	25	1
234	295	25	1
241	295	25	1
238	296	25	2
239	296	25	1
244	296	25	2
239	297	25	1
241	299	25	1
227	300	25	1
182	259	26	1
182	260	26	2
232	263	26	3
230	264	26	1
231	264	26	1
235	267	26	1
233	268	26	1
235	268	26	1
236	268	26	1
229	269	26	1
236	269	26	1
238	270	26	1
250	270	26	1
229	271	26	1
236	271	26	1
215	272	26	1
217	272	26	2
223	272	26	1
224	272	26	2
230	272	26	1
234	272	26	1
231	273	26	2
248	273	26	1
249	273	26	1
232	275	26	1
233	275	26	1
237	275	26	1
239	275	26	2
250	275	26	2
207	276	26	1
