x	y	z	Hemostasis
244	284	21	2
240	286	21	1
246	292	21	2
240	277	24	3
232	278	24	2
246	284	24	2
244	286	24	1
244	287	24	1
246	287	24	1
245	288	24	1
249	288	24	1
246	289	24	1
247	289	24	3
248	289	24	1
249	289	24	1
244	291	24	3
231	264	25	2
232	265	25	2
235	270	25	2
234	271	25	1
227	272	25	2
230	272	25	1
233	272	25	2
227	273	25	2
235	273	25	2
236	273	25	1
232	274	25	1
233	274	25	1
234	274	25	1
238	274	25	2
236	275	25	3
238	275	25	1
232.5	276.5	25.5	1
235	276	25	1
236	276	25	2
237	276	25	2
239	276	25	1
240	276	25	2
248	276	25	1
231	277	25	1
232	277	25	1
233	277	25	1
234	277	25	1
235	277	25	1
236	277	25	2
247	277	25	3
233	278	25	1
236	278	25	2
237	278	25	1
238	278	25	4
233	279	25	1
235	279	25	1
236	279	25	1
238	279	25	3
240	279	25	1
247	279	25	1
234	280	25	3
241	280	25	2
245	280	25	1
248	280	25	1
240	281	25	1
241	281	25	1
248	281	25	1
249	281	25	1
214	282	25	2
232	282	25	2
233	282	25	1
234	282	25	1
237	282	25	2
238	282	25	3
247	282	25	1
249	282	25	3
231	283	25	2
232	283	25	1
234	283	25	1
235	283	25	2
237	283	25	2
238	283	25	1
239	283	25	2
240	283	25	3
243	283	25	2
246	283	25	2
247	283	25	1
249	283	25	1
233	284	25	3
234	284	25	1
237	284	25	1
242	284	25	1
245	284	25	2
250	284	25	1
252	284	25	2
232	285	25	1
236	285	25	1
238	285	25	2
240	285	25	3
241	285	25	1
253	285	25	2
232	286	25	2
234	286	25	1
241	286	25	1
223	287	25	2
237	287	25	2
242	287	25	1
246	287	25	1
235	288	25	2
236	288	25	1
239	288	25	2
242	288	25	1
234	289	25	1
235	289	25	2
238	289	25	2
241	289	25	1
242	289	25	1
244	289	25	1
248.5	289.5	25.5	1
250	289	25	2
225	290	25	1
234	290	25	2
235	290	25	2
236	290	25	1
237	290	25	2
238	290	25	1
240	290	25	2
243	290	25	3
246	290	25	2
250	290	25	2
234	291	25	1
237	291	25	2
238	291	25	1
239	291	25	3
240	291	25	1
241	291	25	2
242	291	25	1
245	291	25	2
250	291	25	1
251	291	25	1
227	292	25	1
237	292	25	2
239	292	25	1
243	292	25	3
244	292	25	1
249	292	25	1
250	292	25	1
240	293	25	2
243	293	25	1
247	293	25	1
239	294	25	1
241	294	25	1
246	294	25	1
247	294	25	1
234	295	25	3
241	295	25	1
243	295	25	1
238	296	25	1
239	296	25	1
244	296	25	1
246	296	25	1
247	296	25	3
241	299	25	1
238	300	25	1
239	300	25	2
240	300	25	1
239	302	25	1
183	258	26	3
176	259	26	2
229	262	26	3
232	263	26	1
231	264	26	3
232	265	26	1
241	267	26	1
236	268	26	1
229	269	26	2
237	269	26	1
228	270	26	1
234	270	26	3
236	270	26	1
237	270	26	1
238	270	26	1
240	270	26	1
250	270	26	1
229	271	26	2
236	271	26	1
223	272	26	1
224	272	26	2
226	272	26	1
232	272	26	1
236	272	26	1
239	272	26	2
231	273	26	1
236	273	26	2
237	273	26	1
239	273	26	1
231	274	26	2
233	274	26	1
236	274	26	1
232	275	26	2
237	275	26	2
239	275	26	1
245	275	26	1
246	275	26	1
249	275	26	1
250	275	26	2
207	276	26	1
231	276	26	1
232	276	26	1
233	276	26	2
237	276	26	1
239	276	26	1
244	276	26	2
250	276	26	1
209	277	26	1
210	277	26	1
213	277	26	2
230	277	26	1
