x	y	z	Deposition of new CENPA-containing nucleosomes at the centromere
237	278	24	1
241	279	24	1
248	286	24	1
251	287	24	1
246	289	24	1
247	289	24	2
234	271	25	2
230	272	25	1
227	273	25	2
235	273	25	1
232	274	25	2
234	274	25	1
232	277	25	1
237	277	25	1
232	278	25	2
238	278	25	1
238	279	25	1
247	279	25	1
236	280	25	2
231	281	25	1
248	281	25	1
214	282	25	1
232	282	25	1
233	282	25	1
234	282	25	1
234	283	25	3
236	283	25	3
243	283	25	1
245	283	25	1
249	283	25	1
250	284	25	1
218	286	25	1
236	286	25	1
239	288	25	1
237	289	25	1
248.5	289.5	25.5	1
235	290	25	1
240	290	25	2
237	291	25	2
242	291	25	1
246	291	25	1
250	291	25	1
251	291	25	1
235	292	25	1
242	294	25	1
240	295	25	1
246	296	25	1
239	297	25	1
243	297	25	1
241	299	25	3
227	300	25	1
176	259	26	1
229	262	26	1
230	264	26	2
232	265	26	1
234	265	26	3
234	267	26	1
241	268	26	1
233	270	26	1
234	270	26	2
237	270	26	1
240	270	26	1
250	270	26	1
240	271	26	1
223	272	26	1
231	273	26	1
236	273	26	1
239	273	26	1
238	274	26	1
246	275	26	2
248	275	26	2
250	275	26	1
207	276	26	1
231	276	26	1
234	276	26	1
235	276	26	1
248	276	26	1
250	276	26	1
209	277	26	1
210	277	26	1
213	277	26	1
230	277	26	1
239	277	26	1
240	277	26	1
249	277	26	1
235	278	26	2
231	279	26	1
234	279	26	1
208	280	26	1
238	280	26	2
247	280	26	1
249	280	26	1
250	280	26	2
232	281	26	1
239	281	26	1
246	281	26	1
247	281	26	1
248	281	26	3
209	282	26	1
212	282	26	1
215	282	26	1
246	282	26	1
254	282	26	1
243	283	26	1
252	283	26	1
242	284	26	1
252	284	26	1
234	285	26	1
241	285	26	1
245	285	26	1
254	285	26	1
240	286	26	1
223	287	26	1
228	287	26	1
237	287	26	1
243	287	26	1
247	287	26	1
245	288	26	1
250	288	26	1
227	289	26	1
232	289	26	1
233	289	26	1
234	289	26	1
238	289	26	1
240	289	26	2
242	289	26	1
250	289	26	2
252	289	26	1
225	290	26	1
236	290	26	1
240	290	26	2
244	291	26	1
245	291	26	2
246	291	26	1
249	291	26	1
225	292	26	1
237	292	26	1
244	292	26	2
249	292	26	1
252	292	26	1
254	292	26	1
244	293	26	1
237	294	26	1
240	294	26	1
241	294	26	1
242	294	26	1
243	294	26	1
246	294	26	2
239	295	26	1
241	295	26	1
242	295	26	1
243	295	26	1
242	296	26	1
240	298	26	1
246	298	26	1
239	299	26	1
240	299	26	1
235	301	26	2
182	255	27	1
184	255	27	1
183	258	27	1
184	258	27	1
226	259	27	1
231	259	27	1
232	259	27	1
176	260	27	1
181	260	27	1
186	260	27	1
233	260	27	1
240	260	27	2
185	261	27	1
186	261	27	1
222	261	27	2
229	261	27	1
177	262	27	1
180	262	27	1
182	262	27	1
182	263	27	1
231	263	27	1
234	263	27	1
239	263	27	2
225	264	27	1
230	264	27	1
238	264	27	1
184	265	27	2
215	265	27	1
234	265	27	1
236	265	27	1
240	265	27	1
178	266	27	1
179	266	27	1
224	266	27	1
226	266	27	1
230	266	27	1
231	266	27	2
233	266	27	1
182	267	27	1
215	267	27	1
232	267	27	1
234	267	27	1
235	267	27	1
236	267	27	1
240	267	27	2
241	267	27	1
249	267	27	1
250	267	27	1
181	268	27	1
197	268	27	1
207	268	27	1
223	268	27	1
226	268	27	1
231	268	27	1
232	268	27	1
235	268	27	2
237	268	27	1
241	268	27	2
201	269	27	1
215	269	27	1
218	269	27	1
224	269	27	1
227	269	27	1
233	269	27	1
252	269	27	1
184	270	27	1
192	270	27	1
218	270	27	2
226	270	27	1
230	270	27	1
236	270	27	1
237	270	27	1
238	270	27	1
244	270	27	1
248	270	27	2
250	270	27	1
181	271	27	1
206	271	27	1
211	271	27	1
216	271	27	2
223	271	27	1
232	271	27	2
235	271	27	1
238	271	27	1
239	271	27	1
242	271	27	1
247	271	27	1
203	272	27	1
214	272	27	1
220	272	27	1
225	272	27	1
227	272	27	1
228	272	27	1
235	272	27	1
236	272	27	1
241	272	27	1
249	272	27	2
203	273	27	1
206	273	27	1
210	273	27	1
211	273	27	1
214	273	27	1
217	273	27	1
223	273	27	2
229	273	27	1
232	273	27	1
234	273	27	2
247	273	27	1
251	273	27	1
179	274	27	1
208	274	27	1
211	274	27	1
212	274	27	1
221	274	27	1
226	274	27	1
230	274	27	1
231	274	27	1
233	274	27	1
239	274	27	1
247	274	27	1
206	275	27	1
218	275	27	1
240	275	27	1
247	275	27	1
249	275	27	1
177	276	27	1
206	276	27	1
244	276	27	1
205	277	27	1
211	277	27	1
212	277	27	1
235	277	27	1
236	277	27	1
239	277	27	2
246	277	27	1
206	278	27	1
209	278	27	2
214	278	27	1
225	278	27	1
233	278	27	2
249	278	27	1
201	279	27	1
220	279	27	1
230	279	27	1
237	279	27	1
238	279	27	1
241	279	27	1
251	279	27	1
257	279	27	2
205	280	27	1
214	280	27	1
235	280	27	1
248	280	27	1
256	280	27	1
210	281	27	1
215	281	27	1
229	281	27	1
231	281	27	2
235	281	27	2
238	281	27	1
205	282	27	1
216	282	27	1
217	282	27	1
240	282	27	1
241	282	27	1
242	282	27	1
246	282	27	1
249	282	27	1
254	282	27	1
208	283	27	1
221	283	27	1
228	283	27	1
238	283	27	1
240	283	27	1
241	283	27	1
249	283	27	1
253	283	27	1
205	284	27	1
210	284	27	1
214	284	27	1
235	284	27	1
253	284	27	1
200	285	27	1
206	285	27	1
208	285	27	1
213	285	27	1
223	285	27	1
224	285	27	1
234	285	27	1
242	285	27	1
245	285	27	1
253	285	27	1
256	285	27	1
204	286	27	2
207	286	27	1
