x	y	z	Signaling by NODAL
235	278	24	1
239	278	24	1
244	286	24	1
239	287	24	1
243	288	24	1
244	288	24	1
244	290	24	1
231	264	25	1
232	265	25	1
231	268	25	1
230	272	25	1
233	272	25	1
235	273	25	2
238	273	25	1
230	274	25	1
231	274	25	1
232	274	25	1
234	274	25	1
235	274	25	1
238	274	25	1
235	275	25	2
233	276	25	1
235	276	25	1
236	276	25	1
232	277	25	1
232	278	25	1
234	278	25	1
236	278	25	1
232	279	25	2
233	279	25	1
240	279	25	1
241	279	25	1
233	280	25	1
234	280	25	1
239	280	25	1
241	280	25	1
234	281	25	1
237	281	25	2
243	281	25	1
245	281	25	1
214	282	25	1
233	282	25	1
235	282	25	2
237	282	25	1
238	282	25	2
239	282	25	2
248	282	25	1
233	283	25	1
234	283	25	1
237	283	25	3
241	283	25	1
237	284	25	1
241	284	25	1
242	284	25	1
243	284	25	1
215	285	25	1
232	285	25	1
234	285	25	1
238	285	25	1
243	285	25	1
244	285	25	1
248	285	25	1
250	285	25	1
232	286	25	1
242	286	25	2
243	286	25	1
238	287	25	2
249	287	25	1
236	288	25	1
237	288	25	1
242	288	25	2
236	289	25	1
237	289	25	1
250	289	25	1
235	290	25	1
246	290	25	1
250	290	25	1
235	291	25	2
246	291	25	1
238	292	25	1
239	292	25	2
242	292	25	1
243	292	25	1
250	292	25	1
240	293	25	1
243	294	25	1
246	294	25	1
247	294	25	1
234	295	25	1
238	296	25	1
239	296	25	1
247	296	25	1
239	302	25	1
183	258	26	1
176	259	26	1
232	263	26	1
215	265	26	1
237	266	26	1
235	267	26	1
233	268	26	1
235	268	26	1
233	270	26	1
236	270	26	1
229	271	26	1
236	271	26	1
240	271	26	1
236	272	26	1
237	273	26	3
248	273	26	1
245	275	26	1
234	276	26	1
239	276	26	1
207	277	26	1
209	277	26	1
234	277	26	1
236	278	26	1
239	278	26	1
240	278	26	1
252	278	26	1
233	279	26	1
240	279	26	2
250	279	26	1
230	280	26	1
233	280	26	1
241	280	26	1
247	280	26	1
217	281	26	1
235	281	26	1
247	281	26	1
248	281	26	1
249	281	26	3
215	282	26	3
231	282	26	1
233	282	26	1
234	282	26	1
237	282	26	1
238	282	26	2
242	282	26	1
246	282	26	1
247	282	26	1
250	282	26	1
253	282	26	1
254	282	26	1
234	283	26	2
249	283	26	1
214	284	26	2
215	284	26	1
233	284	26	1
236	284	26	1
242	284	26	1
244	284	26	1
250	284	26	1
211	285	26	1
214	285	26	1
241	285	26	1
244	285	26	1
246	285	26	1
250	285	26	1
255	285	26	1
233	286	26	1
235	286	26	1
247	286	26	1
248	286	26	1
249	286	26	1
250	286	26	1
252	286	26	1
253	286	26	1
228	287	26	1
250	287	26	1
243	288	26	3
245	288	26	1
249	288	26	1
253	288	26	2
233	289	26	1
237	289	26	1
238	289	26	1
242	289	26	2
252	289	26	1
236	290	26	3
237	290	26	1
239	290	26	1
240	290	26	1
222	291	26	2
226	291	26	1
236	291	26	1
238	291	26	1
239	291	26	1
242	291	26	1
244	291	26	1
246	291	26	1
249	291	26	1
250	291	26	2
226	292	26	1
238	292	26	1
245	292	26	1
251	292	26	1
238	293	26	2
246	293	26	1
247	293	26	1
239	294	26	1
242	294	26	1
245	294	26	1
246	294	26	2
244	295	26	2
245	295	26	1
241	296	26	1
236	297	26	1
242	297	26	1
245	297	26	1
235	298	26	1
242	298	26	1
236	299	26	1
239	299	26	2
240	299	26	1
225	300	26	1
227	300	26	1
241	300	26	1
182	255	27	2
184	256	27	2
186	257	27	1
184	258	27	1
183	259	27	1
185	259	27	1
231	259	27	1
181	260	27	1
183	260	27	1
184	260	27	1
226	260	27	1
234	260	27	1
235	260	27	2
181	261	27	2
182	261	27	1
185	261	27	1
227	261	27	1
237	261	27	1
239	261	27	1
177	262	27	1
184	262	27	1
233	262	27	1
236	262	27	1
175	263	27	1
178	263	27	1
181	263	27	1
182	263	27	1
210	263	27	1
215	263	27	1
227	263	27	1
232	263	27	2
238	263	27	1
175	264	27	2
226	264	27	1
235	265	27	1
237	265	27	1
240	265	27	1
178	266	27	1
179	266	27	1
217	266	27	1
228	266	27	1
231	266	27	1
234	266	27	1
235	266	27	1
229	267	27	1
231	267	27	1
232	267	27	1
207	268	27	2
217	268	27	1
219	268	27	1
222	268	27	1
228	268	27	2
230	268	27	2
232	268	27	1
235	268	27	1
236	268	27	1
240	268	27	1
241	268	27	1
248	268	27	1
213	269	27	1
215	269	27	2
218	269	27	1
225	269	27	1
227	269	27	1
228	269	27	1
231	269	27	1
234	269	27	1
239	269	27	1
240	269	27	1
242	269	27	1
243	269	27	1
181	270	27	1
215	270	27	1
218	270	27	1
221	270	27	1
226	270	27	1
227	270	27	1
231	270	27	1
232	270	27	2
234	270	27	3
236	270	27	1
237	270	27	1
239	270	27	2
250	270	27	1
177	271	27	1
182	271	27	1
206	271	27	1
209	271	27	1
211	271	27	1
217	271	27	1
225	271	27	1
233	271	27	1
235	271	27	1
242	271	27	1
243	271	27	1
249	271	27	1
251	271	27	1
176	272	27	1
181	272	27	1
206	272	27	1
216	272	27	1
230	272	27	1
236	272	27	1
238	272	27	2
239	272	27	1
240	272	27	2
205	273	27	2
207	273	27	1
211	273	27	1
213	273	27	1
214	273	27	2
220	273	27	1
224	273	27	3
227	273	27	1
229	273	27	1
231	273	27	1
241	273	27	1
247	273	27	1
177	274	27	1
178	274	27	1
179	274	27	1
208	274	27	1
213	274	27	1
216	274	27	1
226	274	27	1
230	274	27	1
237	274	27	1
239	274	27	1
252	274	27	1
205	275	27	1
213	275	27	1
214	275	27	1
222	275	27	1
224	275	27	1
232	275	27	1
238	275	27	1
240	275	27	1
247	275	27	1
207	276	27	2
209	276	27	1
210	276	27	1
211	276	27	2
215	276	27	1
220	276	27	1
230	276	27	1
233	276	27	1
234	276	27	1
245	276	27	1
247	276	27	1
204	277	27	1
210	277	27	1
215	277	27	1
218	277	27	2
220	277	27	1
227	277	27	2
232	277	27	1
239	277	27	2
249	277	27	1
252	277	27	2
208	278	27	1
220	278	27	1
227	278	27	1
231	278	27	1
234	278	27	1
235	278	27	2
244	278	27	2
251	278	27	1
207	279	27	1
220	279	27	2
230	279	27	2
238	279	27	2
240	279	27	1
242	279	27	1
245	279	27	1
246	279	27	1
247	279	27	1
233	280	27	1
236	280	27	2
239	280	27	1
241	280	27	1
243	280	27	2
244	280	27	1
247	280	27	1
248	280	27	2
249	280	27	1
251	280	27	1
214	281	27	1
218	281	27	2
237	281	27	1
239	281	27	1
249	281	27	2
254	281	27	1
256	281	27	1
257	281	27	1
206	282	27	1
210	282	27	1
214	282	27	1
215	282	27	1
217	282	27	1
233	282	27	1
239	282	27	2
240	282	27	2
241	282	27	1
246	282	27	1
250	282	27	1
254	282	27	1
208	283	27	1
215	283	27	1
218	283	27	1
231	283	27	1
234	283	27	2
235	283	27	1
238	283	27	1
241	283	27	1
245	283	27	1
253	283	27	1
205	284	27	2
206	284	27	1
208	284	27	2
209	284	27	1
210	284	27	1
212	284	27	2
213	284	27	2
237	284	27	2
238	284	27	1
241	284	27	1
249	284	27	1
250	284	27	2
251	284	27	1
254	284	27	1
255	284	27	1
256	284	27	1
199	285	27	1
204	285	27	1
210	285	27	1
213	285	27	1
215	285	27	1
224	285	27	1
234	285	27	1
237	285	27	1
238	285	27	1
239	285	27	1
240	285	27	1
241	285	27	1
245	285	27	1
246	285	27	1
250	285	27	1
256	285	27	1
207	286	27	1
211	286	27	1
216	286	27	1
226	286	27	1
245	286	27	1
246	286	27	1
249	286	27	1
256	286	27	1
219	287	27	3
223	287	27	1
228	287	27	1
231	287	27	1
233	287	27	2
234	287	27	1
239	287	27	1
241	287	27	1
249	287	27	1
255	287	27	1
223	288	27	1
226	288	27	1
228	288	27	1
229	288	27	1
232	288	27	1
236	288	27	1
238	288	27	1
246	288	27	1
249	288	27	1
250	288	27	1
251	288	27	2
223	289	27	2
228	289	27	2
230	289	27	1
234	289	27	1
235	289	27	1
236	289	27	1
238	289	27	1
240	289	27	3
242	289	27	1
243	289	27	1
246	289	27	1
224	290	27	2
228	290	27	1
231	290	27	3
234	290	27	1
236	290	27	1
239	290	27	1
240	290	27	1
241	290	27	1
246	290	27	1
211	291	27	1
224	291	27	1
225	291	27	1
230	291	27	1
234	291	27	1
240	291	27	1
242	291	27	1
246	291	27	1
249	291	27	1
212	292	27	1
220	292	27	1
221	292	27	2
222	292	27	2
224	292	27	1
226	292	27	1
228	292	27	1
234	292	27	1
246	292	27	1
248	292	27	1
250	292	27	1
253	292	27	1
254	292	27	1
217	293	27	1
221	293	27	1
237	293	27	1
242	293	27	1
248	293	27	1
249	293	27	1
211	294	27	1
213	294	27	2
219	294	27	1
235	294	27	1
245	294	27	1
248	294	27	1
251	294	27	1
257	294	27	2
211	295	27	1
221	295	27	2
223	295	27	1
241	295	27	1
248	295	27	3
251	295	27	1
252	295	27	1
255	295	27	1
211	296	27	1
220	296	27	1
221	296	27	1
246	296	27	1
252	296	27	1
217	297	27	1
236	297	27	1
237	297	27	4
245	297	27	1
248	297	27	1
244	298	27	2
215	299	27	1
223	299	27	1
239	299	27	2
243	299	27	1
246	299	27	1
248	299	27	1
226	300	27	2
228	300	27	1
238	300	27	1
241	300	27	1
244	300	27	1
248	300	27	1
234	301	27	1
236	301	27	1
238	301	27	2
235	302	27	2
237	302	27	1
239	302	27	1
235	304	27	1
236	304	27	1
238	304	27	1
243	304	27	1
244	304	27	2
235	305	27	2
231	266	28	1
235	266	28	1
231	267	28	1
234	267	28	1
238	268	28	1
236	269	28	1
236	270	28	2
238	270	28	1
240	271	28	2
206	272	28	1
232	274	28	2
233	276	28	1
235	276	28	1
236	277	28	2
237	277	28	1
248	279	28	1
210	281	28	1
250	281	28	1
235	282	28	1
246	282	28	2
249	283	28	1
254	283	28	1
246	284	28	1
248	284	28	1
250	284	28	1
254	284	28	1
242	285	28	3
244	285	28	2
237	286	28	1
246	286	28	1
247	286	28	1
245	287	28	1
248	287	28	2
251	287	28	1
242	288	28	1
249	289	28	2
226	290	28	1
240	290	28	1
242	290	28	2
226	291	28	1
239	291	28	1
245	291	28	1
247	291	28	1
242	292	28	1
248	292	28	1
241	294	28	1
249	294	28	1
251	294	28	1
240	295	28	2
241	295	28	1
242	295	28	1
248	295	28	1
239	297	28	1
245	297	28	2
182	257	29	1
230	259	29	2
183	261	29	1
226	261	29	1
227	261	29	1
227	262	29	1
222	263	29	2
231	263	29	1
234	263	29	1
245	263	29	1
248	263	29	1
216	264	29	1
226	264	29	3
229	264	29	1
245	264	29	1
248	264	29	1
181	265	29	3
215	265	29	1
238	265	29	1
234	266	29	1
237	266	29	1
250	266	29	1
192	267	29	1
193	267	29	2
196	267	29	1
197	267	29	2
199	267	29	1
214	267	29	1
226	267	29	1
236	267	29	1
231	268	29	1
235	268	29	2
236	268	29	1
204	269	29	1
232	269	29	1
234	269	29	1
237	269	29	2
240	269	29	1
248	269	29	1
227	270	29	1
232	270	29	1
234	270	29	2
250	270	29	2
214	271	29	1
215	271	29	1
216	271	29	1
229	271	29	1
240	271	29	2
242	271	29	1
211	272	29	1
213	272	29	2
224	272	29	2
233	272	29	1
212	273	29	1
236	273	29	1
238	273	29	1
249	273	29	1
233	274	29	1
235	274	29	2
236	274	29	1
247	274	29	2
206	275	29	1
215	275	29	1
231	275	29	1
238	275	29	1
239	275	29	1
240	275	29	1
206	276	29	1
233	276	29	1
234	276	29	1
246	276	29	3
248	276	29	1
205	277	29	1
232	277	29	2
234	277	29	1
236	277	29	1
239	277	29	1
235	278	29	1
238	278	29	1
239	278	29	1
238	279	29	2
245	279	29	1
247	279	29	1
252	279	29	1
254	279	29	1
241	280	29	2
245	280	29	1
247	280	29	1
249	280	29	1
250	280	29	1
256	280	29	1
208	281	29	1
214	281	29	1
232	281	29	1
233	281	29	2
234	281	29	1
238	281	29	2
243	281	29	1
247	281	29	1
251	281	29	1
206	282	29	1
212	282	29	2
213	282	29	1
250	282	29	1
233	283	29	1
234	283	29	1
238	283	29	1
241	283	29	1
248	283	29	1
249	283	29	1
250	283	29	1
232	284	29	1
234	284	29	1
237	284	29	1
238	284	29	1
240	284	29	2
243	284	29	1
250	284	29	1
255	284	29	1
256	284	29	1
236	285	29	1
241	285	29	1
243	285	29	2
246	285	29	2
254	285	29	1
233	286	29	1
236	286	29	1
240	286	29	1
243	286	29	1
249	286	29	1
228	287	29	1
232	287	29	3
233	287	29	1
244	287	29	2
245	287	29	2
247	287	29	2
236	288	29	2
245	288	29	1
249	288	29	1
236	289	29	1
240	289	29	1
246	289	29	1
247	289	29	1
250	289	29	1
222	290	29	1
225	290	29	1
228	290	29	1
237	290	29	3
238	290	29	1
240	290	29	1
222	291	29	1
224	291	29	1
240	291	29	1
246	291	29	1
249	291	29	1
250	291	29	1
227	292	29	1
239	292	29	1
245	292	29	1
248	292	29	1
249	292	29	1
257	292	29	2
246	293	29	1
253	293	29	1
224	294	29	1
248	294	29	1
247	295	29	1
223	296	29	1
238	297	29	1
239	297	29	1
242	297	29	1
247	297	29	1
248	298	29	1
239	299	29	1
240	299	29	1
252	299	29	2
221	300	29	1
235	300	29	1
239	300	29	1
247	300	29	1
225	301	29	1
238	301	29	1
241	301	29	1
247	301	29	3
250	302	29	2
236	305	29	2
225	251	30	1
215	254	30	1
230	254	30	1
238	254	30	1
227	255	30	1
230	255	30	1
236	255	30	1
229	256	30	1
231	256	30	1
181	257	30	1
190	257	30	1
209	257	30	1
215	257	30	1
228	257	30	1
229	257	30	1
236	257	30	1
239	257	30	1
181	258	30	1
186	258	30	2
203	258	30	2
227	258	30	1
229	258	30	1
231	258	30	2
233	258	30	1
238	258	30	1
210	259	30	1
214	259	30	2
216	259	30	2
220	259	30	1
224	259	30	2
229	259	30	1
232	259	30	1
239	259	30	1
184	260	30	1
186	260	30	1
212	260	30	1
223	260	30	1
226	260	30	1
227	260	30	2
232	260	30	1
236	260	30	1
238	260	30	1
239	260	30	1
245	260	30	1
184	261	30	1
187	261	30	1
196	261	30	1
199	261	30	1
209	261	30	2
219	261	30	2
226	261	30	1
232	261	30	1
241	261	30	2
246	261	30	1
178	262	30	3
179	262	30	1
186	262	30	1
193	262	30	1
194	262	30	2
206	262	30	2
216	262	30	1
218	262	30	1
221	262	30	1
223	262	30	1
227	262	30	2
230	262	30	1
231	262	30	1
233	262	30	1
240	262	30	1
242	262	30	1
247	262	30	2
248	262	30	1
185	263	30	1
186	263	30	1
189	263	30	1
197	263	30	1
215	263	30	1
219	263	30	1
234	263	30	1
242	263	30	1
248	263	30	1
178	264	30	1
186	264	30	1
195	264	30	1
222	264	30	1
225	264	30	1
226	264	30	2
227	264	30	1
228	264	30	2
231	264	30	1
238	264	30	1
239	264	30	2
240	264	30	1
193	265	30	1
197	265	30	1
200	265	30	1
213	265	30	1
232	265	30	2
247	265	30	2
248	265	30	1
193	266	30	1
194	266	30	1
211	266	30	1
228	266	30	1
231	266	30	1
241	266	30	1
243	266	30	1
182	267	30	1
183	267	30	1
196	267	30	1
229	267	30	1
232	267	30	1
238	267	30	1
241	267	30	1
245	267	30	1
172	268	30	1
188	268	30	1
207	268	30	2
214	268	30	2
223	268	30	1
241	268	30	1
246	268	30	1
172	269	30	1
194	269	30	3
198	269	30	1
214	269	30	2
215	269	30	1
242	269	30	1
244	269	30	1
247	269	30	1
248	269	30	1
249	269	30	1
250	269	30	2
181	270	30	2
183	270	30	2
184	270	30	1
195	270	30	1
198	270	30	1
200	270	30	1
205	270	30	1
223	270	30	1
238	270	30	1
183	271	30	1
185	271	30	1
198	271	30	1
201	271	30	1
207	271	30	1
208	271	30	1
212	271	30	1
232	271	30	1
244	271	30	1
247	271	30	1
249	271	30	1
182	272	30	1
197	272	30	1
244	272	30	1
245	272	30	1
182	273	30	1
204	273	30	1
208	273	30	1
211	273	30	1
227	273	30	1
231	273	30	1
232	273	30	1
235	273	30	1
239	273	30	1
246	273	30	1
203	274	30	1
212	274	30	1
234	274	30	1
239	274	30	1
244	274	30	1
175	275	30	1
182	275	30	1
183	275	30	1
211	275	30	1
233	275	30	1
236	275	30	1
242	275	30	2
244	275	30	1
179	276	30	1
235	276	30	1
239	276	30	1
246	276	30	1
248	276	30	1
253	276	30	1
206	277	30	1
208	277	30	1
237	277	30	1
239	277	30	1
250	277	30	1
190	278	30	1
203	278	30	1
204	278	30	1
205	278	30	1
206	278	30	1
236	278	30	1
239	278	30	1
248	278	30	1
207	279	30	2
238	279	30	1
240	279	30	1
175	280	30	1
178	280	30	2
183	280	30	1
219	280	30	1
226	280	30	1
237	280	30	1
239	280	30	1
244	280	30	2
246	280	30	1
173	281	30	1
181	281	30	1
214	281	30	2
217	281	30	1
237	281	30	1
244	281	30	2
246	281	30	1
252	281	30	1
181	282	30	2
182	282	30	1
220	282	30	1
221	282	30	1
237	282	30	2
238	282	30	1
239	282	30	1
245	282	30	1
252	282	30	1
215	283	30	2
219	283	30	2
221	283	30	2
222	283	30	1
232	283	30	2
234	283	30	1
239	283	30	2
241	283	30	1
244	283	30	1
246	283	30	1
249	283	30	2
250	283	30	1
252	283	30	1
177	284	30	1
220	284	30	2
225	284	30	1
226	284	30	1
233	284	30	2
240	284	30	1
242	284	30	1
244	284	30	1
251	284	30	1
254	284	30	1
206	285	30	1
220	285	30	1
224	285	30	1
232	285	30	1
234	285	30	1
236	285	30	1
237	285	30	2
242	285	30	1
245	285.666666666667	31	1
251	285	30	1
205	286	30	1
223	286	30	1
228	286	30	2
238	286	30	1
240	286	30	1
241	286	30	1
243	286	30	1
249	286	30	1
250	286	30	1
251	286	30	1
207	287	30	1
222	287	30	1
225	287	30	1
228	287	30	1
231	287	30	1
251	287	30	1
199	288	30	2
225	288	30	1
229	288	30	1
235	288	30	2
248	288	30	1
250	288	30	1
252	288	30	1
201	289	30	2
221	289	30	1
230	289	30	1
232	289	30	1
234	289	30	1
239	289	30	1
247	289	30	1
248	289	30	1
252	289	30	1
256	289	30	1
224	290	30	2
225	290	30	1
231	290	30	1
235	290	30	1
242	290	30	2
246	290	30	1
253	290	30	1
237	291	30	1
250	291	30	1
258	291	30	1
197	292	30	1
198	292	30	1
199	292	30	1
226	292	30	1
227	292	30	1
228	292	30	2
235	292	30	1
238	292	30	1
246	292	30	1
248	292	30	1
257	292	30	1
222	293	30	1
223	293	30	1
225	293	30	1
229	293	30	2
233	293	30	2
246	293	30	1
247	293	30	1
249	293	30	1
251	293	30	1
210	294	30	1
231	294	30	2
233	294	30	1
235	294	30	1
237	294	30	1
241	294	30	1
243	294	30	1
249	294	30	1
250	294	30	1
253	294	30	1
257	294	30	2
218	295	30	1
221	295	30	2
222	295	30	1
225	295	30	1
241	295	30	2
243	295	30	1
254	295	30	1
257	295	30	1
226	296	30	2
233	296	30	1
220	297	30	1
221	297	30	1
240	297	30	1
241	297	30	2
245	297	30	1
246	297	30	1
225	298	30	2
233	298	30	1
241	298	30	1
246	298	30	1
249	298	30	2
216	299	30	1
218	299	30	1
221	299	30	1
250	299	30	1
218	300	30	1
222	300	30	1
225	300	30	1
231	300	30	1
240	300	30	1
244	300	30	1
247	300	30	1
248	300	30	1
223	301	30	1
225	301	30	1
230	301	30	1
237	301	30	1
240	301	30	1
242	301	30	1
244	301	30	1
251	301	30	1
221	302	30	2
226	302	30	1
229	302	30	1
231	302	30	1
236	302	30	1
237	302	30	1
247	302	30	2
217	303	30	1
223	303	30	1
239	303	30	1
241	303	30	1
244	303	30	1
246	303	30	1
220	304	30	1
233	304	30	1
234	304	30	1
240	304	30	1
223	305	30	2
236	306	30	1
226	250	31	1
235	250	31	1
239	252	31	2
193	253	31	2
217	253	31	2
233	253	31	1
237	253	31	1
227	254	31	1
232	254	31	2
238	254	31	1
191	255	31	2
226	255	31	1
229	255	31	1
233	255	31	1
214	257	31	2
232	257	31	2
236	257	31	1
237	257	31	1
239	257	31	1
205	258	31	1
227	258	31	1
228	258	31	1
229	258	31	1
231	258	31	1
240	258	31	2
219	259	31	2
229	259	31	2
237	259	31	1
188	260	31	2
190	260	31	1
220	260	31	1
227	260	31	3
239	260	31	1
240	260	31	1
241	260	31	1
242	260	31	1
244	260	31	1
181	261	31	1
187	261	31	1
193	261	31	2
195	261	31	3
208	261	31	1
216	261	31	1
217	261	31	1
225	261	31	2
229	261	31	1
231	261	31	1
245	261	31	1
186	262	31	1
193	262	31	1
207	262	31	1
216	262	31	1
220	262	31	1
222	262	31	2
227	262	31	1
238	262	31	1
246	262	31	1
185	263	31	1
187	263	31	2
193	263	31	1
194	263	31	1
197	263	31	1
198	263	31	2
215	263	31	2
216	263	31	1
220	263	31	2
226	263	31	1
230	263	31	3
232	263	31	2
234	263	31	1
235	263	31	2
238	263	31	2
249	263	31	2
197	264	31	1
209	264	31	3
217	264	31	1
221	264	31	1
223	264	31	1
244	264	31	1
246	264	31	1
185	265	31	2
205	265	31	1
216	265	31	2
234	265	31	1
239	265	31	1
245	265	31	2
250	265	31	1
193	266	31	1
198	266	31	1
213	266	31	1
215	266	31	1
217	266	31	1
232	266	31	1
247	266	31	1
251	266	31	1
