x	y	z	Interferon alpha/beta signaling
216.157603775171	275.673637444315	34.5586340221659	2
246	292	21	1
240	277	24	1
235	278	24	1
239	278	24	1
241	279	24	1
245	284	24	1
246	284	24	1
248	286	24	3
244	287	24	1
245	287	24	1
251	287	24	1
245	288	24	1
249	288	24	1
244	289	24	1
246	289	24	1
247	289	24	1
248	289	24	3
249	289	24	1
244	290	24	4
244	291	24	1
231	264	25	1
231	268	25	2
236	268	25	1
227	272	25	2
230	272	25	1
233	272	25	1
238	272	25	1
235	273	25	1
238	273	25	2
230	274	25	1
231	274	25	1
235	275	25	1
237	275	25	1
238	275	25	1
232.5	276.5	25.5	1
233	276	25	1
234	276	25	1
235	276	25	1
236	276	25	1
237	276	25	1
239	276	25	1
240	276	25	1
248	276	25	1
231	277	25	3
247	277	25	1
234	278	25	2
239	278	25	2
231	279	25	1
232	279	25	1
233	279	25	2
234	279	25	1
236	279	25	1
239	279	25	1
241	279	25	1
247	279	25	2
232	280	25	1
233	280	25	1
236	280	25	4
239	280	25	1
248	280	25	1
234	281	25	1
235	281	25	1
240	281	25	1
243	281	25	2
245	281	25	1
249	281	25	1
233	282	25	1
235	282	25	1
238	282	25	1
239	282	25	1
240	282	25	1
230	283	25	1
231	283	25	1
233	283	25	1
234	283	25	1
235	283	25	2
241	283	25	1
243	283	25	1
247	283	25	1
213	284	25	2
234	284	25	1
236	284	25	1
237	284	25	1
241	284	25	2
242	284	25	1
245	284	25	1
250	284	25	2
235	285	25	3
239	285	25	1
241	285	25	1
243	285	25	3
244	285	25	1
252	285	25	1
253	285	25	3
232	286	25	3
233	286	25	1
235	286	25	1
236	286	25	1
240	286	25	1
241	286	25	1
245	286	25	1
250	286	25	1
223	287	25	1
238	287	25	1
246	287	25	2
224	288	25	1
236	288	25	1
250	288	25	1
251	288	25	1
226	289	25	1
234	289	25	1
235	289	25	1
241	289	25	1
244	289	25	1
252	289	25	1
236	290	25	1
243	290	25	1
246	290	25	1
249	290	25	2
234	291	25	1
235	291	25	1
238	291	25	1
239	291	25	1
241	291	25	1
245	291	25	1
246	291	25	1
227	292	25	2
235	292	25	1
238	292	25	1
242	292	25	1
244	292	25	1
240	293	25	1
243	293	25	1
244	293	25	1
246	293	25	1
247	293	25	1
240	294	25	2
241	294	25	1
246	294	25	1
241	295	25	1
243	295	25	2
245	295	25	2
238	296	25	1
242	296	25	1
246	296	25	1
247	296	25	1
239	297	25	1
243	299	25	1
227	300	25	2
238	300	25	1
240	300	25	1
239	302	25	1
183	258	26	1
229	262	26	2
