x	y	z	Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol
216.157603775171	275.673637444315	34.5586340221659	1
240	286	21	2
246	292	21	2
239	272	24	2
240	277	24	1
235	278	24	2
239	278	24	1
241	279	24	2
245	284	24	1
244	286	24	1
239	287	24	1
246	287	24	4
251	287	24	1
249	288	24	1
244	289	24	1
246	289	24	1
249	289	24	3
244	290	24	2
244	291	24	2
231	264	25	1
231	268	25	1
235	270	25	1
228	272	25	2
233	272	25	3
239	272	25	1
236	273	25	1
231	274	25	2
232	274	25	1
233	274	25	1
232.5	276.5	25.5	2
233	276	25	1
234	276	25	1
235	276	25	3
237	276	25	1
239	276	25	2
240	276	25	1
231	277	25	1
247	277	25	1
231	278	25	1
232	278	25	1
234	278	25	1
237	278	25	1
239	278	25	1
231	279	25	1
233	279	25	1
234	279	25	1
235	279	25	1
236	279	25	1
237	279	25	3
241	279	25	2
249	279	25	1
239	280	25	1
245	280	25	1
248	280	25	1
231	281	25	1
237	281	25	1
240	281	25	1
241	281	25	1
214	282	25	2
231	282	25	1
233	282	25	3
234	282	25	1
235	282	25	1
237	282	25	3
239	282	25	3
240	282	25	1
247	282	25	1
248	282	25	2
249	282	25	1
231	283	25	2
234	283	25	2
235	283	25	1
237	283	25	1
239	283	25	1
241	283	25	1
243	283	25	1
249	283	25	1
213	284	25	2
233	284	25	1
234	284	25	1
235	284	25	1
236	284	25	1
237	284	25	1
242	284	25	3
244	284	25	1
215	285	25	1
232	285	25	1
234	285	25	2
235	285	25	1
236	285	25	1
238	285	25	2
239	285	25	1
240	285	25	1
241	285	25	2
246	285	25	1
248	285	25	1
252	285	25	1
253	285	25	2
218	286	25	2
233	286	25	1
234	286	25	1
236	286	25	1
241	286	25	2
242	286	25	1
243	286	25	1
245	286	25	1
250	286	25	3
238	287	25	1
242	287	25	1
246	287	25	2
249	287	25	2
252	287	25	1
224	288	25	1
235	288	25	1
236	288	25	3
251	288	25	1
226	289	25	1
236	289	25	1
237	289	25	3
238	289	25	1
241	289	25	1
242	289	25	1
248.5	289.5	25.5	1
250	289	25	2
225	290	25	1
234	290	25	2
235	290	25	1
236	290	25	1
240	290	25	1
243	290	25	2
244	290	25	1
249	290	25	1
250	290	25	1
226	291	25	1
234	291	25	3
235	291	25	2
236	291	25	1
237	291	25	2
238	291	25	1
239	291	25	2
240	291	25	2
241	291	25	2
246	291	25	3
251	291	25	2
227	292	25	1
237	292	25	1
239	292	25	1
244	292	25	1
249	292	25	1
246	293	25	1
247	293	25	1
241	294	25	1
242	294	25	1
243	294	25	1
244	294	25	1
234	295	25	1
240	295	25	2
241	295	25	1
239	296	25	1
246	296	25	1
247	296	25	1
239	297	25	4
240	298	25	1
243	299	25	1
227	300	25	1
238	300	25	1
240	300	25	2
239	302	25	1
182	259	26	1
229	262	26	1
229	264	26	1
230	264	26	1
230	267	26	2
234	267	26	1
235	267	26	2
241	267	26	3
236	268	26	1
229	269	26	1
236	269	26	1
237	269	26	5
227	270	26	1
228	270	26	1
235	270	26	2
236	270	26	2
237	270	26	1
238	270	26	3
240	270	26	1
229	271	26	1
240	271	26	1
215	272	26	1
223	272	26	1
224	272	26	1
230	272	26	1
232	272	26	1
234	272	26	1
236	272	26	1
236	273	26	1
237	273	26	3
249	273	26	2
231	274	26	2
233	274	26	1
236	274	26	2
232	275	26	2
233	275	26	1
235	275	26	1
237	275	26	1
239	275	26	1
245	275	26	1
248	275	26	1
215	276	26	2
231	276	26	2
233	276	26	1
234	276	26	1
235	276	26	2
238	276	26	1
239	276	26	1
213	277	26	2
234	277	26	1
237	277	26	1
239	277	26	2
240	277	26	1
247	277	26	1
249	277	26	1
232	278	26	1
235	278	26	1
236	278	26	2
240	278	26	1
231	279	26	1
232	279	26	1
233	279	26	1
236	279	26	1
237	279	26	2
239	279	26	1
246	279	26	2
248	279	26	1
249	279	26	1
208	280	26	1
230	280	26	1
234	280	26	1
236	280	26	1
238	280	26	1
241	280	26	1
247	280	26	1
248	280	26	1
249	280	26	2
217	281	26	1
230	281	26	4
231	281	26	2
232	281	26	2
234	281	26	2
235	281	26	1
240	281	26	1
244	281	26	1
246	281	26	1
247	281	26	1
248	281	26	2
250	281	26	2
208	282	26	2
229	282	26	2
233	282	26	4
237	282	26	1
238	282	26	2
242	282	26	1
245	282	26	1
249	282	26	1
251	282	26	1
209	283	26	2
227	283	26	2
231	283	26	2
233	283	26	1
234	283	26	1
239	283	26	2
241	283	26	1
243	283	26	1
248	283	26	1
251	283	26	1
214	284	26	2
215	284	26	2
232	284	26	1
233	284	26	2
234	284	26	1
235	284	26	1
236	284	26	2
243	284	26	1
244	284	26	1
245	284	26	1
246	284	26	1
250	284	26	1
252	284	26	3
212	285	26	2
214	285	26	1
232	285	26	2
234	285	26	1
236	285	26	1
241	285	26	2
245	285	26	1
246	285	26	1
250	285	26	1
254	285	26	1
255	285	26	1
216	286	26	1
240	286	26	1
241	286	26	2
242	286	26	2
246	286	26	1
248	286	26	3
252	286	26	2
253	286	26	1
254	286	26	1
228	287	26	2
234	287	26	1
247	287	26	2
248	287	26	2
250	287	26	3
251	287	26	1
252	287	26	3
253	287	26	1
245	288	26	3
248	288	26	1
249	288	26	1
250	288	26	1
253	288	26	1
222	289	26	3
227	289	26	1
231	289	26	1
233	289	26	2
235	289	26	1
238	289	26	1
240	289	26	2
248	289	26	2
250	289	26	1
251	289	26	1
225	290	26	2
239	290	26	1
244	290	26	2
222	291	26	2
229	291	26	2
235	291	26	2
236	291	26	1
238	291	26	2
239	291	26	1
240	291	26	1
244	291	26	1
250	291	26	2
225	292	26	1
226	292	26	1
240	292	26	2
245	292	26	1
246	292	26	1
247	292	26	2
249	292	26	1
250	292	26	2
234	293	26	2
236	293	26	2
237	293	26	1
238	293	26	3
239	293	26	1
246	293	26	1
253	293	26	2
220	294	26	2
241	294	26	1
246	294	26	2
221	295	26	3
222	295	26	1
240	295	26	2
241	295	26	1
243	295	26	1
245	295	26	1
248	295	26	1
254	295	26	1
240	296	26	1
244	296	26	1
239	297	26	1
240	297	26	2
242	297	26	1
244	297	26	1
246	297	26	2
242	298	26	1
236	299	26	1
239	299	26	1
240	299	26	1
225	300	26	1
241	300	26	3
235	301	26	1
181	257	27	2
183	257	27	1
186	257	27	1
183	258	27	2
180	259	27	2
185	259	27	1
188	259	27	1
232	259	27	3
184	260	27	3
186	260	27	1
226	260	27	1
228	260	27	2
233	260	27	2
237	260	27	2
180	261	27	3
183	261	27	1
185	261	27	1
186	261	27	1
220	261	27	1
229	261	27	1
230	261	27	2
232	261	27	1
234	261	27	1
236	261	27	1
237	261	27	1
239	261	27	1
177	262	27	1
180	262	27	1
182	262	27	1
184	262	27	1
186	262	27	2
227	262	27	1
232	262	27	1
236	262	27	1
238	262	27	1
175	263	27	1
181	263	27	3
182	263	27	4
210	263	27	1
211	263	27	2
227	263	27	1
229	263	27	1
230	263	27	1
231	263	27	1
232	263	27	2
233	263	27	2
238	263	27	1
239	263	27	3
175	264	27	2
176	264	27	1
209	264	27	1
219	264	27	1
225	264	27	2
226	264	27	1
229	264	27	2
234	264	27	2
239	264	27	1
181	265	27	1
184	265	27	1
189	265	27	1
212	265	27	2
215	265	27	1
226	265	27	1
230	265	27	2
231	265	27	3
234	265	27	1
238	265	27	1
240	265	27	1
179	266	27	1
180	266	27	2
201	266	27	2
215	266	27	1
216	266	27	1
217	266	27	1
226	266	27	1
230	266	27	2
231	266	27	2
237	266	27	2
239	266	27	1
179	267	27	1
182	267	27	2
214	267	27	1
215	267	27	1
217	267	27	1
233	267	27	1
234	267	27	1
236	267	27	1
239	267	27	1
240	267	27	1
249	267	27	2
250	267	27	1
179	268	27	2
180	268	27	1
181	268	27	1
197	268	27	1
214	268	27	1
215	268	27	1
216	268	27	3
217	268	27	2
223	268	27	2
224	268	27	3
225	268	27	1
227	268	27	1
228	268	27	1
231	268	27	1
232	268	27	1
233	268	27	1
234	268	27	2
235	268	27	2
